
----------------------------------------
Circuit Details:
----------------------------------------
No. of Primary Inputs: 50
No. of Primary Outputs: 12
No. of Gates: 1141
No. of Nodes: 2332
Execution Time: 15113000 ns
Primary Inputs: N350 N322 N124 N169 N274 N311 N128 N132 N143 N150 N294 N250 N125 N303 N107 N244 N222 N179 N238 N200 N190 N226 N41 N20 N1 N13 N45 N257 N264 N343 N330 N317 N329 N223 N326 N68 N137 N232 N270 N283 N97 N116 N77 N159 N33 N349 N58 N50 N87 N213
Outputs: N5361 N3833 N5360 N3987 N1713 N3195 N4028 N4145 N4589 N4667 N5002 N5231


----------------------------------------
Signal	CC0	CC1	CO
----------------------------------------
N350	1	1	145
N322	1	1	271
N124	1	1	210
N169	1	1	68
N274	1	1	80
N311	1	1	267
N128	1	1	209
N132	1	1	207
N143	1	1	208
N150	1	1	95
N294	1	1	84
N250	1	1	19
N125	1	1	202
N303	1	1	90
N107	1	1	24
N244	1	1	47
N222	1	1	100
N179	1	1	69
N238	1	1	47
N200	1	1	92
N190	1	1	93
N226	1	1	47
N41	1	1	20
N20	1	1	20
N1	1	1	18
N13	1	1	18
N45	1	1	82
N257	1	1	20
N264	1	1	20
N343	1	1	38
N330	1	1	71
N317	1	1	270
N329	1	1	268
N223	1	1	101
N326	1	1	273
N68	1	1	10
N137	1	1	198
N232	1	1	47
N270	1	1	40
N283	1	1	81
N97	1	1	24
N116	1	1	22
N77	1	1	10
N159	1	1	102
N33	1	1	80
N349	1	1	86
N58	1	1	10
N50	1	1	10
N87	1	1	29
N213	1	1	44
n752	2	2	286
n731	2	2	208
n729	2	2	206
n725	2	2	207
n723	2	2	94
n690	2	2	83
n671	2	2	18
n682	2	2	89
n655	2	2	23
n666	2	2	46
n614	2	2	99
n876	2	2	79
n657	2	2	46
n872	2	2	91
n871	2	2	92
n953	2	3	205
n955	2	3	199
n633	2	2	46
n866	2	2	85
n643	2	2	19
n853	2	2	19
n889	2	3	42
n852	2	2	19
n860	3	2	74
n851	2	2	81
n865	2	3	92
n680	2	2	39
n827	2	3	18
n684	2	2	39
n767	2	2	269
n619	2	2	100
n644	2	2	9
n649	2	2	46
n836	2	2	39
n669	2	2	95
n647	2	2	23
n664	2	2	47
n981	2	3	27
n812	2	3	47
n617	2	2	9
n720	2	2	204
n856	2	2	79
n788	2	3	178
n611	2	3	84
n771	2	2	9
n773	2	2	9
n1073	3	2	25
n1055	3	2	176
n631	2	2	47
n980	2	3	27
n886	2	2	43
n1521	2	4	37
n1644	4	2	37
n659	4	2	90
n1501	2	4	45
n1641	4	2	45
n1665	4	2	21
n1275	4	2	44
n958	2	4	202
n1276	4	2	44
n957	4	2	204
n960	2	4	205
n959	3	5	205
n1279	4	2	44
n652	2	4	134
n678	2	4	77
n687	3	5	73
n954	3	5	197
n1034	2	4	123
n1050	2	4	100
n952	2	4	204
n964	2	4	179
n854	3	5	16
n858	4	2	71
n1433	4	2	77
n1553	4	2	22
n890	2	4	79
n1137	2	4	168
n864	2	4	90
n1520	2	4	37
n1645	4	2	37
n1076	3	5	15
n834	3	5	50
n1518	2	4	37
n1646	4	2	37
n642	3	5	140
n830	3	5	50
n607	4	2	97
n1530	2	4	45
n1278	4	2	44
n1517	2	4	37
n1647	4	2	37
n833	3	5	50
n1503	2	4	45
n603	5	3	257
n1640	4	2	45
n1666	4	2	21
n835	3	5	50
n1500	2	4	45
n1642	4	2	45
n831	3	5	50
n982	3	5	23
n1529	2	4	45
n609	2	4	77
n869	3	5	82
n628	3	4	177
n870	2	4	84
n829	3	5	50
n604	5	3	6
n1526	2	4	45
n1651	4	2	47
n828	3	5	50
n605	5	3	6
n1527	2	4	45
n1650	4	2	47
n1074	4	2	20
n1072	3	6	22
n832	3	5	50
n1504	2	4	45
n1639	4	2	45
n979	7	3	23
n888	3	5	40
n1544	2	4	140
n658	2	6	88
n844	3	7	120
n1274	5	5	41
n956	3	7	201
n962	3	5	204
n805	9	3	193
n713	10	3	196
n717	11	4	199
n722	10	3	199
n1037	6	2	121
n1053	6	2	98
n742	8	3	200
n963	3	6	175
n855	8	3	13
n849	7	2	16
n861	7	2	74
n863	3	7	68
n892	3	5	78
n1040	6	2	89
n940	6	2	166
n1089	6	2	88
n1522	5	5	34
n1587	5	5	34
n606	2	6	95
n843	3	7	97
n1277	5	5	41
n1519	5	5	34
n1586	5	5	34
N1947	5	2	255
n1555	5	5	18
n1418	6	7	46
n1502	5	5	42
n1583	5	5	42
n1416	6	7	46
n1313	4	6	43
n848	4	6	22
n1531	5	5	42
n857	2	4	77
n640	3	5	76
n1036	7	3	120
n1052	7	3	97
n868	3	7	78
n976	2	5	238
n850	5	2	19
n1415	6	7	46
N1713	4	11	0
n1528	5	5	42
n1592	5	5	44
