
----------------------------------------
Circuit Details:
----------------------------------------
No. of Primary Inputs: 178
No. of Primary Outputs: 123
No. of Gates: 2314
No. of Nodes: 4806
Execution Time: 2548000 ns
Primary Inputs: N132 N80 N23 N79 N81 N26 N24 N112 N52 N115 N114 N53 N113 N122 N130 N119 N129 N131 N127 N126 N117 N34 N87 N176 N120 N14 N73 N76 N43 N91 N100 N46 N11 N109 N149 N188 N182 N191 N194 N116 N197 N97 N88 N86 N83 N315 N323 N372 N209 N217 N225 N233 N241 N264 N272 N280 N292 N203 N179 N128 N123 N64 N17 N20 N37 N40 N103 N49 N61 N106 N146 N152 N158 N70 N185 N140 N161 N164 N167 N173 N170 N82 N136 N289 N288 N54 N534 N523 N514 N490 N479 N4 N25 N374 N411 N400 N389 N435 N422 N468 N457 N446 N299 N603 N599 N67 N503 N619 N625 N242 N361 N332 N351 N341 N324 N316 N331 N308 N302 N588 N31 N206 N335 N307 N281 N273 N265 N234 N94 N226 N218 N210 N616 N613 N118 N607 N610 N248 N251 N254 N580 N257 N577 N583 N137 N574 N121 N571 N566 N559 N245 N556 N386 N145 N1 N373 N27 N358 N338 N155 N549 N562 N552 N366 N348 N545 N598 N597 N596 N369 N595 N592 N591 N631 N135 N200 N293 N141
Outputs: N8127 N8124 N8076 N8075 N7758 N7757 N7755 N7741 N7740 N7738 N7737 N7707 N7706 N7705 N7704 N7702 N7701 N7626 N7606 N7605 N7604 N7602 N7601 N7522 N7520 N7518 N7516 N7511 N7506 N7504 N7503 N7472 N7471 N7469 N7466 N7465 N7515 N7754 N7700 N6927 N6926 N6924 N7449 N6877 N7474 N6716 N6643 N5388 N7607 N5240 N8123 N7467 N4739 N4738 N7519 N7759 N4740 N7756 N7742 N4279 N4278 N4275 N4272 N7365 N6641 N8128 N7517 N7698 N7703 N3613 N3604 N3360 N3359 N3358 N3357 N7739 N6648 N4737 N7761 N7735 N7470 N7363 N7473 N7760 N2623 N7521 N2590 N2584 N2527 N2387 N2309 N2142 N2139 N2061 N2060 N2054 N1972 N7699 N7476 N6925 N7603 N7600 N6646 N7015 N7736 N7432 N1155 N1154 N1153 N1152 N1147 N1145 N1144 N1143 N1142 N1141 N1140 N1139 N1138 N1137 N1066 N816 N709


----------------------------------------
Signal	CC0	CC1	CO
----------------------------------------
N132	1	1	32
N80	1	1	22
N23	1	1	22
N79	1	1	23
N81	1	1	22
N26	1	1	23
N24	1	1	23
N112	1	1	15
N52	1	1	15
N115	1	1	15
N114	1	1	15
N53	1	1	15
N113	1	1	15
N122	1	1	15
N130	1	1	15
N119	1	1	15
N129	1	1	15
N131	1	1	15
N127	1	1	15
N126	1	1	15
N117	1	1	15
N34	1	1	12
N87	1	1	12
N176	1	1	21
N120	1	1	17
N14	1	1	16
N73	1	1	16
N76	1	1	16
N43	1	1	16
N91	1	1	16
N100	1	1	16
N46	1	1	16
N11	1	1	16
N109	1	1	16
N149	1	1	20
N188	1	1	20
N182	1	1	20
N191	1	1	20
N194	1	1	20
N116	1	1	15
N197	1	1	20
N97	1	1	23
N88	1	1	11
N86	1	1	11
N83	1	1	11
N315	1	1	46
N323	1	1	50
N372	1	1	173
N209	1	1	29
N217	1	1	40
N225	1	1	51
N233	1	1	50
N241	1	1	51
N264	1	1	51
N272	1	1	50
N280	1	1	47
N292	1	1	175
N203	1	1	20
N179	1	1	20
N128	1	1	15
N123	1	1	15
N64	1	1	15
N17	1	1	15
N20	1	1	15
N37	1	1	15
N40	1	1	15
N103	1	1	15
N49	1	1	15
N61	1	1	15
N106	1	1	15
N146	1	1	19
N152	1	1	19
N158	1	1	19
N70	1	1	15
N185	1	1	19
N140	1	1	4
N161	1	1	19
N164	1	1	19
N167	1	1	19
N173	1	1	19
N170	1	1	19
N82	1	1	23
N136	1	1	3
N289	1	1	94
N288	1	1	38
N54	1	1	28
N534	1	1	26
N523	1	1	26
N514	1	1	21
N490	1	1	26
N479	1	1	26
N4	1	1	33
N25	1	1	22
N374	1	1	26
N411	1	1	26
N400	1	1	26
N389	1	1	26
N435	1	1	26
N422	1	1	26
N468	1	1	26
N457	1	1	26
N446	1	1	27
N299	1	1	2
N603	1	1	17
N599	1	1	17
N67	1	1	16
N503	1	1	26
N619	1	1	14
N625	1	1	14
N242	1	1	23
N361	1	1	23
N332	1	1	29
N351	1	1	26
N341	1	1	26
N324	1	1	26
N316	1	1	26
N331	1	1	50
N308	1	1	26
N302	1	1	23
N588	1	1	11
N31	1	1	3
N206	1	1	27
N335	1	1	29
N307	1	1	35
N281	1	1	26
N273	1	1	26
N265	1	1	26
N234	1	1	26
N94	1	1	23
N226	1	1	26
N218	1	1	26
N210	1	1	26
N616	1	1	15
N613	1	1	15
N118	1	1	17
N607	1	1	15
N610	1	1	15
N248	1	1	23
N251	1	1	24
N254	1	1	24
N580	1	1	19
N257	1	1	26
N577	1	1	19
N583	1	1	221
N137	1	1	2
N574	1	1	19
N121	1	1	15
N571	1	1	19
N566	1	1	249
N559	1	1	1
N245	1	1	1
N556	1	1	3
N386	1	1	3
N145	1	1	2
N1	1	1	2
N373	1	1	3
N27	1	1	3
