
----------------------------------------
Circuit Details:
----------------------------------------
No. of Primary Inputs: 32
No. of Primary Outputs: 32
No. of Gates: 2422
No. of Nodes: 4876
Execution Time: 15459000 ns
Primary Inputs: N256 N239 N222 N205 N188 N171 N154 N137 N120 N103 N86 N69 N52 N35 N18 N528 N511 N494 N477 N460 N443 N426 N409 N392 N375 N358 N341 N324 N307 N290 N273 N1
Outputs: N6260 N6250 N6240 N6200 N6170 N6150 N6123 N6270 N6230 N6160 N6180 N5308 N6280 N6220 N4591 N3211 N2877 N6210 N5672 N2548 N4241 N2223 N6190 N3895 N1901 N6288 N4946 N1581 N6287 N5971 N3552 N545


----------------------------------------
Signal	CC0	CC1	CO
----------------------------------------
N256	1	1	32
N239	1	1	36
N222	1	1	118
N205	1	1	246
N188	1	1	414
N171	1	1	594
N154	1	1	595
N137	1	1	481
N120	1	1	379
N103	1	1	289
N86	1	1	211
N69	1	1	145
N52	1	1	91
N35	1	1	49
N18	1	1	19
N528	1	1	32
N511	1	1	40
N494	1	1	48
N477	1	1	56
N460	1	1	64
N443	1	1	72
N426	1	1	73
N409	1	1	67
N392	1	1	61
N375	1	1	55
N358	1	1	49
N341	1	1	43
N324	1	1	37
N307	1	1	28
N290	1	1	18
N273	1	1	2
N1	1	1	2
N636	2	3	500
N684	2	3	695
N732	2	3	715
N780	2	3	715
N828	2	3	718
N876	2	3	715
N924	2	3	715
N972	2	3	715
N1020	2	3	709
N1068	2	3	592
N1116	2	3	412
N1164	2	3	244
N1212	2	3	116
N1260	2	3	34
N1308	2	3	30
N633	2	3	287
N681	2	3	680
N729	2	3	720
N777	2	3	726
N825	2	3	720
N873	2	3	720
N921	2	3	720
N969	2	3	720
N1017	2	3	711
N1065	2	3	606
N1113	2	3	426
N1161	2	3	258
N1209	2	3	130
N1257	2	3	42
N1305	2	3	38
N630	2	3	269
N678	2	3	455
N726	2	3	722
N774	2	3	728
N822	2	3	722
N870	2	3	722
N918	2	3	722
N966	2	3	722
N1014	2	3	713
N1062	2	3	614
N1110	2	3	440
N1158	2	3	272
N1206	2	3	144
N1254	2	3	50
N1302	2	3	46
N627	2	3	251
N675	2	3	425
N723	2	3	611
N771	2	3	730
N819	2	3	724
N867	2	3	724
N915	2	3	724
N963	2	3	724
N1011	2	3	715
N1059	2	3	616
N1107	2	3	454
N1155	2	3	286
N1203	2	3	158
N1251	2	3	58
N1299	2	3	54
N624	2	3	233
N672	2	3	395
N720	2	3	569
N768	2	3	732
N816	2	3	726
N864	2	3	726
N912	2	3	726
N960	2	3	726
N1008	2	3	717
N1056	2	3	618
N1104	2	3	468
N1152	2	3	300
N1200	2	3	172
N1248	2	3	66
N1296	2	3	62
N621	2	3	215
N669	2	3	365
N717	2	3	527
N765	2	3	701
N813	2	3	728
N861	2	3	728
N909	2	3	728
N957	2	3	728
N1005	2	3	719
N1053	2	3	620
N1101	2	3	480
N1149	2	3	314
N1197	2	3	186
N1245	2	3	74
N1293	2	3	70
N618	2	3	197
N666	2	3	335
N714	2	3	485
N762	2	3	647
N810	2	3	730
N858	2	3	730
N906	2	3	730
N954	2	3	730
N1002	2	3	721
N1050	2	3	622
N1098	2	3	482
N1146	2	3	328
N1194	2	3	200
N1242	2	3	82
N1290	2	3	78
N615	2	3	179
N663	2	3	305
N711	2	3	443
N759	2	3	593
N807	2	3	732
N855	2	3	732
N903	2	3	732
N951	2	3	732
N999	2	3	723
N1047	2	3	624
N1095	2	3	484
N1143	2	3	342
N1191	2	3	214
N1239	2	3	90
N1287	2	3	86
N612	2	3	161
N660	2	3	275
N708	2	3	401
N756	2	3	539
N804	2	3	689
N852	2	3	734
N900	2	3	734
N948	2	3	734
N996	2	3	725
N1044	2	3	626
N1092	2	3	486
N1140	2	3	356
N1188	2	3	228
N1236	2	3	98
N1284	2	3	94
N609	2	3	143
N657	2	3	245
N705	2	3	359
N753	2	3	485
N801	2	3	623
N849	2	3	736
N897	2	3	736
N945	2	3	736
N993	2	3	727
N1041	2	3	628
N1089	2	3	488
N1137	2	3	360
N1185	2	3	242
N1233	2	3	106
N1281	2	3	102
N606	2	3	125
N654	2	3	215
N702	2	3	317
N750	2	3	431
N798	2	3	557
N846	2	3	695
N894	2	3	738
N942	2	3	738
N990	2	3	729
N1038	2	3	630
N1086	2	3	490
N1134	2	3	362
N1182	2	3	256
N1230	2	3	114
N1278	2	3	110
N603	2	3	107
