
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 64
No. of Primary Outputs: 30
No. of Gates: 4157
No. of DFFs: 630
No. of Nodes: 10065
Execution Time: 2230842000 ns
Primary Inputs: troj3_0n15 troj3_0N87 troj3_0N85 test_si g1196 g6298 g6300 g1234 troj3_0N84 g6297 g6296 g6294 g941 g6304 g6293 CK test_se g5729 g757 g756 g754 g755 g753 g752 g955 g929 g723 g722 g702 g698 g694 g690 g6308 g6291 g962 g1194 g1206 g6292 g1203 g1080 g6290 g6305 g6306 g1198 g781 g786 g43 g1016 g6909 g6269 g6289 g795 g6302 g6301 g6303 g648 g751 g647 g1202 g645 g635 g634 g633 g6307
Outputs: troj3_0n17 troj3_0n12 troj3_0n10 test_so g3854 g1015 g4657 g4660 g4661 g6895 g6849 g4663 troj3_0n11 g7474 g7514 g7763 g8872 g8958 g9204 g4664 g9280 g1006 g9297 g9299 g9305 g9308 g9310 g9312 g9314 g9378


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj3_0n15	1	1	18	0	0
troj3_0N87	1	1	52	0	0
troj3_0N85	1	1	6	0	0
test_si	1	1	272	0	0
g1196	1	1	1884	0	0
g6298	1	1	466	0	0
g6300	1	1	1704	0	0
g1234	1	1	738	0	0
troj3_0N84	1	1	38	0	0
g6297	1	1	99999997	0	0
g6296	1	1	2302	0	0
g6294	1	1	29	0	0
g941	1	1	2302	0	0
g6304	1	1	99999997	0	0
g6293	1	1	22	0	0
CK	1	1	6	0	0
test_se	1	1	21	0	0
g5729	1	1	1406	0	0
g757	1	1	1410	0	0
g756	1	1	1409	0	0
g754	1	1	1262	0	0
g755	1	1	1255	0	0
g753	1	1	518	0	0
g752	1	1	511	0	0
g955	1	1	441	0	0
g929	1	1	2022	0	0
g723	1	1	493	0	0
g722	1	1	500	0	0
g702	1	1	1391	0	0
g698	1	1	1392	0	0
g694	1	1	1388	0	0
g690	1	1	381	0	0
g6308	1	1	11	0	0
g6291	1	1	124	0	0
g962	1	1	142	0	0
g1194	1	1	414	0	0
g1206	1	1	421	0	0
g6292	1	1	22	0	0
g1203	1	1	1703	0	0
g1080	1	1	99999997	0	0
g6290	1	1	149	0	0
g6305	1	1	188	0	0
g6306	1	1	188	0	0
g1198	1	1	421	0	0
g781	1	1	377	0	0
g786	1	1	11	0	0
g43	1	1	59	0	0
g1016	1	1	224	0	0
g6909	1	1	224	0	0
g6269	1	1	178	0	0
g6289	1	1	6	0	0
g795	1	1	1	0	0
g6302	1	1	6	0	0
g6301	1	1	5	0	0
g6303	1	1	5	0	0
g648	1	1	1317	0	0
g751	1	1	400	0	0
g647	1	1	1321	0	0
g1202	1	1	905	0	0
g645	1	1	429	0	0
g635	1	1	422	0	0
g634	1	1	1173	0	0
g633	1	1	1166	0	0
g6307	1	1	47	0	0
test_so	8	20	0	1	3
