
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 67
No. of Primary Outputs: 41
No. of Gates: 4189
No. of DFFs: 630
No. of Nodes: 10132
Execution Time: 7435283000 ns
Primary Inputs: troj22_0n28 troj22_0n2 troj22_0n34 test_si g1196 g6298 troj22_0n35 g6300 g1234 g6297 g6296 g6294 troj22_0n27 g941 g6304 g6293 troj22_0n25 CK test_se g5729 g757 g756 g754 g755 g753 g752 g955 g929 g723 g722 g702 g698 g694 g690 g6308 g6291 g962 g1194 g1206 g6292 g1203 g1080 g6290 g6305 g6306 g1198 g781 g786 g43 g1016 g6909 g6269 g6289 troj22_0n26 g795 g6302 g6301 g6303 g648 g751 g647 g1202 g645 g635 g634 g633 g6307
Outputs: troj22_0n24 troj22_0n31 troj22_0n29 troj22_0n23 troj22_0n5 Trigger_en0_7 Trigger_en0_6 Trigger_en0_5 Trigger_en0_4 Trigger_en0_2 troj22_0n12 Trigger_en0_1 Trigger_en0_0 test_so troj22_0n13 g3854 g1015 g4657 g4660 g4661 g6895 g6849 g4663 g7474 g7514 Trigger_en0_3 g7763 g8872 g8958 g9204 g4664 g9280 g1006 g9297 g9299 g9305 g9308 g9310 g9312 g9314 g9378


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj22_0n28	1	1	11	0	0
troj22_0n2	1	1	1153	0	0
troj22_0n34	1	1	58	0	0
test_si	1	1	272	0	0
g1196	1	1	1893	0	0
g6298	1	1	475	0	0
troj22_0n35	1	1	58	0	0
g6300	1	1	1346	0	0
g1234	1	1	727	0	0
g6297	1	1	2490	0	0
g6296	1	1	2313	0	0
g6294	1	1	29	0	0
troj22_0n27	1	1	11	0	0
g941	1	1	1603	0	0
g6304	1	1	961	0	0
g6293	1	1	22	0	0
troj22_0n25	1	1	11	0	0
CK	1	1	9	0	0
test_se	1	1	21	0	0
g5729	1	1	1406	0	0
g757	1	1	1415	0	0
g756	1	1	1409	0	0
g754	1	1	1262	0	0
g755	1	1	1255	0	0
g753	1	1	518	0	0
g752	1	1	511	0	0
g955	1	1	434	0	0
g929	1	1	694	0	0
g723	1	1	493	0	0
g722	1	1	500	0	0
g702	1	1	1391	0	0
g698	1	1	1397	0	0
g694	1	1	1388	0	0
g690	1	1	381	0	0
g6308	1	1	11	0	0
g6291	1	1	85	0	0
g962	1	1	142	0	0
g1194	1	1	414	0	0
g1206	1	1	414	0	0
g6292	1	1	22	0	0
g1203	1	1	578	0	0
g1080	1	1	416	0	0
g6290	1	1	148	0	0
g6305	1	1	188	0	0
g6306	1	1	188	0	0
g1198	1	1	421	0	0
g781	1	1	377	0	0
g786	1	1	11	0	0
g43	1	1	59	0	0
g1016	1	1	201	0	0
g6909	1	1	201	0	0
g6269	1	1	178	0	0
g6289	1	1	6	0	0
troj22_0n26	1	1	11	0	0
g795	1	1	1	0	0
g6302	1	1	6	0	0
g6301	1	1	5	0	0
g6303	1	1	5	0	0
g648	1	1	1317	0	0
g751	1	1	400	0	0
g647	1	1	1326	0	0
g1202	1	1	923	0	0
g645	1	1	429	0	0
g635	1	1	422	0	0
g634	1	1	1173	0	0
g633	1	1	1166	0	0
g6307	1	1	47	0	0
test_so	8	20	0	1	3
