
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 65
No. of Primary Outputs: 32
No. of Gates: 4179
No. of DFFs: 629
No. of Nodes: 10106
Execution Time: 2235814000 ns
Primary Inputs: troj41_0N34 troj41_0N35 test_si g1196 g6298 troj41_0N32 g6300 g1234 g6297 g6296 g6294 g941 g6304 g6293 troj41_0n9 CK test_se g5729 g757 g756 g754 g755 g753 g752 g955 g929 g723 g722 g702 g698 g694 g690 g6308 g6291 g962 g1194 g1206 g6292 g1203 g1080 g6290 g6305 g6306 g1198 g781 troj41_0n14 g786 g43 g1016 g6909 g6269 g6289 g795 g6302 g6301 g6303 g648 g751 g647 g1202 g645 g635 g634 g633 g6307
Outputs: troj41_0n16 troj41_0n1 Trigger_en0_4 troj41_0n5 Trigger_en0_1 troj41_0n4 test_so g3854 g1015 g4657 g4660 g4661 g6895 g6849 g4663 g7474 g7514 g7763 g8872 g8958 g9204 g4664 g9280 g1006 g9297 g9299 g9305 g9308 g9310 g9312 g9314 g9378


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj41_0N34	1	1	7	0	0
troj41_0N35	1	1	359	0	0
test_si	1	1	272	0	0
g1196	1	1	1812	0	0
g6298	1	1	394	0	0
troj41_0N32	1	1	2575	0	0
g6300	1	1	2014	0	0
g1234	1	1	738	0	0
g6297	1	1	2354	0	0
g6296	1	1	2158	0	0
g6294	1	1	29	0	0
g941	1	1	1581	0	0
g6304	1	1	1085	0	0
g6293	1	1	22	0	0
troj41_0n9	1	1	15	0	0
CK	1	1	6	0	0
test_se	1	1	21	0	0
g5729	1	1	1406	0	0
g757	1	1	1410	0	0
g756	1	1	1409	0	0
g754	1	1	1262	0	0
g755	1	1	1255	0	0
g753	1	1	518	0	0
g752	1	1	511	0	0
g955	1	1	441	0	0
g929	1	1	361	0	0
g723	1	1	365	0	0
g722	1	1	365	0	0
g702	1	1	365	0	0
g698	1	1	365	0	0
g694	1	1	365	0	0
g690	1	1	365	0	0
g6308	1	1	11	0	0
g6291	1	1	124	0	0
g962	1	1	142	0	0
g1194	1	1	374	0	0
g1206	1	1	421	0	0
g6292	1	1	22	0	0
g1203	1	1	1687	0	0
g1080	1	1	99999997	0	0
g6290	1	1	149	0	0
g6305	1	1	188	0	0
g6306	1	1	188	0	0
g1198	1	1	421	0	0
g781	1	1	377	0	0
troj41_0n14	1	1	2590	0	0
g786	1	1	11	0	0
g43	1	1	59	0	0
g1016	1	1	224	0	0
g6909	1	1	224	0	0
g6269	1	1	178	0	0
g6289	1	1	6	0	0
g795	1	1	1	0	0
g6302	1	1	6	0	0
g6301	1	1	5	0	0
g6303	1	1	5	0	0
g648	1	1	365	0	0
g751	1	1	400	0	0
g647	1	1	365	0	0
g1202	1	1	761	0	0
g645	1	1	392	0	0
g635	1	1	379	0	0
g634	1	1	389	0	0
g633	1	1	381	0	0
g6307	1	1	47	0	0
test_so	8	20	0	1	3
n1431	8	20	195	1	3
g12	8	15	149	1	2
n2638	8	25	156	1	4
\DFF_635/net860	8	25	4161	1	4
n2637	8	20	4324	1	3
n1456	8	20	1612	1	3
g5158	8	20	387	1	2
n2636	8	36	394	1	6
n1415	8	36	534	1	6
n2635	8	31	935	1	5
n2167	8	31	254	1	5
g4370	8	26	1196	1	4
\DFF_630/net855	8	26	5899	1	4
n2634	8	27	7102	1	4
n2207	8	27	552	1	4
n2633	8	22	7661	1	3
n2067	8	22	602	1	3
n2632	8	17	8270	1	2
n2122	8	17	314	1	2
n2631	8	35	8591	1	6
n2260	8	35	180	1	6
n2269	8	30	353	1	5
n2630	8	25	360	1	4
n2080	8	25	1567	1	4
n2629	8	20	1934	1	3
n2078	8	20	639	1	3
n2628	8	15	2580	1	2
\DFF_622/net847	8	15	128	1	2
g435	8	21	2715	1	3
n2627	8	23	2722	1	3
n2278	8	23	219	1	3
n2626	8	24	2948	1	3
\DFF_619/net844	8	24	288	1	3
n2625	8	19	3243	1	2
n2128	8	19	494	1	2
n2624	8	43	3744	1	6
n2164	8	43	245	1	6
n2623	8	38	3996	1	5
n2220	8	38	388	1	5
n2095	8	32	384	1	6
n2622	8	27	391	1	5
n2208	8	27	545	1	5
n2621	8	22	943	1	4
n2024	8	22	312	1	4
n2620	8	17	1262	1	3
n2219	8	17	298	1	3
g3848	8	12	1567	1	2
n2261	8	12	106	1	2
g1204	7	7	1680	1	1
n2619	8	24	1686	1	3
n1465	8	24	348	1	3
n2618	8	23	2041	1	3
n2212	8	23	757	1	3
g162	8	48	2805	1	6
n2101	8	48	95	1	6
n2617	8	43	2907	1	5
\DFF_605/net830	8	43	205	1	5
n2616	8	38	3119	1	5
n2231	8	38	273	1	5
n2615	8	38	3399	1	4
n2127	8	38	394	1	4
g673	8	34	3800	1	5
n2181	8	34	359	1	5
n2285	8	29	4166	1	4
g3852	8	24	494	1	3
n2267	8	24	106	1	3
g94	8	19	607	1	2
n2614	8	30	614	1	4
\DFF_597/net822	8	30	282	1	4
n2613	8	31	903	1	5
n2211	8	31	2935	1	5
g1311	8	26	930	1	4
n2612	8	37	937	1	5
n2228	8	37	1288	1	5
n2611	8	32	2232	1	5
n1407	8	32	345	1	5
n2610	8	38	2584	1	5
n2012	8	38	286	1	5
n2609	8	33	2877	1	5
n2227	8	33	375	1	5
g539	8	28	2094	1	4
n2608	8	38	2101	1	5
n2189	8	38	1689	1	5
n2607	8	64	3797	1	8
n1451	8	64	806	1	8
g1253	8	34	40	1	6
n2097	8	29	47	1	5
g1393	8	24	15	1	4
g1193	8	19	22	1	3
g973	8	31	29	1	5
n2606	8	26	36	1	4
n1459	8	26	369	1	4
g376	8	21	412	1	3
g677	8	35	419	1	5
n2174	8	35	374	1	5
n2290	8	30	304	1	4
n2605	8	25	311	1	4
n1474	8	25	180	1	4
g7423	8	20	498	1	3
n2604	8	15	505	1	2
n1453	8	15	480	1	2
n2603	8	31	992	1	4
n2149	8	31	254	1	4
n2602	8	26	1253	1	4
n2233	8	26	505	1	4
n2601	8	21	1765	1	3
n2196	8	21	358	1	3
