
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 66
No. of Primary Outputs: 37
No. of Gates: 4255
No. of DFFs: 630
No. of Nodes: 10263
Execution Time: 2323715000 ns
Primary Inputs: troj42_0n11 troj42_0N91 test_si troj42_0N90 g1196 g6298 g6300 g1234 g6297 g6296 g6294 g941 g6304 g6293 troj42_0n14 troj42_0n24 troj42_0n5 CK test_se g5729 g757 g756 g754 g755 g753 g752 g955 g929 g723 g722 g702 g698 g694 g690 g6308 g6291 g962 g1194 g1206 g6292 g1203 g1080 g6290 g6305 g6306 g1198 g781 g786 g43 g1016 g6909 g6269 g6289 g795 g6302 g6301 g6303 g648 g751 g647 g1202 g645 g635 g634 g633 g6307
Outputs: Trigger_en0_10 Trigger_en0_7 Trigger_en0_6 Trigger_en0_5 Trigger_en0_4 Trigger_en0_2 Trigger_en0_11 Trigger_en0_0 test_so g3854 g1015 g4657 g4660 g4661 g6895 g6849 g4663 g7474 g7514 Trigger_en0_3 g7763 g8872 troj42_0n13 g8958 g9204 g4664 g9280 Trigger_en0_8 g1006 g9297 g9299 g9305 g9308 g9310 g9312 g9314 g9378


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj42_0n11	1	1	6	0	0
troj42_0N91	1	1	17314	0	0
test_si	1	1	225	0	0
troj42_0N90	1	1	17363	0	0
g1196	1	1	1770	0	0
g6298	1	1	352	0	0
g6300	1	1	1402	0	0
g1234	1	1	358	0	0
g6297	1	1	2472	0	0
g6296	1	1	2074	0	0
g6294	1	1	29	0	0
g941	1	1	1382	0	0
g6304	1	1	856	0	0
g6293	1	1	22	0	0
troj42_0n14	1	1	8691	0	0
troj42_0n24	1	1	8669	0	0
troj42_0n5	1	1	8650	0	0
CK	1	1	9	0	0
test_se	1	1	21	0	0
g5729	1	1	1406	0	0
g757	1	1	638	0	0
g756	1	1	1409	0	0
g754	1	1	1262	0	0
g755	1	1	722	0	0
g753	1	1	518	0	0
g752	1	1	511	0	0
g955	1	1	385	0	0
g929	1	1	585	0	0
g723	1	1	493	0	0
g722	1	1	500	0	0
g702	1	1	1391	0	0
g698	1	1	620	0	0
g694	1	1	1388	0	0
g690	1	1	381	0	0
g6308	1	1	11	0	0
g6291	1	1	124	0	0
g962	1	1	142	0	0
g1194	1	1	414	0	0
g1206	1	1	365	0	0
g6292	1	1	22	0	0
g1203	1	1	1759	0	0
