
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 65
No. of Primary Outputs: 38
No. of Gates: 4230
No. of DFFs: 630
No. of Nodes: 10212
Execution Time: 5788620000 ns
Primary Inputs: troj80_0n25 troj80_0n1 troj80_0N81 troj80_0N80 test_si g1196 g6298 g6300 g1234 g6297 g6296 g6294 g941 g6304 g6293 CK test_se g5729 g757 g756 g754 g755 g753 g752 g955 g929 g723 g722 g702 g698 g694 g690 g6308 g6291 g962 g1194 g1206 g6292 g1203 g1080 g6290 g6305 g6306 g1198 g781 troj80_0n22 g786 g43 g1016 g6909 g6269 g6289 g795 g6302 g6301 g6303 g648 g751 g647 g1202 g645 g635 g634 g633 g6307
Outputs: troj80_0n20 Trigger_en0_10 Trigger_en0_9 Trigger_en0_7 Trigger_en0_5 Trigger_en0_4 Trigger_en0_2 troj80_0n16 troj80_0n21 Trigger_en0_1 test_so g3854 g1015 g4657 g4660 g4661 troj80_0n15 g6895 g6849 g4663 g7474 g7514 Trigger_en0_3 g7763 g8872 g8958 g9204 g4664 g9280 g1006 g9297 g9299 g9305 g9308 g9310 g9312 g9314 g9378


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj80_0n25	1	1	99999997	0	0
troj80_0n1	1	1	12	0	0
troj80_0N81	1	1	15	0	0
troj80_0N80	1	1	99999998	0	0
test_si	1	1	248	0	0
g1196	1	1	2013	0	0
g6298	1	1	595	0	0
g6300	1	1	1114	0	0
g1234	1	1	727	0	0
g6297	1	1	1788	0	0
g6296	1	1	890	0	0
g6294	1	1	29	0	0
g941	1	1	1260	0	0
g6304	1	1	775	0	0
g6293	1	1	22	0	0
CK	1	1	1	0	0
test_se	1	1	21	0	0
g5729	1	1	1406	0	0
g757	1	1	1410	0	0
g756	1	1	1409	0	0
g754	1	1	1262	0	0
g755	1	1	1255	0	0
g753	1	1	518	0	0
g752	1	1	511	0	0
g955	1	1	434	0	0
g929	1	1	577	0	0
g723	1	1	436	0	0
g722	1	1	500	0	0
g702	1	1	1391	0	0
g698	1	1	198	0	0
g694	1	1	1388	0	0
g690	1	1	381	0	0
g6308	1	1	11	0	0
g6291	1	1	85	0	0
g962	1	1	142	0	0
g1194	1	1	241	0	0
g1206	1	1	337	0	0
g6292	1	1	22	0	0
g1203	1	1	460	0	0
g1080	1	1	99999997	0	0
g6290	1	1	148	0	0
g6305	1	1	188	0	0
g6306	1	1	188	0	0
g1198	1	1	421	0	0
g781	1	1	377	0	0
troj80_0n22	1	1	1	0	0
g786	1	1	11	0	0
g43	1	1	59	0	0
g1016	1	1	201	0	0
g6909	1	1	201	0	0
g6269	1	1	178	0	0
g6289	1	1	6	0	0
g795	1	1	1	0	0
g6302	1	1	6	0	0
g6301	1	1	5	0	0
g6303	1	1	5	0	0
g648	1	1	1317	0	0
g751	1	1	400	0	0
g647	1	1	1321	0	0
g1202	1	1	1080	0	0
g645	1	1	429	0	0
g635	1	1	422	0	0
g634	1	1	558	0	0
g633	1	1	550	0	0
g6307	1	1	47	0	0
test_so	8	20	0	1	3
n1431	8	20	191	1	3
g12	8	15	142	1	2
n2638	8	25	149	1	4
\DFF_635/net860	8	25	2628	1	4
n2637	8	20	2784	1	3
n1456	8	20	1738	1	3
g5158	8	20	387	1	2
n2636	8	36	394	1	6
n1415	8	36	1088	1	6
n2635	8	31	1489	1	5
n2167	8	31	254	1	5
g4370	8	26	1750	1	4
\DFF_630/net855	8	26	4227	1	4
n2634	8	27	5984	1	4
n2207	8	27	552	1	4
n2633	8	22	6543	1	3
n2067	8	22	590	1	3
n2632	8	17	7140	1	2
n2122	8	17	314	1	2
n2631	8	35	7461	1	6
n2260	8	35	180	1	6
n2269	8	30	220	1	5
n2630	8	25	227	1	4
n2080	8	25	564	1	4
n2629	8	20	798	1	3
n2078	8	20	638	1	3
n2628	8	15	1443	1	2
\DFF_622/net847	8	15	128	1	2
g435	8	21	1578	1	3
n2627	8	23	1585	1	3
n2278	8	23	219	1	3
n2626	8	24	1811	1	3
\DFF_619/net844	8	24	288	1	3
n2625	8	19	2106	1	2
n2128	8	19	494	1	2
n2624	8	42	2607	1	6
n2164	8	42	245	1	6
n2623	8	37	2859	1	5
n2220	8	37	388	1	5
n2095	8	32	495	1	6
n2622	8	27	502	1	5
n2208	8	27	545	1	5
n2621	8	22	1054	1	4
n2024	8	22	312	1	4
n2620	8	17	1373	1	3
n2219	8	17	298	1	3
g3848	8	12	340	1	2
n2261	8	12	106	1	2
g1204	7	7	453	1	1
n2619	8	24	459	1	3
n1465	8	24	1784	1	3
n2618	8	23	2250	1	3
n2212	8	23	757	1	3
g162	8	48	3014	1	6
n2101	8	48	95	1	6
n2617	8	43	3116	1	5
\DFF_605/net830	8	43	198	1	5
n2616	8	38	3321	1	5
n2231	8	38	273	1	5
n2615	8	38	3601	1	4
n2127	8	38	379	1	4
g673	8	34	3987	1	5
n2181	8	34	422	1	5
n2285	8	29	2645	1	4
g3852	8	24	494	1	3
n2267	8	24	106	1	3
g94	8	19	607	1	2
n2614	8	30	614	1	4
\DFF_597/net822	8	30	282	1	4
n2613	8	31	903	1	5
n2211	8	31	3109	1	5
g1311	8	26	930	1	4
n2612	8	37	937	1	5
n2228	8	37	1399	1	5
n2611	8	32	2343	1	5
n1407	8	32	408	1	5
n2610	8	38	2758	1	5
n2012	8	38	286	1	5
n2609	8	33	3051	1	5
n2227	8	33	375	1	5
g539	8	28	2071	1	4
n2608	8	38	2078	1	5
n2189	8	38	1689	1	5
n2607	8	39	3774	1	7
n1451	8	39	590	1	7
g1253	8	34	40	1	6
n2097	8	29	47	1	5
g1393	8	24	15	1	4
g1193	8	19	22	1	3
g973	8	31	29	1	5
n2606	8	26	36	1	4
n1459	8	26	765	1	4
g376	8	21	808	1	3
g677	8	35	815	1	5
n2174	8	35	456	1	5
n2290	8	30	304	1	4
n2605	8	25	311	1	4
n1474	8	25	180	1	4
g7423	8	20	498	1	3
n2604	8	15	505	1	2
n1453	8	15	379	1	2
n2603	8	31	891	1	4
n2149	8	31	177	1	4
n2602	8	26	1075	1	4
n2233	8	26	505	1	4
n2601	8	21	1587	1	3
n2196	8	21	12435	1	3
n2600	8	16	14029	1	2
n2032	8	16	313	1	2
n1387	8	11	702	1	1
n1429	8	11	92	1	1
g2661	8	15	801	1	2
g3863	8	15	1096	1	2
g1155	8	37	1225	1	5
n2599	8	41	1232	1	7
n1424	8	41	254	1	7
n2598	8	36	1493	1	6
n2134	8	36	722	1	6
n2597	8	35	2222	1	5
n2021	8	35	500	1	5
n2596	8	30	2729	1	4
\DFF_564/net789	8	30	282	1	4
n2595	8	26	3018	1	3
n2011	8	26	1406	1	3
n2069	8	26	995	1	4
g5150	8	22	545	1	3
n1995	8	22	402	1	3
g5153	8	17	549	1	2
n1987	8	17	381	1	2
n2594	8	24	937	1	3
n1411	8	24	100	1	3
n2593	8	23	1044	1	4
n1461	8	23	635	1	4
n2085	8	18	706	1	3
g2673	8	13	713	1	2
g3846	8	22	472	1	3
n2266	8	22	106	1	3
n2151	8	17	245	1	2
g999	8	12	197	1	2
g2844	7	7	204	1	1
\DFF_550/net775	7	7	230	1	1
n2592	8	12	440	1	2
n2194	8	12	1603	1	2
g205	7	7	1212	1	1
g236	8	23	1218	1	4
n2591	8	22	1225	1	3
n2247	8	22	388	1	3
g8216	8	17	22	1	2
n1419	8	17	502	1	2
n2590	8	25	531	1	4
n2147	8	25	254	1	4
g395	8	20	792	1	3
n2589	8	15	799	1	2
n1398	8	15	512	1	2
n2588	8	20	1318	1	3
n2018	8	20	274	1	3
g4646	8	15	799	1	2
n1492	8	15	36	1	2
g1159	8	26	842	1	4
n2587	8	21	849	1	3
n2171	8	21	240	1	3
n2586	8	17	1096	1	3
n2002	8	17	388	1	3
g1391	8	12	8	1	2
g1191	7	7	15	1	1
n2161	8	27	21	1	4
g1403	8	22	28	1	3
n2585	8	18	35	1	3
n2059	8	18	590	1	3
g1200	8	13	632	1	2
n2584	8	27	639	1	4
n2221	8	27	381	1	4
g3860	8	22	1027	1	3
n2583	8	17	1034	1	2
n2153	8	17	254	1	2
n2582	8	25	1295	1	4
\DFF_527/net752	8	25	2628	1	4
n2581	8	20	3930	1	3
n2036	8	20	821	1	3
n2580	8	15	4758	1	2
n2100	8	15	446	1	2
g3844	8	35	207	1	4
n2265	8	35	106	1	4
n2579	8	40	320	1	6
n2087	8	40	577	1	6
g201	8	35	227	1	5
n2578	8	30	234	1	4
\DFF_521/net746	8	30	282	1	4
g7424	8	29	505	1	5
n2577	8	24	512	1	4
n2102	8	24	4025	1	4
n2576	8	19	4544	1	3
\DFF_518/net743	8	19	2634	1	3
g4373	8	14	4529	1	2
\DFF_517/net742	8	14	4239	1	2
g1871	8	9	135	1	1
g4650	8	15	142	1	2
n1494	8	15	317	1	2
n2575	8	15	466	1	2
n2054	8	15	1295	1	2
n2574	8	17	1768	1	3
n2099	8	17	180	1	3
g595	8	12	225	1	2
g1911	7	7	232	1	1
n2057	7	7	536	1	1
n2573	8	26	774	1	3
n1993	8	26	403	1	3
g125	8	24	94	1	3
n2572	8	32	101	1	5
n2232	8	32	408	1	5
n2571	8	27	516	1	4
n2236	8	27	590	1	4
n2570	8	22	1113	1	3
n2041	8	22	195	1	3
n2569	8	17	1315	1	2
n2138	8	17	288	1	2
g394	8	12	1610	1	2
g210	7	7	331	1	1
g1398	8	17	8	1	3
n2568	8	12	15	1	2
n1462	8	12	549	1	2
n2567	7	7	571	1	1
n1991	7	7	316	1	1
g476	8	21	893	1	3
n2566	8	25	900	1	3
n2209	8	25	452	1	3
g5160	8	20	1184	1	2
g146	8	22	1191	1	3
n2079	8	22	87	1	3
n2565	8	17	1285	1	2
n2155	8	17	254	1	2
n2564	8	38	1546	1	4
n2288	8	38	2015	1	4
n2563	8	33	3568	1	5
n2213	8	33	4251	1	5
n2562	8	28	7826	1	4
n1504	8	28	84	1	4
g950	8	23	838	1	3
g1401	8	18	8	1	3
n2561	8	24	15	1	3
n1999	8	24	393	1	3
n2560	8	19	415	1	2
n2124	8	19	501	1	2
g1312	8	27	923	1	4
g2663	8	22	930	1	3
n2559	8	17	937	1	2
n2108	8	17	313	1	2
n2558	8	20	1257	1	3
n2038	8	20	385	1	3
g121	8	15	878	1	2
n2557	8	10	885	1	1
n1457	8	10	2260	1	1
n2556	8	38	3152	1	5
n2200	8	38	1929	1	5
n2555	8	36	5088	1	5
n1430	8	36	254	1	5
g1154	8	31	1232	1	4
g543	8	28	465	1	4
n2554	8	33	472	1	5
n1402	8	33	739	1	5
n2553	8	28	1218	1	4
n2066	8	28	590	1	4
g1944	8	23	863	1	3
n1445	8	23	99999975	1	3
n2552	8	18	99999980	1	2
n2140	8	18	181	1	2
n2551	8	41	99999957	1	5
n1410	8	41	100	1	5
n2550	8	36	99999962	1	4
n2072	8	36	635	1	4
g734	8	36	99999962	1	6
n2184	8	36	490	1	6
g714	8	31	99999967	1	5
n2185	8	31	1382	1	5
g1266	8	26	2004	1	4
g274	8	21	2011	1	3
g373	8	17	1048	1	3
g1395	8	12	8	1	2
g1195	7	7	15	1	1
n2549	8	25	21	1	4
n2029	8	25	380	1	4
g1033	8	20	122	1	3
g4639	8	15	129	1	2
n1480	8	15	176	1	2
n2548	8	25	312	1	4
n2096	8	25	519	1	4
n2547	8	20	838	1	3
n2198	8	20	2163	1	3
g4641	8	15	42	1	2
n1506	8	15	176	1	2
n2546	8	15	225	1	2
n2073	8	15	628	1	2
n2545	8	23	860	1	3
n1440	8	23	423	1	3
g5155	8	18	101	1	2
n1992	8	18	312	1	2
n2544	8	18	420	1	2
n2120	8	18	191	1	2
n2543	8	20	618	1	3
n1420	8	20	100	1	3
n2542	8	15	725	1	2
n2258	8	15	566	1	2
n2541	8	34	1298	1	5
n2254	8	34	223	1	5
n2091	8	30	304	1	4
n2540	8	25	311	1	4
n2013	8	25	383	1	4
g5157	8	20	701	1	3
n1994	8	20	403	1	3
n2539	8	15	1111	1	2
n2075	8	15	628	1	2
n2538	8	22	1746	1	2
n2279	8	22	427	1	2
n2537	8	18	2180	1	2
n2123	8	18	494	1	2
g478	8	21	895	1	3
n2293	8	35	210	1	6
g1804	8	30	217	1	5
n1383	8	30	243	1	5
n2301	8	25	15	1	4
n2536	8	20	22	1	3
n2238	8	20	432	1	3
g4651	8	15	460	1	2
n1513	8	15	317	1	2
n2535	8	24	784	1	3
n2157	8	24	286	1	3
n2534	8	19	1077	1	2
n2114	8	19	501	1	2
g108	8	32	944	1	5
n2533	8	31	951	1	4
n2045	8	31	286	1	4
n2532	8	26	1244	1	3
n2006	8	26	507	1	3
g1246	8	31	1758	1	5
n2531	8	32	1765	1	5
n2216	8	32	6774	1	5
n2530	8	27	8546	1	4
n2037	8	27	324	1	4
g785	8	22	8877	1	3
n1405	8	22	94	1	3
n2529	8	17	8978	1	2
n2137	8	17	288	1	2
g1399	8	12	15	1	2
g1199	7	7	22	1	1
g233	8	22	28	1	3
g213	8	21	35	1	3
n2528	8	18	42	1	2
n2121	8	18	313	1	2
n2527	8	19	362	1	2
n2110	8	19	500	1	2
g377	8	21	869	1	3
n2526	8	30	876	1	4
\DFF_422/net647	8	30	2623	1	4
n2525	8	35	3506	1	5
n2019	8	35	276	1	5
n2524	8	30	3789	1	5
n1470	8	30	1128	1	5
n2094	8	25	502	1	4
g4267	8	20	509	1	3
n1396	8	20	502	1	3
g4644	8	15	29	1	2
n1482	8	15	191	1	2
g1270	8	17	227	1	3
g1824	8	24	234	1	4
n1394	8	24	243	1	4
n2523	8	20	484	1	3
n2294	8	20	566	1	3
g1005	8	15	1057	1	2
n2522	8	20	1064	1	3
\DFF_412/net637	8	20	2633	1	3
n2521	8	15	3704	1	2
n2135	8	15	408	1	2
g953	8	27	753	1	5
n2520	8	22	760	1	4
n2223	8	22	1619	1	4
n2519	8	17	2386	1	3
g4667	8	17	372	1	3
n2518	8	12	2765	1	2
n2274	8	12	5181	1	2
g195	7	7	235	1	1
g944	8	22	162	1	4
g5146	8	17	169	1	3
\DFF_404/net629	8	17	500	1	3
n2517	8	12	676	1	2
n2199	8	12	191	1	2
n2516	7	7	874	1	1
\DFF_402/net627	7	7	9	1	1
n2515	8	18	889	1	3
n2082	8	18	38	1	3
g1192	8	13	29	1	2
n2514	8	24	36	1	4
n2117	8	24	395	1	4
n2513	8	19	438	1	3
n2250	8	19	243	1	3
g129	8	14	688	1	2
g1870	8	9	135	1	1
n2512	8	21	142	1	3
n2063	8	21	577	1	3
n2046	8	16	421	1	2
g706	8	17	428	1	3
n2186	8	17	371	1	3
n2511	8	12	806	1	2
n2243	8	12	191	1	2
n2510	7	7	1004	1	1
\DFF_391/net616	7	7	249	1	1
n2509	8	27	1259	1	4
n2242	8	27	1289	1	4
g4640	8	22	318	1	3
n1488	8	22	169	1	3
n2508	8	17	494	1	2
n2166	8	17	201	1	2
g1724	8	26	702	1	4
g556	8	21	709	1	3
g2662	8	16	716	1	2
n2268	8	16	324	1	2
g103	8	23	1047	1	3
n2507	8	18	1054	1	2
n2115	8	18	494	1	2
n2506	8	27	1555	1	5
\DFF_381/net606	8	27	116	1	5
n2505	8	22	1678	1	4
n2071	8	22	92	1	4
g2644	8	17	977	1	3
n1423	8	17	191	1	3
n2504	8	12	1175	1	2
n1455	8	12	590	1	2
n2503	7	7	1772	1	1
\DFF_377/net602	7	7	9	1	1
g566	8	18	333	1	3
n2502	8	23	340	1	4
n2105	8	23	389	1	4
g1829	8	18	484	1	3
n1382	8	18	243	1	3
g5571	8	13	628	1	2
\DFF_373/net598	8	13	214	1	2
g1402	8	16	35	1	2
n2501	8	26	42	1	4
\DFF_371/net596	8	26	117	1	4
g296	8	21	166	1	3
g1310	8	20	173	1	3
n2500	8	15	180	1	2
n2088	8	15	628	1	2
g4649	8	17	387	1	3
n1484	8	17	315	1	3
g855	8	12	709	1	2
n1471	8	12	172	1	2
g3130	7	7	394	1	1
\DFF_365/net590	7	7	393	1	1
g3855	8	26	306	1	4
n1468	8	26	379	1	4
g477	8	21	692	1	3
n2499	8	24	699	1	3
n1458	8	24	1474	1	3
n2498	8	30	2180	1	4
n2113	8	30	393	1	4
g1244	8	25	1765	1	4
g949	8	30	866	1	3
n2497	8	31	873	1	5
n2033	8	31	383	1	5
n2496	8	26	1263	1	4
n2044	8	26	276	1	4
g7729	8	21	1546	1	3
n1990	8	21	313	1	3
n2495	8	16	1866	1	2
n1432	8	16	94	1	2
g6841	8	11	937	1	1
n1511	8	11	92	1	1
n2494	8	18	1036	1	2
n2159	8	18	381	1	2
n2493	8	21	1424	1	3
n2022	8	21	493	1	3
g456	8	16	1924	1	2
n2492	8	11	1931	1	1
n2287	8	11	570	1	1
n2491	8	27	2508	1	4
n2025	8	27	382	1	4
g316	8	22	2897	1	3
n2490	8	18	2904	1	2
n2109	8	18	493	1	2
n2489	8	20	3404	1	3
n2098	8	20	168	1	3
g4645	8	15	1615	1	2
n1508	8	15	215	1	2
n2488	8	12	1837	1	2
n2188	8	12	8917	1	2
g3096	7	7	390	1	1
\DFF_342/net567	7	7	389	1	1
n1385	8	24	785	1	3
n1414	8	24	92	1	3
g93	8	19	753	1	3
g1404	8	14	78	1	2
g1004	8	9	85	1	1
g890	8	27	92	1	4
g3845	8	22	99	1	3
n1449	8	22	106	1	3
n2487	8	17	212	1	2
n2141	8	17	396	1	2
n2486	8	23	615	1	4
n2273	8	23	784	1	4
g2888	8	18	1267	1	3
n2131	8	18	426	1	3
g290	8	13	383	1	2
g3850	8	31	58	1	5
n2264	8	31	106	1	5
g199	8	26	171	1	4
n2485	8	36	178	1	5
n2248	8	36	66	1	5
g2653	8	31	166	1	5
n1475	8	31	29	1	5
n2484	8	26	202	1	4
n2195	8	26	199	1	4
g516	8	21	408	1	3
n2483	8	28	415	1	5
n2031	8	28	314	1	5
n2482	8	23	736	1	4
n2253	8	23	234	1	4
n2481	8	26	977	1	4
n1397	8	26	191	1	4
g375	8	21	1175	1	3
n2480	8	40	1182	1	6
n2169	8	40	254	1	6
g1157	8	35	849	1	5
n2479	8	40	856	1	5
n2030	8	40	373	1	5
n2478	8	39	1236	1	5
n2225	8	39	2755	1	5
n2477	8	40	3998	1	6
n2237	8	40	6191	1	6
n2476	8	35	10196	1	6
n2047	8	35	794	1	6
n2475	8	30	10997	1	5
g8219	8	30	784	1	5
n2474	8	25	11788	1	4
\DFF_314/net539	8	25	287	1	4
g4371	8	20	5984	1	3
\DFF_313/net538	8	20	4233	1	3
g8217	8	15	22	1	2
n2473	8	26	29	1	4
n2023	8	26	313	1	4
g458	8	21	349	1	3
n2472	8	33	356	1	5
n2229	8	33	2923	1	5
g1156	8	29	856	1	4
n2471	8	28	863	1	4
n1391	8	28	277	1	4
g1390	8	23	15	1	3
n2470	8	26	22	1	3
n2008	8	26	1251	1	3
n2469	8	35	1280	1	4
n2170	8	35	277	1	4
n2468	8	30	1564	1	5
n2043	8	30	271	1	5
g594	8	25	1842	1	4
n2467	8	20	1849	1	3
n1416	8	20	48	1	3
n2466	8	15	1904	1	2
n2205	8	15	590	1	2
n2465	8	10	2501	1	1
n1388	8	10	7	1	1
g371	8	13	387	1	2
n2464	8	36	394	1	5
n2193	8	36	464	1	5
g665	8	31	865	1	4
n2179	8	31	528	1	4
n2463	8	26	1400	1	3
n2007	8	26	1258	1	3
n2462	8	21	2665	1	3
n2259	8	21	180	1	3
n2461	8	16	2852	1	2
n2081	8	16	173	1	2
g6843	8	11	1257	1	1
n1496	8	11	92	1	1
n2460	8	19	1356	1	3
n2052	8	19	178	1	3
g235	8	17	482	1	3
g215	8	12	489	1	2
g3191	7	7	496	1	1
\DFF_286/net511	7	7	577	1	1
n2459	8	26	1079	1	3
n2005	8	26	514	1	3
n2458	8	28	1600	1	5
n2042	8	28	274	1	5
g98	8	23	1881	1	4
g374	8	28	1888	1	4
g1147	8	30	1895	1	5
g8218	8	31	1491	1	5
n1401	8	31	3	1	5
n2457	8	26	1501	1	4
n2214	8	26	2092	1	4
g436	8	21	453	1	3
n2272	8	22	365	1	4
n2456	8	17	372	1	3
n2058	8	17	590	1	3
n2455	8	12	969	1	2
n2197	8	12	4602	1	2
g1894	7	7	720	1	1
g859	8	38	726	1	5
n1469	8	38	111	1	5
n2454	8	33	844	1	4
n2144	8	33	1289	1	4
g150	8	28	2140	1	4
n2065	8	28	314	1	4
g5145	8	23	760	1	3
\DFF_270/net495	8	23	493	1	3
g1146	8	24	1260	1	4
g293	8	28	1267	1	4
n2453	8	29	1274	1	4
n1473	8	29	685	1	4
n2452	8	24	1966	1	3
n2252	8	24	243	1	3
n2451	8	19	2216	1	2
n1409	8	19	286	1	2
g661	8	23	2509	1	3
n2178	8	23	528	1	3
n2450	8	18	3044	1	2
n2160	8	18	201	1	2
g158	8	20	3252	1	3
n1418	8	20	178	1	3
g4647	8	15	699	1	2
n1502	8	15	317	1	2
n2449	8	30	1023	1	4
\DFF_260/net485	8	30	2623	1	4
n2448	8	26	3653	1	4
n2192	8	26	1921	1	4
g231	8	21	2576	1	3
n2447	8	24	2583	1	4
n2251	8	24	243	1	4
g211	8	21	376	1	3
n2446	8	22	383	1	3
n2230	8	22	268	1	3
g92	8	17	658	1	2
n2445	8	12	665	1	2
n2086	8	12	426	1	2
n2444	7	7	1098	1	1
\DFF_252/net477	7	7	9	1	1
n2443	8	15	1113	1	2
n2074	8	15	628	1	2
n2442	8	23	1748	1	4
n2175	8	23	408	1	4
g234	8	22	1789	1	3
g214	8	22	951	1	3
g2654	8	31	958	1	5
n2003	8	31	389	1	5
n2441	8	26	1354	1	4
n2224	8	26	1232	1	4
g313	8	21	2364	1	3
n2440	8	35	2371	1	5
n2191	8	35	332	1	5
n2439	8	31	2710	1	5
n2089	8	31	304	1	5
n2438	8	26	3021	1	4
n2093	8	26	304	1	4
g951	8	21	810	1	3
g7507	8	16	817	1	2
n2271	8	16	784	1	2
g475	8	21	1608	1	3
n2437	8	26	1615	1	4
n1464	8	26	564	1	4
g232	8	21	2186	1	3
n2289	8	30	304	1	4
g212	8	28	311	1	4
g145	8	31	318	1	5
g5147	8	26	325	1	4
n1997	8	26	393	1	4
g954	8	36	725	1	5
