
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 67
No. of Primary Outputs: 36
No. of Gates: 4283
No. of DFFs: 630
No. of Nodes: 10320
Execution Time: 2325498000 ns
Primary Inputs: troj9_0n30 troj9_0n28 troj9_0n24 troj9_0n14 troj9_0N99 troj9_0N98 test_si g1196 g6298 g6300 g1234 troj9_0n5 g6297 g6296 g6294 g941 g6304 g6293 CK test_se g5729 g757 g756 g754 g755 g753 g752 g955 g929 g723 g722 g702 g698 g694 g690 g6308 g6291 g962 g1194 g1206 g6292 g1203 g1080 g6290 g6305 g6306 g1198 g781 g786 g43 g1016 g6909 g6269 g6289 g795 g6302 g6301 g6303 g648 g751 g647 g1202 g645 g635 g634 g633 g6307
Outputs: troj9_0n23 troj9_0n18 Trigger_en0_9 Trigger_en0_6 Trigger_en0_4 Trigger_en0_11 Trigger_en0_1 Trigger_en0_0 test_so g3854 g1015 g4657 g4660 g4661 g6895 g6849 g4663 g7474 g7514 Trigger_en0_3 g7763 g8872 g8958 g9204 g4664 g9280 Trigger_en0_8 g1006 g9297 g9299 g9305 g9308 g9310 g9312 g9314 g9378


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj9_0n30	1	1	99999997	0	0
troj9_0n28	1	1	99999997	0	0
troj9_0n24	1	1	1	0	0
troj9_0n14	1	1	321	0	0
troj9_0N99	1	1	324	0	0
troj9_0N98	1	1	320	0	0
test_si	1	1	272	0	0
g1196	1	1	1817	0	0
g6298	1	1	399	0	0
g6300	1	1	1827	0	0
g1234	1	1	738	0	0
troj9_0n5	1	1	320	0	0
g6297	1	1	2574	0	0
g6296	1	1	1070	0	0
g6294	1	1	29	0	0
g941	1	1	1658	0	0
g6304	1	1	1032	0	0
g6293	1	1	22	0	0
CK	1	1	9	0	0
test_se	1	1	21	0	0
g5729	1	1	1406	0	0
g757	1	1	1086	0	0
g756	1	1	1409	0	0
g754	1	1	1262	0	0
g755	1	1	1255	0	0
g753	1	1	518	0	0
g752	1	1	519	0	0
g955	1	1	441	0	0
g929	1	1	898	0	0
g723	1	1	501	0	0
g722	1	1	500	0	0
g702	1	1	601	0	0
g698	1	1	601	0	0
g694	1	1	601	0	0
g690	1	1	352	0	0
g6308	1	1	11	0	0
g6291	1	1	124	0	0
g962	1	1	142	0	0
g1194	1	1	329	0	0
g1206	1	1	421	0	0
g6292	1	1	22	0	0
