
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 25
No. of Primary Outputs: 9
No. of Gates: 764
No. of DFFs: 78
No. of Nodes: 1776
Execution Time: 474312000 ns
Primary Inputs: troj8_0N37 troj8_0N41 test_si troj8_0N42 troj8_0N39 CK test_se troj8_0n10 G15 G12 G16 G0 G3 G1 G4 G2 G5 G7 G8 G9 G10 G13 G11 G6 G14
Outputs: troj8_0n9 troj8_0n6 troj8_0n2 troj8_0n13 troj8_0n5 troj8_0n8 G729 G702 G727


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj8_0N37	1	1	338	0	0
troj8_0N41	1	1	12	0	0
test_si	1	1	217	0	0
troj8_0N42	1	1	528	0	0
troj8_0N39	1	1	13	0	0
CK	1	1	1	0	0
test_se	1	1	25	0	0
troj8_0n10	1	1	1	0	0
G15	1	1	225	0	0
G12	1	1	17842	0	0
G16	1	1	171	0	0
G0	1	1	290	0	0
G3	1	1	256	0	0
G1	1	1	298	0	0
G4	1	1	172	0	0
G2	1	1	290	0	0
G5	1	1	172	0	0
G7	1	1	172	0	0
G8	1	1	99	0	0
G9	1	1	261	0	0
G10	1	1	367	0	0
G13	1	1	349	0	0
G11	1	1	235	0	0
G6	1	1	276	0	0
G14	1	1	31	0	0
G729	8	24	0	1	4
n539	8	19	7	1	3
n363	8	19	193	1	3
G726	8	14	207	1	2
n538	8	9	214	1	1
n465	8	9	118	1	1
n537	8	9	339	1	1
n458	8	9	165	1	1
n536	8	9	511	1	1
n378	8	9	24	1	1
n535	8	24	542	1	4
n360	8	24	140	1	4
n534	8	19	689	1	3
n433	8	19	197	1	3
n533	8	14	893	1	2
n434	8	14	77	1	2
n532	8	9	977	1	1
n432	8	9	360	1	1
n531	8	11	1344	1	1
n370	8	11	80	1	1
n530	8	11	1431	1	1
n371	8	11	80	1	1
n529	8	16	1518	1	2
n345	8	16	83	1	2
n528	8	11	1608	1	1
n444	8	11	162	1	1
n527	8	11	1777	1	1
n445	8	11	162	1	1
n526	8	11	1946	1	1
n446	8	11	162	1	1
n525	8	11	2115	1	1
n447	8	11	162	1	1
