
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 25
No. of Primary Outputs: 15
No. of Gates: 840
No. of DFFs: 79
No. of Nodes: 1931
Execution Time: 666628000 ns
Primary Inputs: troj10_0n24 test_si troj10_0n4 CK test_se troj10_0N96 troj10_0n14 G15 G12 G16 troj10_0n30 G0 G3 G1 G4 G2 G5 G7 G8 G9 G10 G13 G11 G6 G14
Outputs: troj10_0n26 troj10_0n27 Trigger_en0_13 Trigger_en0_10 Trigger_en0_8 Trigger_en0_7 troj10_0n33 Trigger_en0_4 Trigger_en0_12 troj10_0n31 Trigger_en0_11 G729 Trigger_en0_0 G702 G727


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj10_0n24	1	1	70	0	0
test_si	1	1	217	0	0
troj10_0n4	1	1	28	0	0
CK	1	1	1	0	0
test_se	1	1	25	0	0
troj10_0N96	1	1	88	0	0
troj10_0n14	1	1	42	0	0
G15	1	1	225	0	0
G12	1	1	525	0	0
G16	1	1	178	0	0
troj10_0n30	1	1	50	0	0
G0	1	1	340	0	0
G3	1	1	256	0	0
G1	1	1	308	0	0
G4	1	1	244	0	0
G2	1	1	199	0	0
G5	1	1	368	0	0
G7	1	1	2339	0	0
G8	1	1	106	0	0
G9	1	1	572	0	0
G10	1	1	371	0	0
G13	1	1	353	0	0
G11	1	1	189	0	0
G6	1	1	276	0	0
G14	1	1	31	0	0
G729	8	24	0	1	4
n539	8	19	7	1	3
n363	8	19	193	1	3
G726	8	14	207	1	2
n538	8	9	214	1	1
n465	8	9	122	1	1
n537	8	9	343	1	1
n458	8	9	165	1	1
n536	8	9	515	1	1
n378	8	9	24	1	1
n535	8	24	546	1	4
n360	8	24	140	1	4
n534	8	19	693	1	3
n433	8	19	171	1	3
n533	8	14	871	1	2
n434	8	14	77	1	2
n532	8	9	955	1	1
n432	8	9	364	1	1
n531	8	11	1326	1	1
n370	8	11	87	1	1
n530	8	11	1420	1	1
n371	8	11	87	1	1
n529	8	16	1514	1	2
n345	8	16	90	1	2
n528	8	11	1611	1	1
n444	8	11	250	1	1
n527	8	11	1868	1	1
n445	8	11	200	1	1
n526	8	11	2075	1	1
n446	8	11	250	1	1
n525	8	11	2332	1	1
n447	8	11	182	1	1
n524	8	39	2521	1	4
n472	8	39	252	1	4
