
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 25
No. of Primary Outputs: 10
No. of Gates: 770
No. of DFFs: 78
No. of Nodes: 1787
Execution Time: 1299224000 ns
Primary Inputs: troj18_0n3 troj18_0n1 troj18_0N37 test_si troj18_0N36 troj18_0n2 CK test_se G15 G12 G16 G0 G3 G1 G4 G2 G5 G7 G8 G9 G10 G13 G11 G6 G14
Outputs: troj18_0n6 Trigger_en0_4 troj18_0n4 Trigger_en0_5 Trigger_en0_1 G729 Trigger_en0_0 troj18_0n5 G702 G727


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj18_0n3	1	1	4387	0	0
troj18_0n1	1	1	10	0	0
troj18_0N37	1	1	99999998	0	0
test_si	1	1	215	0	0
troj18_0N36	1	1	99999998	0	0
troj18_0n2	1	1	9	0	0
CK	1	1	1	0	0
test_se	1	1	25	0	0
G15	1	1	223	0	0
G12	1	1	7023	0	0
G16	1	1	171	0	0
G0	1	1	338	0	0
G3	1	1	254	0	0
G1	1	1	306	0	0
G4	1	1	242	0	0
G2	1	1	305	0	0
G5	1	1	366	0	0
G7	1	1	2361	0	0
G8	1	1	99	0	0
G9	1	1	1650	0	0
G10	1	1	365	0	0
G13	1	1	347	0	0
G11	1	1	233	0	0
G6	1	1	274	0	0
G14	1	1	31	0	0
G729	8	24	0	1	4
n539	8	19	7	1	3
n363	8	19	191	1	3
G726	8	14	205	1	2
n538	8	9	212	1	1
n465	8	9	118	1	1
n537	8	9	337	1	1
n458	8	9	165	1	1
n536	8	9	509	1	1
n378	8	9	24	1	1
n535	8	24	540	1	4
n360	8	24	140	1	4
n534	8	19	687	1	3
n433	8	19	197	1	3
n533	8	14	891	1	2
n434	8	14	77	1	2
n532	8	9	975	1	1
n432	8	9	358	1	1
n531	8	11	1340	1	1
n370	8	11	80	1	1
n530	8	11	1427	1	1
n371	8	11	80	1	1
n529	8	16	1514	1	2
n345	8	16	83	1	2
n528	8	11	1604	1	1
n444	8	11	243	1	1
n527	8	11	1854	1	1
n445	8	11	243	1	1
n526	8	11	2104	1	1
n446	8	11	243	1	1
n525	8	11	2354	1	1
n447	8	11	243	1	1
n524	8	39	2604	1	4
n472	8	39	245	1	4
n523	8	39	2856	1	4
n369	8	39	243	1	4
n522	8	39	3106	1	4
n471	8	39	243	1	4
n521	8	38	3356	1	4
n356	8	38	243	1	4
n520	8	33	3606	1	4
n346	8	33	243	1	4
n519	8	28	3856	1	3
n452	8	28	131	1	3
n518	8	28	3994	1	3
n451	8	28	131	1	3
n517	8	28	4132	1	3
n450	8	28	131	1	3
n516	8	36	4270	1	5
n372	8	36	75	1	5
n515	8	31	4352	1	4
n351	8	31	151	1	4
n514	8	26	4510	1	3
n358	8	26	151	1	3
n513	8	21	4668	1	3
n352	8	21	151	1	3
n512	8	16	4826	1	2
n366	8	16	156	1	2
n511	8	11	4989	1	1
n435	8	11	483	1	1
n510	8	37	5479	1	5
n473	8	37	93	1	5
n509	8	32	5579	1	4
n350	8	32	622	1	4
n436	8	27	121	1	3
n508	8	51	128	1	5
n437	8	51	97	1	5
n507	8	48	232	1	5
n438	8	48	278	1	5
n506	8	50	517	1	8
n361	8	50	224	1	8
n505	8	45	748	1	7
n443	8	45	224	1	7
n504	8	40	979	1	6
n439	8	40	582	1	6
