
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 26
No. of Primary Outputs: 9
No. of Gates: 771
No. of DFFs: 78
No. of Nodes: 1790
Execution Time: 563500000 ns
Primary Inputs: troj27_0n14 troj27_0n13 troj27_0N39 troj27_0N37 test_si troj27_0n10 CK test_se G15 G12 G16 G0 G3 G1 G4 G2 G5 G7 G8 G9 G10 G13 G11 troj27_0N40 G6 G14
Outputs: troj27_0n17 troj27_0n5 troj27_0n9 troj27_0n8 troj27_0n2 G729 troj27_0n6 G702 G727


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj27_0n14	1	1	7	0	0
troj27_0n13	1	1	319	0	0
troj27_0N39	1	1	7	0	0
troj27_0N37	1	1	308	0	0
test_si	1	1	217	0	0
troj27_0n10	1	1	1	0	0
CK	1	1	1	0	0
test_se	1	1	25	0	0
G15	1	1	225	0	0
G12	1	1	14500	0	0
G16	1	1	171	0	0
G0	1	1	340	0	0
G3	1	1	256	0	0
G1	1	1	285	0	0
G4	1	1	244	0	0
G2	1	1	307	0	0
G5	1	1	368	0	0
G7	1	1	364	0	0
G8	1	1	99	0	0
G9	1	1	615	0	0
G10	1	1	277	0	0
G13	1	1	275	0	0
G11	1	1	235	0	0
troj27_0N40	1	1	31	0	0
G6	1	1	276	0	0
G14	1	1	31	0	0
G729	8	24	0	1	4
n539	8	19	7	1	3
n363	8	19	193	1	3
G726	8	14	207	1	2
n538	8	9	214	1	1
n465	8	9	118	1	1
n537	8	9	339	1	1
n458	8	9	165	1	1
n536	8	9	511	1	1
n378	8	9	24	1	1
n535	8	24	542	1	4
n360	8	24	140	1	4
n534	8	19	689	1	3
n433	8	19	197	1	3
n533	8	14	893	1	2
n434	8	14	77	1	2
n532	8	9	977	1	1
n432	8	9	286	1	1
n531	8	11	1270	1	1
n370	8	11	80	1	1
n530	8	11	1357	1	1
n371	8	11	80	1	1
n529	8	16	1444	1	2
n345	8	16	83	1	2
n528	8	11	1534	1	1
n444	8	11	243	1	1
n527	8	11	1784	1	1
n445	8	11	243	1	1
n526	8	11	2034	1	1
n446	8	11	243	1	1
n525	8	11	2284	1	1
n447	8	11	243	1	1
n524	8	39	2534	1	4
n472	8	39	245	1	4
n523	8	39	2786	1	4
n369	8	39	243	1	4
n522	8	39	3036	1	4
n471	8	39	243	1	4
n521	8	38	3286	1	4
n356	8	38	243	1	4
n520	8	33	3536	1	4
n346	8	33	243	1	4
n519	8	28	3786	1	3
n452	8	28	131	1	3
n518	8	28	3924	1	3
n451	8	28	131	1	3
n517	8	28	4062	1	3
n450	8	28	131	1	3
n516	8	30	4200	1	3
n372	8	30	75	1	3
n515	8	31	4282	1	4
n351	8	31	151	1	4
n514	8	26	4440	1	3
n358	8	26	151	1	3
n513	8	21	4598	1	3
n352	8	21	151	1	3
n512	8	16	4756	1	2
n366	8	16	156	1	2
n511	8	11	4919	1	1
n435	8	11	1156	1	1
n510	8	37	6082	1	5
n473	8	37	93	1	5
n509	8	32	6182	1	4
n350	8	32	557	1	4
n436	8	27	121	1	3
n508	8	51	128	1	5
n437	8	51	97	1	5
n507	8	48	232	1	5
n438	8	48	278	1	5
n506	8	77	517	1	8
n361	8	77	224	1	8
n505	8	59	748	1	7
n443	8	59	224	1	7
n504	8	40	979	1	6
n439	8	40	608	1	6
n503	8	35	1594	1	5
n448	8	35	344	1	5
n502	8	30	1945	1	4
n440	8	30	1996	1	4
n501	8	25	3948	1	3
n449	8	25	340	1	3
n500	8	20	4295	1	2
n442	8	20	140	1	2
n499	8	60	4442	1	6
n373	8	60	4487	1	6
n498	8	41	8936	1	5
n441	8	41	4487	1	5
n497	8	36	13430	1	5
n456	8	36	256	1	5
n496	8	31	13693	1	4
n455	8	31	256	1	4
n495	8	26	13956	1	3
n454	8	26	256	1	3
n494	8	21	14219	1	2
n453	8	21	256	1	2
n493	8	40	14482	1	4
n357	8	40	195	1	4
n492	8	40	14684	1	4
n354	8	40	221	1	4
n491	8	39	14912	1	4
n470	8	39	260	1	4
n490	8	39	15179	1	4
n353	8	39	261	1	4
n489	8	39	15447	1	5
n469	8	39	293	1	5
n488	8	34	15747	1	4
n459	8	34	182	1	4
n460	8	29	187	1	3
n487	8	33	194	1	4
n461	8	33	183	1	4
n486	8	28	384	1	3
n364	8	28	94	1	3
n485	8	27	485	1	3
n374	8	27	236	1	3
n457	8	23	240	1	3
n484	8	18	247	1	2
n462	8	18	109	1	2
n483	8	43	363	1	4
n359	8	43	83	1	4
n482	8	45	453	1	5
n367	8	45	112	1	5
n481	8	40	572	1	4
n375	8	40	112	1	4
n480	8	38	691	1	4
n463	8	38	112	1	4
n479	8	33	810	1	4
n376	8	33	112	1	4
n464	8	28	112	1	3
n478	8	38	119	1	5
n466	8	38	174	1	5
n467	8	31	204	1	4
n477	8	26	211	1	3
n368	8	26	204	1	3
n476	8	21	422	1	3
n377	8	21	191	1	3
n468	8	16	196	1	3
G23	8	11	203	1	2
G22	8	6	210	1	1
