
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 26
No. of Primary Outputs: 13
No. of Gates: 770
No. of DFFs: 78
No. of Nodes: 1789
Execution Time: 565786000 ns
Primary Inputs: troj28_0n3 troj28_0n2 troj28_0n1 troj28_0N37 troj28_0N38 troj28_0N36 test_si CK test_se G15 G12 G16 G0 G3 G1 G4 G2 G5 G7 G8 G9 G10 G13 G11 G6 G14
Outputs: troj28_0n10 troj28_0n7 troj28_0n6 troj28_0n5 troj28_0n11 troj28_0n15 Trigger_en0_4 Trigger_en0_2 Trigger_en0_1 G729 Trigger_en0_3 G702 G727


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj28_0n3	1	1	313	0	0
troj28_0n2	1	1	17	0	0
troj28_0n1	1	1	18	0	0
troj28_0N37	1	1	10	0	0
troj28_0N38	1	1	317	0	0
troj28_0N36	1	1	9	0	0
test_si	1	1	217	0	0
CK	1	1	1	0	0
test_se	1	1	25	0	0
G15	1	1	225	0	0
G12	1	1	308	0	0
G16	1	1	171	0	0
G0	1	1	340	0	0
G3	1	1	256	0	0
G1	1	1	308	0	0
G4	1	1	135	0	0
G2	1	1	307	0	0
G5	1	1	350	0	0
G7	1	1	2276	0	0
G8	1	1	99	0	0
G9	1	1	1565	0	0
G10	1	1	308	0	0
G13	1	1	307	0	0
G11	1	1	135	0	0
G6	1	1	276	0	0
G14	1	1	31	0	0
G729	8	24	0	1	4
n539	8	19	7	1	3
n363	8	19	193	1	3
G726	8	14	207	1	2
n538	8	9	214	1	1
n465	8	9	118	1	1
n537	8	9	339	1	1
n458	8	9	163	1	1
n536	8	9	509	1	1
n378	8	9	24	1	1
n535	8	24	540	1	4
n360	8	24	112	1	4
n534	8	19	659	1	3
n433	8	19	197	1	3
n533	8	14	863	1	2
n434	8	14	77	1	2
n532	8	9	947	1	1
n432	8	9	301	1	1
n531	8	11	1255	1	1
n370	8	11	80	1	1
n530	8	11	1342	1	1
n371	8	11	80	1	1
n529	8	16	1429	1	2
n345	8	16	83	1	2
n528	8	11	1519	1	1
n444	8	11	243	1	1
n527	8	11	1769	1	1
n445	8	11	243	1	1
n526	8	11	2019	1	1
n446	8	11	243	1	1
n525	8	11	2269	1	1
n447	8	11	243	1	1
n524	8	39	2519	1	4
n472	8	39	245	1	4
n523	8	39	2771	1	4
n369	8	39	243	1	4
n522	8	39	3021	1	4
n471	8	39	243	1	4
n521	8	38	3271	1	4
n356	8	38	243	1	4
n520	8	33	3521	1	4
n346	8	33	243	1	4
n519	8	28	3771	1	3
n452	8	28	131	1	3
n518	8	28	3909	1	3
n451	8	28	131	1	3
n517	8	28	4047	1	3
n450	8	28	131	1	3
n516	8	30	4185	1	3
n372	8	30	75	1	3
n515	8	31	4267	1	4
n351	8	31	151	1	4
n514	8	26	4425	1	3
n358	8	26	151	1	3
n513	8	21	4583	1	3
n352	8	21	151	1	3
n512	8	16	4741	1	2
n366	8	16	156	1	2
n511	8	11	4904	1	1
n435	8	11	5059	1	1
n510	8	37	9970	1	5
n473	8	37	93	1	5
n509	8	32	10070	1	4
n350	8	32	301	1	4
n436	8	27	123	1	3
n508	8	53	130	1	6
n437	8	53	97	1	6
n507	8	48	234	1	5
n438	8	48	287	1	5
n506	8	77	528	1	8
n361	8	77	226	1	8
n505	8	59	761	1	7
n443	8	59	226	1	7
n504	8	47	994	1	6
n439	8	47	506	1	6
n503	8	42	1507	1	6
n448	8	42	331	1	6
n502	8	37	1845	1	5
n440	8	37	1903	1	5
n501	8	32	3755	1	4
n449	8	32	365	1	4
n500	8	27	4127	1	4
n442	8	27	142	1	4
n499	8	60	4276	1	6
n373	8	60	347	1	6
n498	8	41	4630	1	5
n441	8	41	347	1	5
n497	8	36	4984	1	5
n456	8	36	128	1	5
n496	8	31	5119	1	4
n455	8	31	256	1	4
n495	8	26	5382	1	3
n454	8	26	256	1	3
n494	8	21	5645	1	2
n453	8	21	256	1	2
n493	8	40	5908	1	4
n357	8	40	195	1	4
n492	8	40	6110	1	4
n354	8	40	221	1	4
n491	8	39	6338	1	4
n470	8	39	260	1	4
n490	8	39	6605	1	4
n353	8	39	261	1	4
n489	8	39	6873	1	5
n469	8	39	293	1	5
n488	8	34	7173	1	4
n459	8	34	182	1	4
n460	8	29	187	1	3
n487	8	33	194	1	4
n461	8	33	183	1	4
n486	8	28	384	1	3
n364	8	28	94	1	3
n485	8	27	485	1	3
n374	8	27	109	1	3
n457	8	23	138	1	3
n484	8	18	145	1	2
n462	8	18	109	1	2
n483	8	43	261	1	4
n359	8	43	83	1	4
n482	8	45	351	1	5
n367	8	45	112	1	5
n481	8	40	470	1	4
n375	8	40	112	1	4
n480	8	38	589	1	4
n463	8	38	112	1	4
n479	8	33	708	1	4
n376	8	33	112	1	4
n464	8	28	112	1	3
n478	8	38	119	1	5
n466	8	38	174	1	5
n467	8	31	204	1	4
n477	8	26	211	1	3
n368	8	26	204	1	3
n476	8	21	422	1	3
n377	8	21	191	1	3
n468	8	16	196	1	3
G23	8	11	203	1	2
G22	8	6	210	1	1
troj28_0state_0_	3	3	8	1	1
troj28_0n11	3	3	0	1	1
troj28_0state_2_	3	3	4	1	1
troj28_0n14	3	3	312	1	1
troj28_0state_1_	3	3	4	1	1
troj28_0n12	3	3	5	1	1
Trojan_out0	6	13	303	2	4
\DFF_73/Q_reg-SDFF-s-bar	2	2	89	0	0
\DFF_72/Q_reg-SDFF-s-bar	2	2	231	0	0
\DFF_71/Q_reg-SDFF-s-bar	2	2	247	0	0
\DFF_70/Q_reg-SDFF-s-bar	2	2	340	0	0
\DFF_69/Q_reg-SDFF-s-bar	2	2	510	0	0
\DFF_68/Q_reg-SDFF-s-bar	2	2	541	0	0
\DFF_67/Q_reg-SDFF-s-bar	2	2	682	0	0
\DFF_66/Q_reg-SDFF-s-bar	2	2	881	0	0
\DFF_65/Q_reg-SDFF-s-bar	2	2	966	0	0
\DFF_64/Q_reg-SDFF-s-bar	2	2	1256	0	0
\DFF_63/Q_reg-SDFF-s-bar	2	2	1345	0	0
\DFF_62/Q_reg-SDFF-s-bar	2	2	1432	0	0
\DFF_61/Q_reg-SDFF-s-bar	2	2	1555	0	0
\DFF_60/Q_reg-SDFF-s-bar	2	2	1772	0	0
\DFF_59/Q_reg-SDFF-s-bar	2	2	2022	0	0
\DFF_58/Q_reg-SDFF-s-bar	2	2	2272	0	0
\DFF_57/Q_reg-SDFF-s-bar	2	2	2522	0	0
\DFF_56/Q_reg-SDFF-s-bar	2	2	2802	0	0
\DFF_55/Q_reg-SDFF-s-bar	2	2	3052	0	0
\DFF_54/Q_reg-SDFF-s-bar	2	2	3302	0	0
\DFF_53/Q_reg-SDFF-s-bar	2	2	3552	0	0
\DFF_52/Q_reg-SDFF-s-bar	2	2	3814	0	0
\DFF_51/Q_reg-SDFF-s-bar	2	2	3929	0	0
\DFF_50/Q_reg-SDFF-s-bar	2	2	4067	0	0
\DFF_49/Q_reg-SDFF-s-bar	2	2	4205	0	0
\DFF_48/Q_reg-SDFF-s-bar	2	2	4289	0	0
\DFF_47/Q_reg-SDFF-s-bar	2	2	4464	0	0
\DFF_46/Q_reg-SDFF-s-bar	2	2	4604	0	0
\DFF_45/Q_reg-SDFF-s-bar	2	2	4781	0	0
\DFF_44/Q_reg-SDFF-s-bar	2	2	4933	0	0
\DFF_43/Q_reg-SDFF-s-bar	2	2	9973	0	0
\DFF_42/Q_reg-SDFF-s-bar	2	2	10111	0	0
\DFF_41/Q_reg-SDFF-s-bar	2	2	10413	0	0
\DFF_40/Q_reg-SDFF-s-bar	2	2	149	0	0
\DFF_39/Q_reg-SDFF-s-bar	2	2	284	0	0
\DFF_38/Q_reg-SDFF-s-bar	2	2	568	0	0
\DFF_37/Q_reg-SDFF-s-bar	2	2	856	0	0
\DFF_36/Q_reg-SDFF-s-bar	2	2	1094	0	0
\DFF_35/Q_reg-SDFF-s-bar	2	2	1566	0	0
\DFF_34/Q_reg-SDFF-s-bar	2	2	1900	0	0
\DFF_33/Q_reg-SDFF-s-bar	2	2	3810	0	0
\DFF_32/Q_reg-SDFF-s-bar	2	2	4158	0	0
\DFF_31/Q_reg-SDFF-s-bar	2	2	4295	0	0
\DFF_30/Q_reg-SDFF-s-bar	2	2	4705	0	0
\DFF_29/Q_reg-SDFF-s-bar	2	2	5031	0	0
\DFF_28/Q_reg-SDFF-s-bar	2	2	5163	0	0
\DFF_27/Q_reg-SDFF-s-bar	2	2	5421	0	0
\DFF_26/Q_reg-SDFF-s-bar	2	2	5679	0	0
\DFF_25/Q_reg-SDFF-s-bar	2	2	5921	0	0
\DFF_24/Q_reg-SDFF-s-bar	2	2	6142	0	0
\DFF_23/Q_reg-SDFF-s-bar	2	2	6370	0	0
\DFF_22/Q_reg-SDFF-s-bar	2	2	6636	0	0
\DFF_21/Q_reg-SDFF-s-bar	2	2	6904	0	0
\DFF_20/Q_reg-SDFF-s-bar	2	2	7235	0	0
\DFF_19/Q_reg-SDFF-s-bar	2	2	7408	0	0
\DFF_18/Q_reg-SDFF-s-bar	2	2	215	0	0
\DFF_17/Q_reg-SDFF-s-bar	2	2	427	0	0
\DFF_16/Q_reg-SDFF-s-bar	2	2	505	0	0
\DFF_15/Q_reg-SDFF-s-bar	2	2	620	0	0
\DFF_14/Q_reg-SDFF-s-bar	2	2	165	0	0
\DFF_13/Q_reg-SDFF-s-bar	2	2	271	0	0
\DFF_12/Q_reg-SDFF-s-bar	2	2	386	0	0
\DFF_11/Q_reg-SDFF-s-bar	2	2	533	0	0
\DFF_10/Q_reg-SDFF-s-bar	2	2	621	0	0
\DFF_9/Q_reg-SDFF-s-bar	2	2	740	0	0
\DFF_8/Q_reg-SDFF-s-bar	2	2	858	0	0
\DFF_7/Q_reg-SDFF-s-bar	2	2	139	0	0
\DFF_6/Q_reg-SDFF-s-bar	2	2	350	0	0
\DFF_5/Q_reg-SDFF-s-bar	2	2	258	0	0
\DFF_4/Q_reg-SDFF-s-bar	2	2	442	0	0
\DFF_3/Q_reg-SDFF-s-bar	2	2	639	0	0
\DFF_2/Q_reg-SDFF-s-bar	2	2	229	0	0
\DFF_1/Q_reg-SDFF-s-bar	2	2	221	0	0
\DFF_0/Q_reg-SDFF-s-bar	2	2	225	0	0
\DFF_0/Q_reg-SDFF-output-B	2	3	215	0	0
G701BF	2	2	225	0	0
n141	2	2	349	0	0
n138	2	2	307	0	0
n142	2	2	325	0	0
n149	2	3	236	0	0
G657	2	3	305	0	0
n139	2	2	89	0	0
\DFF_73/Q_reg-SDFF-output-B	2	21	5	0	3
n75	9	20	216	1	3
\DFF_72/Q_reg-SDFF-output-B	2	16	205	0	2
\DFF_71/Q_reg-SDFF-output-B	2	11	212	0	1
n88	9	10	121	1	1
\DFF_70/Q_reg-SDFF-output-B	2	11	337	0	1
n89	9	10	162	1	1
\DFF_69/Q_reg-SDFF-output-B	2	11	507	0	1
n231	11	2	1555	1	0
n335	11	2	6142	1	0
n429	11	2	89	1	0
n99	9	10	23	1	1
\DFF_68/Q_reg-SDFF-output-B	2	26	538	0	4
n100	9	25	111	1	4
\DFF_67/Q_reg-SDFF-output-B	2	21	657	0	3
n101	9	20	196	1	3
\DFF_66/Q_reg-SDFF-output-B	2	16	861	0	2
n102	9	15	76	1	2
\DFF_65/Q_reg-SDFF-output-B	2	11	945	0	1
n104	9	10	318	1	1
\DFF_64/Q_reg-SDFF-output-B	2	13	1253	0	1
\DFF_63/Q_reg-SDFF-output-B	2	13	1340	0	1
\DFF_62/Q_reg-SDFF-output-B	2	18	1427	0	2
\DFF_61/Q_reg-SDFF-output-B	2	13	1517	0	1
\DFF_60/Q_reg-SDFF-output-B	2	13	1767	0	1
\DFF_59/Q_reg-SDFF-output-B	2	13	2017	0	1
\DFF_58/Q_reg-SDFF-output-B	2	13	2267	0	1
n306	45	9	244	4	1
\DFF_57/Q_reg-SDFF-output-B	2	41	2517	0	4
n106	9	40	244	1	4
\DFF_56/Q_reg-SDFF-output-B	2	41	2769	0	4
n107	9	40	242	1	4
\DFF_55/Q_reg-SDFF-output-B	2	41	3019	0	4
n108	9	40	242	1	4
\DFF_54/Q_reg-SDFF-output-B	2	40	3269	0	4
n109	9	39	242	1	4
\DFF_53/Q_reg-SDFF-output-B	2	35	3519	0	4
n110	9	34	242	1	4
\DFF_52/Q_reg-SDFF-output-B	2	30	3769	0	3
\DFF_51/Q_reg-SDFF-output-B	2	30	3907	0	3
\DFF_50/Q_reg-SDFF-output-B	2	30	4045	0	3
n340	85	9	74	9	1
\DFF_49/Q_reg-SDFF-output-B	2	32	4183	0	3
\DFF_48/Q_reg-SDFF-output-B	2	33	4265	0	4
n338	37	17	142	4	2
\DFF_47/Q_reg-SDFF-output-B	2	28	4423	0	3
n336	35	17	142	4	2
n113	9	27	339	1	3
\DFF_46/Q_reg-SDFF-output-B	2	23	4581	0	3
n337	30	17	142	4	2
n114	9	22	299	1	3
\DFF_45/Q_reg-SDFF-output-B	2	18	4739	0	2
\DFF_44/Q_reg-SDFF-output-B	2	13	4902	0	1
n115	9	12	5058	1	1
\DFF_43/Q_reg-SDFF-output-B	2	39	9968	0	5
n116	9	38	92	1	5
\DFF_42/Q_reg-SDFF-output-B	2	34	10068	0	4
n117	9	33	300	1	4
n118	9	28	152	1	3
\DFF_41/Q_reg-SDFF-output-B	2	29	10376	0	3
\DFF_40/Q_reg-SDFF-output-B	2	55	128	0	6
n119	9	54	96	1	6
\DFF_39/Q_reg-SDFF-output-B	2	50	232	0	5
\DFF_38/Q_reg-SDFF-output-B	2	79	526	0	8
\DFF_37/Q_reg-SDFF-output-B	2	74	759	0	7
n120	9	73	1048	1	7
\DFF_36/Q_reg-SDFF-output-B	2	56	992	0	6
\DFF_35/Q_reg-SDFF-output-B	2	44	1505	0	6
n121	9	43	330	1	6
\DFF_34/Q_reg-SDFF-output-B	2	39	1843	0	5
\DFF_33/Q_reg-SDFF-output-B	2	34	3753	0	4
\DFF_32/Q_reg-SDFF-output-B	2	29	4125	0	4
\DFF_31/Q_reg-SDFF-output-B	2	62	4274	0	6
\DFF_30/Q_reg-SDFF-output-B	2	57	4628	0	5
\DFF_29/Q_reg-SDFF-output-B	2	38	4982	0	5
n122	9	37	127	1	5
\DFF_28/Q_reg-SDFF-output-B	2	33	5117	0	4
n123	9	32	255	1	4
\DFF_27/Q_reg-SDFF-output-B	2	28	5380	0	3
n124	9	27	255	1	3
\DFF_26/Q_reg-SDFF-output-B	2	23	5643	0	2
n125	9	22	255	1	2
\DFF_25/Q_reg-SDFF-output-B	2	42	5906	0	4
\DFF_24/Q_reg-SDFF-output-B	2	42	6108	0	4
\DFF_23/Q_reg-SDFF-output-B	2	41	6336	0	4
n126	9	40	259	1	4
\DFF_22/Q_reg-SDFF-output-B	2	41	6603	0	4
n127	9	40	260	1	4
\DFF_21/Q_reg-SDFF-output-B	2	41	6871	0	5
n128	9	40	292	1	5
\DFF_20/Q_reg-SDFF-output-B	2	36	7171	0	4
n129	9	35	181	1	4
n130	9	30	186	1	3
\DFF_19/Q_reg-SDFF-output-B	2	31	7360	0	3
\DFF_18/Q_reg-SDFF-output-B	2	35	192	0	4
\DFF_17/Q_reg-SDFF-output-B	2	30	382	0	3
\DFF_16/Q_reg-SDFF-output-B	2	29	483	0	3
n131	9	28	237	1	3
n132	9	24	137	1	3
\DFF_15/Q_reg-SDFF-output-B	2	25	599	0	3
\DFF_14/Q_reg-SDFF-output-B	2	20	143	0	2
n267	28	9	99	3	1
n133	9	19	258	1	2
\DFF_13/Q_reg-SDFF-output-B	2	45	259	0	4
n134	9	44	82	1	4
\DFF_12/Q_reg-SDFF-output-B	2	47	349	0	5
\DFF_11/Q_reg-SDFF-output-B	2	42	468	0	4
\DFF_10/Q_reg-SDFF-output-B	2	40	587	0	4
