
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 25
No. of Primary Outputs: 9
No. of Gates: 810
No. of DFFs: 79
No. of Nodes: 1870
Execution Time: 548619000 ns
Primary Inputs: troj29_0n24 troj29_0n19 troj29_0N73 troj29_0n29 test_si troj29_0n5 CK test_se G15 G12 G16 G0 G3 G1 G4 G2 G5 G7 G8 G9 G10 G13 G11 G6 G14
Outputs: troj29_0n26 Trigger_en0_7 Trigger_en0_1 G729 Trigger_en0_0 troj29_0n25 Trigger_en0_3 G702 G727


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj29_0n24	1	1	96	0	0
troj29_0n19	1	1	29	0	0
troj29_0N73	1	1	87	0	0
troj29_0n29	1	1	47	0	0
test_si	1	1	217	0	0
troj29_0n5	1	1	59	0	0
CK	1	1	1	0	0
test_se	1	1	25	0	0
G15	1	1	225	0	0
G12	1	1	7584	0	0
G16	1	1	171	0	0
G0	1	1	340	0	0
G3	1	1	256	0	0
G1	1	1	308	0	0
G4	1	1	244	0	0
G2	1	1	307	0	0
G5	1	1	368	0	0
G7	1	1	557	0	0
G8	1	1	99	0	0
G9	1	1	621	0	0
G10	1	1	367	0	0
G13	1	1	349	0	0
G11	1	1	235	0	0
G6	1	1	276	0	0
G14	1	1	31	0	0
G729	8	24	0	1	4
n539	8	19	7	1	3
n363	8	19	193	1	3
G726	8	14	207	1	2
n538	8	9	214	1	1
n465	8	9	118	1	1
n537	8	9	339	1	1
n458	8	9	172	1	1
n536	8	9	518	1	1
n378	8	9	24	1	1
n535	8	24	549	1	4
n360	8	24	147	1	4
n534	8	19	703	1	3
n433	8	19	197	1	3
n533	8	14	907	1	2
n434	8	14	77	1	2
n532	8	9	991	1	1
n432	8	9	360	1	1
n531	8	11	1358	1	1
n370	8	11	80	1	1
n530	8	11	1445	1	1
n371	8	11	80	1	1
n529	8	16	1532	1	2
n345	8	16	83	1	2
n528	8	11	1622	1	1
n444	8	11	243	1	1
n527	8	11	1872	1	1
n445	8	11	243	1	1
n526	8	11	2122	1	1
n446	8	11	243	1	1
n525	8	11	2372	1	1
n447	8	11	243	1	1
n524	8	39	2622	1	4
n472	8	39	245	1	4
