
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 25
No. of Primary Outputs: 14
No. of Gates: 788
No. of DFFs: 79
No. of Nodes: 1826
Execution Time: 498370000 ns
Primary Inputs: troj30_0n24 troj30_0n1 troj30_0N80 test_si troj30_0N81 CK test_se G15 G12 G16 G0 G3 G1 G4 G2 G5 G7 G8 G9 G10 G13 G11 troj30_0N79 G6 G14
Outputs: troj30_0n18 troj30_0n17 troj30_0n15 Trigger_en0_10 Trigger_en0_7 Trigger_en0_6 Trigger_en0_4 Trigger_en0_2 G729 Trigger_en0_0 Trigger_en0_9 Trigger_en0_3 G702 G727


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj30_0n24	1	1	27	0	0
troj30_0n1	1	1	20	0	0
troj30_0N80	1	1	25	0	0
test_si	1	1	217	0	0
troj30_0N81	1	1	24	0	0
CK	1	1	1	0	0
test_se	1	1	25	0	0
G15	1	1	225	0	0
G12	1	1	8241	0	0
G16	1	1	171	0	0
G0	1	1	340	0	0
G3	1	1	256	0	0
G1	1	1	308	0	0
G4	1	1	244	0	0
G2	1	1	307	0	0
G5	1	1	368	0	0
G7	1	1	1545	0	0
G8	1	1	99	0	0
G9	1	1	1545	0	0
G10	1	1	360	0	0
G13	1	1	349	0	0
G11	1	1	235	0	0
troj30_0N79	1	1	9	0	0
G6	1	1	276	0	0
G14	1	1	31	0	0
G729	8	24	0	1	4
n539	8	19	7	1	3
n363	8	19	193	1	3
G726	8	14	207	1	2
n538	8	9	214	1	1
n465	8	9	118	1	1
n537	8	9	339	1	1
n458	8	9	165	1	1
n536	8	9	511	1	1
n378	8	9	24	1	1
n535	8	24	542	1	4
n360	8	24	140	1	4
n534	8	19	689	1	3
n433	8	19	197	1	3
n533	8	14	893	1	2
n434	8	14	77	1	2
n532	8	9	977	1	1
n432	8	9	360	1	1
n531	8	11	1344	1	1
n370	8	11	80	1	1
n530	8	11	1431	1	1
n371	8	11	80	1	1
n529	8	16	1518	1	2
n345	8	16	83	1	2
n528	8	11	1608	1	1
n444	8	11	243	1	1
n527	8	11	1858	1	1
n445	8	11	243	1	1
n526	8	11	2108	1	1
n446	8	11	243	1	1
n525	8	11	2358	1	1
n447	8	11	243	1	1
n524	8	39	2608	1	4
n472	8	39	245	1	4
n523	8	39	2860	1	4
n369	8	39	243	1	4
n522	8	39	3110	1	4
n471	8	39	243	1	4
n521	8	38	3360	1	4
n356	8	38	243	1	4
n520	8	33	3610	1	4
n346	8	33	243	1	4
n519	8	28	3860	1	3
n452	8	28	131	1	3
n518	8	28	3998	1	3
n451	8	28	131	1	3
n517	8	28	4136	1	3
n450	8	28	131	1	3
n516	8	30	4274	1	3
n372	8	30	75	1	3
n515	8	31	4356	1	4
n351	8	31	151	1	4
n514	8	26	4514	1	3
n358	8	26	151	1	3
n513	8	21	4672	1	3
n352	8	21	151	1	3
n512	8	16	4830	1	2
n366	8	16	156	1	2
n511	8	11	4993	1	1
n435	8	11	919	1	1
n510	8	37	5919	1	5
n473	8	37	93	1	5
n509	8	32	6019	1	4
n350	8	32	495	1	4
n436	8	27	121	1	3
n508	8	51	128	1	5
n437	8	51	97	1	5
n507	8	48	232	1	5
n438	8	48	278	1	5
n506	8	77	517	1	8
n361	8	77	224	1	8
n505	8	59	748	1	7
n443	8	59	224	1	7
n504	8	40	979	1	6
n439	8	40	561	1	6
n503	8	35	1547	1	5
n448	8	35	1104	1	5
n502	8	30	2658	1	4
n440	8	30	2709	1	4
n501	8	25	5374	1	3
n449	8	25	1131	1	3
n500	8	20	6512	1	2
n442	8	20	140	1	2
n499	8	60	6659	1	6
n373	8	60	249	1	6
n498	8	41	6915	1	5
n441	8	41	249	1	5
n497	8	36	7171	1	5
n456	8	36	256	1	5
n496	8	31	7434	1	4
n455	8	31	256	1	4
n495	8	26	7697	1	3
n454	8	26	256	1	3
n494	8	21	7960	1	2
n453	8	21	256	1	2
n493	8	40	8223	1	4
n357	8	40	195	1	4
n492	8	40	8425	1	4
n354	8	40	221	1	4
n491	8	39	8653	1	4
n470	8	39	260	1	4
n490	8	39	8920	1	4
n353	8	39	218	1	4
n489	8	39	9145	1	5
n469	8	39	293	1	5
n488	8	34	9445	1	4
n459	8	34	182	1	4
n460	8	29	187	1	3
n487	8	33	194	1	4
n461	8	33	183	1	4
n486	8	28	384	1	3
n364	8	28	94	1	3
n485	8	27	485	1	3
n374	8	27	236	1	3
n457	8	23	240	1	3
n484	8	18	247	1	2
n462	8	18	109	1	2
n483	8	43	363	1	4
n359	8	43	83	1	4
n482	8	45	453	1	5
n367	8	45	112	1	5
n481	8	40	572	1	4
n375	8	40	112	1	4
n480	8	38	691	1	4
n463	8	38	112	1	4
n479	8	33	810	1	4
n376	8	33	112	1	4
n464	8	28	112	1	3
n478	8	38	119	1	5
n466	8	38	174	1	5
n467	8	31	204	1	4
n477	8	26	211	1	3
n368	8	26	204	1	3
n476	8	21	422	1	3
n377	8	21	191	1	3
n468	8	16	196	1	3
G23	8	11	203	1	2
G22	8	6	210	1	1
troj30_0state_0_	12	4	7	3	1
troj30_0n16	12	4	10	3	1
troj30_0state_1_	3	3	8	1	1
troj30_0state_3_	3	3	18	1	1
troj30_0n21	3	3	5	1	1
troj30_0state_2_	3	3	5	1	1
troj30_0n20	3	3	19	1	1
Trojan_out0	6	16	846	2	5
\DFF_73/Q_reg-SDFF-s-bar	2	2	89	0	0
\DFF_72/Q_reg-SDFF-s-bar	2	2	231	0	0
\DFF_71/Q_reg-SDFF-s-bar	2	2	247	0	0
\DFF_70/Q_reg-SDFF-s-bar	2	2	340	0	0
\DFF_69/Q_reg-SDFF-s-bar	2	2	512	0	0
\DFF_68/Q_reg-SDFF-s-bar	2	2	543	0	0
\DFF_67/Q_reg-SDFF-s-bar	2	2	712	0	0
\DFF_66/Q_reg-SDFF-s-bar	2	2	911	0	0
\DFF_65/Q_reg-SDFF-s-bar	2	2	996	0	0
\DFF_64/Q_reg-SDFF-s-bar	2	2	1345	0	0
\DFF_63/Q_reg-SDFF-s-bar	2	2	1434	0	0
\DFF_62/Q_reg-SDFF-s-bar	2	2	1521	0	0
\DFF_61/Q_reg-SDFF-s-bar	2	2	1644	0	0
\DFF_60/Q_reg-SDFF-s-bar	2	2	1861	0	0
\DFF_59/Q_reg-SDFF-s-bar	2	2	2111	0	0
\DFF_58/Q_reg-SDFF-s-bar	2	2	2361	0	0
\DFF_57/Q_reg-SDFF-s-bar	2	2	2611	0	0
\DFF_56/Q_reg-SDFF-s-bar	2	2	2891	0	0
\DFF_55/Q_reg-SDFF-s-bar	2	2	3141	0	0
\DFF_54/Q_reg-SDFF-s-bar	2	2	3391	0	0
\DFF_53/Q_reg-SDFF-s-bar	2	2	3641	0	0
\DFF_52/Q_reg-SDFF-s-bar	2	2	3903	0	0
\DFF_51/Q_reg-SDFF-s-bar	2	2	4018	0	0
\DFF_50/Q_reg-SDFF-s-bar	2	2	4156	0	0
\DFF_49/Q_reg-SDFF-s-bar	2	2	4294	0	0
\DFF_48/Q_reg-SDFF-s-bar	2	2	4378	0	0
\DFF_47/Q_reg-SDFF-s-bar	2	2	4553	0	0
\DFF_46/Q_reg-SDFF-s-bar	2	2	4693	0	0
\DFF_45/Q_reg-SDFF-s-bar	2	2	4870	0	0
\DFF_44/Q_reg-SDFF-s-bar	2	2	5022	0	0
\DFF_43/Q_reg-SDFF-s-bar	2	2	5922	0	0
\DFF_42/Q_reg-SDFF-s-bar	2	2	6060	0	0
\DFF_41/Q_reg-SDFF-s-bar	2	2	6556	0	0
\DFF_40/Q_reg-SDFF-s-bar	2	2	147	0	0
\DFF_39/Q_reg-SDFF-s-bar	2	2	275	0	0
\DFF_38/Q_reg-SDFF-s-bar	2	2	557	0	0
\DFF_37/Q_reg-SDFF-s-bar	2	2	843	0	0
\DFF_36/Q_reg-SDFF-s-bar	2	2	1079	0	0
\DFF_35/Q_reg-SDFF-s-bar	2	2	1606	0	0
\DFF_34/Q_reg-SDFF-s-bar	2	2	2706	0	0
