
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 23
No. of Primary Outputs: 5
No. of Gates: 745
No. of DFFs: 79
No. of Nodes: 1739
Execution Time: 1348371000 ns
Primary Inputs: troj4_0n8 test_si troj4_0N68 troj4_0N66 CK test_se G15 G12 G16 G0 G3 G1 G4 G2 G5 G7 G8 G9 G10 G13 G11 G6 G14
Outputs: troj4_0n14 troj4_0n3 G729 G702 G727


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj4_0n8	1	1	615	0	0
test_si	1	1	215	0	0
troj4_0N68	1	1	99999998	0	0
troj4_0N66	1	1	99999998	0	0
CK	1	1	1	0	0
test_se	1	1	25	0	0
G15	1	1	223	0	0
G12	1	1	12185	0	0
G16	1	1	171	0	0
G0	1	1	338	0	0
G3	1	1	254	0	0
G1	1	1	306	0	0
G4	1	1	242	0	0
G2	1	1	305	0	0
G5	1	1	371	0	0
G7	1	1	2361	0	0
G8	1	1	99	0	0
G9	1	1	1650	0	0
G10	1	1	365	0	0
G13	1	1	347	0	0
G11	1	1	233	0	0
G6	1	1	274	0	0
G14	1	1	31	0	0
G729	8	24	0	1	4
n539	8	19	7	1	3
n363	8	19	191	1	3
G726	8	14	205	1	2
n538	8	9	212	1	1
n465	8	9	118	1	1
n537	8	9	337	1	1
n458	8	9	165	1	1
n536	8	9	509	1	1
n378	8	9	24	1	1
n535	8	24	540	1	4
n360	8	24	140	1	4
n534	8	19	687	1	3
n433	8	19	197	1	3
n533	8	14	891	1	2
n434	8	14	77	1	2
n532	8	9	975	1	1
n432	8	9	358	1	1
n531	8	11	1340	1	1
n370	8	11	80	1	1
n530	8	11	1427	1	1
n371	8	11	80	1	1
n529	8	16	1514	1	2
n345	8	16	83	1	2
n528	8	11	1604	1	1
n444	8	11	243	1	1
n527	8	11	1854	1	1
n445	8	11	243	1	1
n526	8	11	2104	1	1
n446	8	11	243	1	1
n525	8	11	2354	1	1
n447	8	11	243	1	1
n524	8	39	2604	1	4
n472	8	39	245	1	4
n523	8	39	2856	1	4
n369	8	39	243	1	4
n522	8	39	3106	1	4
n471	8	39	243	1	4
n521	8	38	3356	1	4
n356	8	38	243	1	4
n520	8	33	3606	1	4
n346	8	33	243	1	4
n519	8	28	3856	1	3
n452	8	28	131	1	3
n518	8	28	3994	1	3
n451	8	28	131	1	3
n517	8	28	4132	1	3
n450	8	28	131	1	3
n516	8	30	4270	1	3
n372	8	30	75	1	3
n515	8	31	4352	1	4
n351	8	31	151	1	4
n514	8	26	4510	1	3
n358	8	26	151	1	3
n513	8	21	4668	1	3
n352	8	21	151	1	3
n512	8	16	4826	1	2
n366	8	16	156	1	2
n511	8	11	4989	1	1
n435	8	11	5144	1	1
n510	8	37	10140	1	5
n473	8	37	93	1	5
n509	8	32	10240	1	4
n350	8	32	705	1	4
n436	8	27	121	1	3
n508	8	51	128	1	5
n437	8	51	97	1	5
n507	8	48	232	1	5
n438	8	48	278	1	5
n506	8	50	517	1	8
n361	8	50	224	1	8
n505	8	45	748	1	7
n443	8	45	224	1	7
n504	8	40	979	1	6
n439	8	40	666	1	6
n503	8	35	1652	1	5
n448	8	35	645	1	5
n502	8	30	2304	1	4
n440	8	30	593	1	4
n501	8	25	2904	1	3
n449	8	25	615	1	3
n500	8	20	3526	1	2
n442	8	20	140	1	2
n499	8	46	3673	1	6
n373	8	46	3718	1	6
n498	8	41	7398	1	5
n441	8	41	3718	1	5
n497	8	36	11123	1	5
n456	8	36	254	1	5
n496	8	31	11384	1	4
n455	8	31	254	1	4
n495	8	26	11645	1	3
n454	8	26	254	1	3
n494	8	21	11906	1	2
n453	8	21	254	1	2
n493	8	40	12167	1	4
n357	8	40	193	1	4
n492	8	40	12367	1	4
n354	8	40	219	1	4
n491	8	39	12593	1	4
n470	8	39	258	1	4
n490	8	39	12858	1	4
n353	8	39	259	1	4
n489	8	39	13124	1	5
n469	8	39	291	1	5
n488	8	34	13422	1	4
n459	8	34	182	1	4
n460	8	29	187	1	3
n487	8	33	194	1	4
n461	8	33	183	1	4
n486	8	28	384	1	3
n364	8	28	94	1	3
n485	8	27	485	1	3
n374	8	27	236	1	3
n457	8	23	240	1	3
n484	8	18	247	1	2
n462	8	18	109	1	2
n483	8	43	363	1	4
n359	8	43	83	1	4
n482	8	45	453	1	5
n367	8	45	112	1	5
n481	8	40	572	1	4
n375	8	40	112	1	4
n480	8	38	691	1	4
n463	8	38	112	1	4
n479	8	33	810	1	4
n376	8	33	112	1	4
n464	8	28	112	1	3
n478	8	36	119	1	5
n466	8	36	174	1	5
n467	8	31	202	1	4
n477	8	26	209	1	3
n368	8	26	202	1	3
n476	8	21	418	1	3
n377	8	21	189	1	3
n468	8	16	194	1	3
G23	8	11	201	1	2
G22	8	6	208	1	1
troj4_0state_0_	3	3	11	1	1
troj4_0n13	3	3	99999995	1	1
troj4_0state_3_	6	99999998	0	2	99999998
troj4_0n19	6	99999998	0	2	99999998
troj4_0state_2_	3	3	614	1	1
troj4_0n16	3	3	99999995	1	1
troj4_0state_1_	6	99999998	0	2	99999998
troj4_0n17	6	99999998	0	2	99999998
Trojan_out0	6	99999998	4003	2	99999998
\DFF_73/Q_reg-SDFF-s-bar	2	2	89	0	0
\DFF_72/Q_reg-SDFF-s-bar	2	2	229	0	0
\DFF_71/Q_reg-SDFF-s-bar	2	2	245	0	0
\DFF_70/Q_reg-SDFF-s-bar	2	2	338	0	0
\DFF_69/Q_reg-SDFF-s-bar	2	2	510	0	0
\DFF_68/Q_reg-SDFF-s-bar	2	2	541	0	0
\DFF_67/Q_reg-SDFF-s-bar	2	2	710	0	0
\DFF_66/Q_reg-SDFF-s-bar	2	2	909	0	0
\DFF_65/Q_reg-SDFF-s-bar	2	2	994	0	0
\DFF_64/Q_reg-SDFF-s-bar	2	2	1341	0	0
\DFF_63/Q_reg-SDFF-s-bar	2	2	1430	0	0
\DFF_62/Q_reg-SDFF-s-bar	2	2	1517	0	0
\DFF_61/Q_reg-SDFF-s-bar	2	2	1640	0	0
\DFF_60/Q_reg-SDFF-s-bar	2	2	1857	0	0
\DFF_59/Q_reg-SDFF-s-bar	2	2	2107	0	0
\DFF_58/Q_reg-SDFF-s-bar	2	2	2357	0	0
\DFF_57/Q_reg-SDFF-s-bar	2	2	2607	0	0
\DFF_56/Q_reg-SDFF-s-bar	2	2	2887	0	0
\DFF_55/Q_reg-SDFF-s-bar	2	2	3137	0	0
\DFF_54/Q_reg-SDFF-s-bar	2	2	3387	0	0
\DFF_53/Q_reg-SDFF-s-bar	2	2	3637	0	0
\DFF_52/Q_reg-SDFF-s-bar	2	2	3899	0	0
\DFF_51/Q_reg-SDFF-s-bar	2	2	4014	0	0
\DFF_50/Q_reg-SDFF-s-bar	2	2	4152	0	0
\DFF_49/Q_reg-SDFF-s-bar	2	2	4290	0	0
\DFF_48/Q_reg-SDFF-s-bar	2	2	4374	0	0
\DFF_47/Q_reg-SDFF-s-bar	2	2	4549	0	0
\DFF_46/Q_reg-SDFF-s-bar	2	2	4689	0	0
\DFF_45/Q_reg-SDFF-s-bar	2	2	4866	0	0
\DFF_44/Q_reg-SDFF-s-bar	2	2	5018	0	0
\DFF_43/Q_reg-SDFF-s-bar	2	2	10143	0	0
\DFF_42/Q_reg-SDFF-s-bar	2	2	10281	0	0
\DFF_41/Q_reg-SDFF-s-bar	2	2	10987	0	0
\DFF_40/Q_reg-SDFF-s-bar	2	2	147	0	0
\DFF_39/Q_reg-SDFF-s-bar	2	2	275	0	0
\DFF_38/Q_reg-SDFF-s-bar	2	2	557	0	0
\DFF_37/Q_reg-SDFF-s-bar	2	2	843	0	0
\DFF_36/Q_reg-SDFF-s-bar	2	2	1052	0	0
\DFF_35/Q_reg-SDFF-s-bar	2	2	1711	0	0
\DFF_34/Q_reg-SDFF-s-bar	2	2	2352	0	0
\DFF_33/Q_reg-SDFF-s-bar	2	2	2952	0	0
\DFF_32/Q_reg-SDFF-s-bar	2	2	3557	0	0
\DFF_31/Q_reg-SDFF-s-bar	2	2	3685	0	0
\DFF_30/Q_reg-SDFF-s-bar	2	2	7466	0	0
\DFF_29/Q_reg-SDFF-s-bar	2	2	11170	0	0
\DFF_28/Q_reg-SDFF-s-bar	2	2	11428	0	0
\DFF_27/Q_reg-SDFF-s-bar	2	2	11684	0	0
