
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 64
No. of Primary Outputs: 42
No. of Gates: 4521
No. of DFFs: 517
No. of Nodes: 10577
Execution Time: 2268724000 ns
Primary Inputs: troj2_0n2 troj2_0n1 troj2_0N38 troj2_0N37 test_si g6283 g6253 g6285 g6265 g6281 g6284 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 g6259 g6263 g4208 g4197 g1700 g741 g744 g6258 troj2_0n3 g1696 g750 g6264 g4200 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: troj2_0n6 troj2_0n4 Trigger_en0_6 Trigger_en0_5 troj2_0n5 g8984 g3327 g10377 g10455 g10457 g10463 g10465 g10801 g11206 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 Trigger_en0_0 Trigger_en0_3 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj2_0n2	1	1	3367	0	0
troj2_0n1	1	1	3361	0	0
troj2_0N38	1	1	3359	0	0
troj2_0N37	1	1	7219	0	0
test_si	1	1	7522	0	0
g6283	1	1	894	0	0
g6253	1	1	10692	0	0
g6285	1	1	3205	0	0
g6265	1	1	1147	0	0
g6281	1	1	1844	0	0
g6284	1	1	2242	0	0
g6282	1	1	4738	0	0
test_se	1	1	18	0	0
g6256	1	1	8	0	0
g4202	1	1	140	0	0
g4214	1	1	140	0	0
g4203	1	1	80	0	0
g4215	1	1	80	0	0
g881	1	1	168	0	0
g4195	1	1	173	0	0
g4204	1	1	174	0	0
g4216	1	1	166	0	0
g4205	1	1	173	0	0
g4191	1	1	183	0	0
g4196	1	1	154	0	0
g4206	1	1	146	0	0
g4209	1	1	153	0	0
g4207	1	1	145	0	0
g4193	1	1	162	0	0
g4210	1	1	152	0	0
g4198	1	1	152	0	0
g4194	1	1	171	0	0
g4211	1	1	161	0	0
g4199	1	1	161	0	0
g4212	1	1	159	0	0
g4213	1	1	114	0	0
g4201	1	1	114	0	0
g877	1	1	36	0	0
g4192	1	1	163	0	0
g6259	1	1	80	0	0
g6263	1	1	10	0	0
g4208	1	1	154	0	0
g4197	1	1	153	0	0
g1700	1	1	11	0	0
g741	1	1	3	0	0
g744	1	1	3	0	0
g6258	1	1	80	0	0
troj2_0n3	1	1	3360	0	0
g1696	1	1	11	0	0
g750	1	1	58	0	0
g6264	1	1	14	0	0
g4200	1	1	159	0	0
g109	1	1	3	0	0
g6260	1	1	80	0	0
g23	1	1	1	0	0
g742	1	1	3	0	0
CK	1	1	4	0	0
g743	1	1	3	0	0
g6261	1	1	91	0	0
g6257	1	1	80	0	0
g6262	1	1	91	0	0
g2355	1	1	308	0	0
g6255	1	1	8	0	0
g6254	1	1	8	0	0
g8984	8	15	0	1	2
n2034	8	15	3	1	2
n3277	8	28	10	1	3
n2510	8	28	443	1	3
n3276	8	23	460	1	2
n2776	8	23	139	1	2
n3275	8	19	606	1	1
n2778	8	19	150	1	1
n3274	8	18	763	1	3
n2631	8	18	775	1	3
n3273	8	13	1545	1	2
n2764	8	13	162	1	2
g1360	8	8	1714	1	1
n2583	8	18	685	1	2
n3272	8	46	692	1	4
n2719	8	46	1238	1	4
n3271	8	41	1937	1	5
n2621	8	41	269	1	5
n3270	8	36	2213	1	4
n2634	8	36	939	1	4
n3269	8	31	3159	1	3
n2498	8	31	490	1	3
n3268	8	26	3656	1	2
n2795	8	26	182	1	2
n3267	8	27	3845	1	2
n2542	8	27	466	1	2
n3266	8	24	4318	1	3
n2517	8	24	427	1	3
n2585	8	40	695	1	4
n3265	8	35	702	1	3
n2705	8	35	1234	1	3
n3264	8	30	1943	1	3
n2654	8	30	634	1	3
n3263	8	25	2584	1	2
n2772	8	25	162	1	2
g8981	8	31	2753	1	4
n2019	8	31	3	1	4
n3262	8	26	2763	1	3
n2033	8	26	594	1	3
n3261	8	24	3364	1	2
n2745	8	24	169	1	2
n3260	8	36	3540	1	4
n2611	8	36	634	1	4
n3259	8	31	4181	1	3
n2711	8	31	443	1	3
n3258	8	26	4631	1	2
n1960	8	26	1317	1	2
n2646	8	32	4755	1	4
n3257	8	27	4762	1	3
n2757	8	27	119	1	3
n3256	8	22	4888	1	2
n2785	8	22	127	1	2
n3255	8	17	5022	1	3
n2713	8	17	26	1	3
n3254	8	12	5055	1	2
n2523	8	12	1987	1	2
g2611	7	7	7049	1	1
n3253	8	40	7055	1	3
n2765	8	40	161	1	3
g5645	8	35	7223	1	2
n3252	8	30	7230	1	5
n2598	8	30	636	1	5
n3251	8	25	7873	1	4
n2608	8	25	821	1	4
n3250	8	20	8701	1	3
n2648	8	20	634	1	3
g8976	8	15	9342	1	2
n2038	8	15	3	1	2
n3249	8	22	9352	1	3
n2723	8	22	577	1	3
n3248	8	17	9936	1	2
n2589	8	17	667	1	2
n3247	8	41	10610	1	5
n2507	8	41	461	1	5
n3246	8	36	11078	1	4
n2054	8	36	566	1	4
n3245	8	31	11651	1	3
n2689	8	31	523	1	3
n3244	8	26	12181	1	2
n1959	8	26	3813	1	2
n3243	8	27	16001	1	4
\DFF_489/net776	8	27	507	1	4
n3242	8	22	16515	1	3
n2500	8	22	711	1	3
n2553	8	17	490	1	2
n3241	8	27	497	1	3
n2031	8	27	490	1	3
n3240	8	22	994	1	2
n2779	8	22	164	1	2
n2561	8	17	490	1	2
n3239	8	35	497	1	5
n2670	8	35	351	1	5
n3238	8	30	855	1	4
n2707	8	30	1166	1	4
n3237	8	25	2028	1	4
n2800	8	25	78	1	4
n3236	8	20	2113	1	3
n2605	8	20	634	1	3
g8982	8	15	2754	1	2
n2035	8	15	3	1	2
n3235	8	17	2764	1	3
n2686	8	17	523	1	3
n3234	8	12	3294	1	2
n2728	8	12	100	1	2
g2607	7	7	3401	1	1
n3233	8	28	3407	1	3
n2032	8	28	624	1	3
n3232	8	23	4038	1	2
n1961	8	23	652	1	2
n2536	8	18	301	1	3
n2643	8	13	308	1	2
g1710	8	8	315	1	1
n3231	8	22	322	1	3
n2782	8	22	119	1	3
n3230	8	17	448	1	2
n1944	8	17	686	1	2
n3229	8	22	1141	1	4
n2682	8	22	523	1	4
n3228	8	17	1671	1	3
n2806	8	17	126	1	3
n3227	8	12	1804	1	2
n2700	8	12	26	1	2
g2610	7	7	1837	1	1
n3226	8	12	1843	1	2
n2783	8	12	163	1	2
g755	7	7	1140	1	1
n3225	8	37	1146	1	6
n1957	8	37	639	1	6
n3224	8	32	1792	1	5
n2699	8	32	468	1	5
n3223	8	27	2267	1	4
n2629	8	27	776	1	4
n3222	8	22	3050	1	3
n2762	8	22	138	1	3
n3221	8	17	3195	1	2
n2015	8	17	443	1	2
n3220	8	26	3645	1	2
n2769	8	26	162	1	2
n3219	8	26	3814	1	3
n1948	8	26	181	1	3
n3218	8	21	4002	1	2
n2803	8	21	78	1	2
n3217	8	16	4087	1	2
n2797	8	16	183	1	2
n3216	8	11	4277	1	1
\DFF_452/net739	8	11	545	1	1
g2608	7	7	4829	1	1
n3215	8	98	4835	1	10
n1968	8	98	559	1	10
n3214	8	54	5401	1	6
n1956	8	54	443	1	6
n3213	8	45	5851	1	5
n2773	8	45	139	1	5
n3212	8	40	5997	1	4
n2053	8	40	592	1	4
g5647	8	35	3294	1	4
g7	8	31	144	1	3
n3211	8	26	151	1	2
n1996	8	26	482	1	2
g5649	8	25	640	1	3
n3210	8	20	647	1	3
n2615	8	20	634	1	3
n3209	8	15	1288	1	2
\DFF_441/net728	8	15	1771	1	2
n3208	8	23	3066	1	3
n2597	8	23	5845	1	3
n2581	8	18	685	1	2
n3207	8	46	692	1	4
n2535	8	46	447	1	4
n3206	8	34	1146	1	4
\DFF_436/net723	8	34	1422	1	4
n3205	8	42	2575	1	5
