
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 63
No. of Primary Outputs: 43
No. of Gates: 4518
No. of DFFs: 517
No. of Nodes: 10570
Execution Time: 5722048000 ns
Primary Inputs: troj5_0n3 troj5_0n2 test_si g6283 troj5_0N36 troj5_0n1 g6253 g6285 g6265 g6281 g6284 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 g6259 g6263 g4208 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: troj5_0n6 troj5_0state_2_ Trigger_en0_5 Trigger_en0_2 troj5_0n4 Trigger_en0_1 g8984 g3327 g10377 g10455 g10457 g10463 g10465 g10801 g11206 troj5_0n5 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 Trigger_en0_3 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj5_0n3	1	1	99999997	0	0
troj5_0n2	1	1	17	0	0
test_si	1	1	42481	0	0
g6283	1	1	894	0	0
troj5_0N36	1	1	23	0	0
troj5_0n1	1	1	99999997	0	0
g6253	1	1	9277	0	0
g6285	1	1	11300	0	0
g6265	1	1	1581	0	0
g6281	1	1	20514	0	0
g6284	1	1	1959	0	0
g6282	1	1	5972	0	0
test_se	1	1	18	0	0
g6256	1	1	8	0	0
g4202	1	1	140	0	0
g4214	1	1	140	0	0
g4203	1	1	80	0	0
g4215	1	1	80	0	0
g881	1	1	168	0	0
g4195	1	1	173	0	0
g4204	1	1	174	0	0
g4216	1	1	166	0	0
g4205	1	1	173	0	0
g4191	1	1	183	0	0
g4196	1	1	154	0	0
g4206	1	1	146	0	0
g4209	1	1	153	0	0
g4207	1	1	145	0	0
g4193	1	1	162	0	0
g4210	1	1	152	0	0
g4198	1	1	152	0	0
g4194	1	1	171	0	0
g4211	1	1	161	0	0
g4199	1	1	161	0	0
g4212	1	1	159	0	0
g4213	1	1	114	0	0
g4201	1	1	114	0	0
g877	1	1	36	0	0
g4192	1	1	163	0	0
g6259	1	1	80	0	0
g6263	1	1	10	0	0
g4208	1	1	154	0	0
g4197	1	1	153	0	0
g1700	1	1	11	0	0
g741	1	1	3	0	0
g744	1	1	3	0	0
g6258	1	1	80	0	0
g1696	1	1	11	0	0
g750	1	1	58	0	0
g6264	1	1	14	0	0
g4200	1	1	159	0	0
g109	1	1	3	0	0
g6260	1	1	80	0	0
g23	1	1	1	0	0
g742	1	1	3	0	0
CK	1	1	2	0	0
g743	1	1	3	0	0
g6261	1	1	91	0	0
g6257	1	1	80	0	0
g6262	1	1	91	0	0
g2355	1	1	308	0	0
g6255	1	1	8	0	0
g6254	1	1	8	0	0
g8984	8	15	0	1	2
n2034	8	15	3	1	2
n3277	8	28	10	1	3
n2510	8	28	803	1	3
n3276	8	23	820	1	2
n2776	8	23	139	1	2
n3275	8	19	966	1	1
n2778	8	19	150	1	1
n3274	8	18	1123	1	3
n2631	8	18	4470	1	3
n3273	8	13	5600	1	2
n2764	8	13	162	1	2
g1360	8	8	5769	1	1
n2583	8	18	5776	1	2
n3272	8	46	5783	1	4
n2719	8	46	4468	1	4
n3271	8	41	10258	1	5
n2621	8	41	265	1	5
n3270	8	36	10530	1	4
n2634	8	36	615	1	4
n3269	8	31	11152	1	3
n2498	8	31	894	1	3
n3268	8	26	12053	1	2
n2795	8	26	182	1	2
n3267	8	27	12242	1	2
n2542	8	27	506	1	2
n3266	8	24	12755	1	3
n2517	8	24	336	1	3
n2585	8	40	13098	1	4
n3265	8	35	13105	1	3
n2705	8	35	3134	1	3
n3264	8	30	16246	1	3
n2654	8	30	611	1	3
n3263	8	25	16864	1	2
n2772	8	25	162	1	2
g8981	8	31	17033	1	4
n2019	8	31	3	1	4
n3262	8	26	17043	1	3
n2033	8	26	594	1	3
n3261	8	24	17644	1	2
n2745	8	24	169	1	2
n3260	8	36	17820	1	4
n2611	8	36	604	1	4
n3259	8	31	18431	1	3
n2711	8	31	620	1	3
n3258	8	26	19058	1	2
n1960	8	26	507	1	2
n2646	8	32	19182	1	4
n3257	8	27	19189	1	3
n2757	8	27	119	1	3
n3256	8	22	19315	1	2
n2785	8	22	127	1	2
n3255	8	17	19449	1	3
n2713	8	17	26	1	3
n3254	8	12	19482	1	2
n2523	8	12	607	1	2
g2611	7	7	20096	1	1
n3253	8	40	20102	1	3
n2765	8	40	161	1	3
g5645	8	35	20270	1	2
n3252	8	30	20277	1	5
n2598	8	30	624	1	5
n3251	8	25	20908	1	4
n2608	8	25	632	1	4
n3250	8	20	21547	1	3
n2648	8	20	611	1	3
g8976	8	15	22165	1	2
n2038	8	15	3	1	2
n3249	8	22	22175	1	3
n2723	8	22	577	1	3
n3248	8	17	22759	1	2
n2589	8	17	708	1	2
n3247	8	41	23474	1	5
n2507	8	41	357	1	5
n3246	8	36	23838	1	4
n2054	8	36	566	1	4
n3245	8	31	24411	1	3
n2689	8	31	523	1	3
n3244	8	26	24941	1	2
n1959	8	26	507	1	2
n3243	8	27	25455	1	4
\DFF_489/net776	8	27	548	1	4
n3242	8	22	26010	1	3
n2500	8	22	14703	1	3
n2553	8	17	490	1	2
n3241	8	27	497	1	3
n2031	8	27	301	1	3
n3240	8	22	805	1	2
n2779	8	22	164	1	2
n2561	8	17	490	1	2
n3239	8	35	497	1	5
n2670	8	35	351	1	5
n3238	8	30	855	1	4
n2707	8	30	310	1	4
n3237	8	25	1172	1	4
n2800	8	25	78	1	4
n3236	8	20	1257	1	3
n2605	8	20	611	1	3
g8982	8	15	1875	1	2
n2035	8	15	3	1	2
n3235	8	17	1885	1	3
n2686	8	17	516	1	3
n3234	8	12	2408	1	2
n2728	8	12	100	1	2
g2607	7	7	2515	1	1
n3233	8	28	2521	1	3
n2032	8	28	24379	1	3
n3232	8	23	26907	1	2
n1961	8	23	652	1	2
n2536	8	18	301	1	3
n2643	8	13	308	1	2
g1710	8	8	315	1	1
n3231	8	22	322	1	3
n2782	8	22	119	1	3
n3230	8	17	448	1	2
n1944	8	17	19356	1	2
n3229	8	22	19811	1	4
n2682	8	22	523	1	4
n3228	8	17	20341	1	3
n2806	8	17	126	1	3
n3227	8	12	20474	1	2
n2700	8	12	26	1	2
g2610	7	7	20507	1	1
n3226	8	12	20513	1	2
n2783	8	12	163	1	2
g755	7	7	1574	1	1
n3225	8	37	1580	1	6
n1957	8	37	601	1	6
n3224	8	32	2188	1	5
n2699	8	32	910	1	5
n3223	8	27	3105	1	4
n2629	8	27	5618	1	4
n3222	8	22	8730	1	3
n2762	8	22	138	1	3
n3221	8	17	8875	1	2
n2015	8	17	1227	1	2
n3220	8	26	10109	1	2
n2769	8	26	162	1	2
n3219	8	26	10278	1	3
n1948	8	26	181	1	3
n3218	8	21	10466	1	2
n2803	8	21	78	1	2
n3217	8	16	10551	1	2
n2797	8	16	183	1	2
n3216	8	11	10741	1	1
\DFF_452/net739	8	11	545	1	1
g2608	7	7	11293	1	1
n3215	8	55	11299	1	7
n1968	8	55	605	1	7
n3214	8	50	11911	1	6
n1956	8	50	630	1	6
n3213	8	45	12548	1	5
n2773	8	45	139	1	5
n3212	8	40	12694	1	4
n2053	8	40	24347	1	4
g5647	8	35	2408	1	4
g7	8	31	144	1	3
n3211	8	26	151	1	2
n1996	8	26	482	1	2
g5649	8	25	640	1	3
n3210	8	20	647	1	3
n2615	8	20	611	1	3
n3209	8	15	1265	1	2
\DFF_441/net728	8	15	2996	1	2
n3208	8	23	4268	1	3
n2597	8	23	19861	1	3
n2581	8	18	19355	1	2
n3207	8	39	19362	1	4
n2535	8	39	494	1	4
n3206	8	34	19863	1	4
\DFF_436/net723	8	34	2257	1	4
n3205	8	42	22127	1	5
n2715	8	42	1102	1	5
g4181	8	37	23236	1	4
n2055	8	37	183	1	4
n3204	8	35	23426	1	4
n2658	8	35	353	1	4
n3203	8	36	23786	1	5
n2730	8	36	100	1	5
g4172	8	31	23893	1	4
n2599	8	31	28	1	4
n3202	8	32	23928	1	4
n2641	8	32	375	1	4
g4183	8	27	6838	1	3
n1990	8	27	277	1	3
n3201	8	45	7122	1	5
n2655	8	45	611	1	5
n3200	8	40	7740	1	5
n2494	8	40	1923	1	5
n3199	8	35	9670	1	4
n2740	8	35	193	1	4
n3198	8	30	9870	1	3
n2784	8	30	139	1	3
n2560	8	25	490	1	3
n3197	8	47	497	1	5
n2722	8	47	26	1	5
n2644	8	42	530	1	5
n3196	8	37	537	1	4
n2642	8	37	19182	1	4
n3195	8	32	19726	1	4
n2691	8	32	368	1	4
n3194	8	27	20101	1	4
n2603	8	27	347	1	4
n3193	8	22	20455	1	3
n1929	8	22	632	1	3
n3192	8	17	21094	1	2
n1970	8	17	814	1	2
n3191	8	26	21915	1	2
n2526	8	26	6028	1	2
n3190	8	22	27950	1	4
n2649	8	22	611	1	4
n3189	8	17	28568	1	3
n2816	8	17	525	1	3
n3188	8	12	29100	1	2
n2656	8	12	339	1	2
g2604	7	7	29446	1	1
n3187	8	39	29452	1	4
n2747	8	39	144	1	4
n3186	8	34	29603	1	3
n2671	8	34	351	1	3
n3185	8	29	29961	1	2
n2761	8	29	151	1	2
g4174	8	45	30119	1	6
n2051	8	45	183	1	6
n3184	8	40	30309	1	5
n2676	8	40	523	1	5
n3183	8	35	30839	1	4
n2659	8	35	353	1	4
n3182	8	35	31199	1	3
n2717	8	35	24173	1	3
n2515	8	33	510	1	5
n3181	8	28	517	1	5
n2568	8	28	22181	1	5
n3180	8	23	22705	1	4
n2052	8	23	286	1	4
n3179	8	18	22998	1	3
n1995	8	18	490	1	3
n3178	8	13	23495	1	2
n2014	8	13	395	1	2
g875	8	8	887	1	1
g5643	8	22	894	1	3
n3177	8	17	901	1	2
n2554	8	17	559	1	2
n3176	8	39	1467	1	5
n2039	8	39	605	1	5
n3175	8	34	2079	1	4
n2687	8	34	516	1	4
g4186	8	29	2602	1	3
n2050	8	29	285	1	3
n3174	8	26	2894	1	2
n2756	8	26	170	1	2
n3173	8	26	3071	1	2
n2799	8	26	143	1	2
n3172	8	25	3221	1	2
n2744	8	25	146	1	2
g4184	8	39	749	1	5
n1999	8	39	267	1	5
n3171	8	34	1023	1	4
n2777	8	34	162	1	4
g4188	8	29	1192	1	3
n2049	8	29	285	1	3
n3170	8	24	1484	1	2
n2793	8	24	184	1	2
n3169	8	20	1675	1	2
\DFF_385/net672	8	20	14893	1	2
n3168	8	15	16575	1	1
\DFF_384/net671	8	15	141	1	1
n3167	8	17	16723	1	2
n2016	8	17	19139	1	2
n3166	8	26	35869	1	2
n1938	8	26	771	1	2
n3165	8	27	36647	1	3
n1936	8	27	605	1	3
n3164	8	22	37259	1	2
n2017	8	22	159	1	2
n3163	8	17	37425	1	3
n2636	8	17	20948	1	3
n3162	8	12	58380	1	2
n2680	8	12	956	1	2
g2601	7	7	59343	1	1
n3161	8	44	59349	1	4
n2572	8	44	29119	1	4
n3160	8	39	88475	1	3
n2703	8	39	30913	1	3
n3159	8	34	119395	1	4
n2504	8	34	9911	1	4
n3158	8	29	129313	1	3
n2725	8	29	300	1	3
n3157	8	24	129620	1	2
n2798	8	24	183	1	2
n3156	8	19	129810	1	1
n2766	8	19	149	1	1
n3155	8	32	129966	1	5
n1980	8	32	217	1	5
n3154	8	27	130190	1	4
n2678	8	27	789	1	4
n3153	8	22	130986	1	3
n2661	8	22	353	1	3
n3152	8	17	131346	1	2
n1945	8	17	19356	1	2
n3151	8	22	150709	1	2
n2788	8	22	172	1	2
n3150	8	17	150888	1	2
n2817	8	17	780	1	2
g8986	8	32	151675	1	4
n2022	8	32	3	1	4
n3149	8	27	151685	1	3
n1978	8	27	224	1	3
n3148	8	29	151916	1	4
n2602	8	29	366	1	4
g2613	8	24	153	1	3
n3147	8	19	160	1	3
n2009	8	19	497	1	3
n3146	8	14	664	1	2
n1951	8	14	200	1	2
g874	8	9	871	1	1
g5646	8	32	878	1	4
n3145	8	27	885	1	4
n2616	8	27	611	1	4
n3144	8	22	1503	1	3
n2010	8	22	630	1	3
n3143	8	17	2140	1	2
n2013	8	17	19356	1	2
n2627	8	31	521	1	3
n3142	8	26	528	1	2
n2808	8	26	126	1	2
g37	8	21	151	1	1
n3141	8	39	158	1	5
n2509	8	39	615	1	5
g4190	8	34	780	1	4
n2492	8	34	231	1	4
n3140	8	29	1018	1	3
n2628	8	29	216	1	3
n3139	8	24	1241	1	2
n2753	8	24	172	1	2
n3138	8	27	1420	1	2
n2796	8	27	119	1	2
n3137	8	30	1546	1	4
n2657	8	30	353	1	4
n3136	8	25	1906	1	3
n2786	8	25	172	1	3
n3135	8	20	2085	1	2
n2046	8	20	149	1	2
n3134	8	34	2241	1	4
n2505	8	34	4251	1	4
n3133	8	29	6499	1	3
n2664	8	29	332	1	3
n3132	8	24	6838	1	2
n1926	8	24	773	1	2
n3131	8	19	7618	1	2
\DFF_336/net623	8	19	4819	1	2
n3130	8	14	12444	1	1
n2011	8	14	229	1	1
n3129	8	38	12680	1	4
n2612	8	38	602	1	4
n3128	8	35	13289	1	5
n1932	8	35	630	1	5
n3127	8	30	13926	1	4
n1984	8	30	298	1	4
n3126	8	25	14231	1	3
n1962	8	25	310	1	3
n3125	8	31	14548	1	4
\DFF_330/net617	8	31	318	1	4
n3124	8	26	14873	1	3
n2638	8	26	5487	1	3
g3069	8	22	87	1	3
n2551	8	17	94	1	2
n3123	8	25	101	1	2
n2736	8	25	148	1	2
n3122	8	41	256	1	6
n2750	8	41	147	1	6
n3121	8	36	410	1	5
n1952	8	36	298	1	5
n3120	8	31	715	1	4
n2727	8	31	48	1	4
n3119	8	26	770	1	3
n2606	8	26	611	1	3
n3118	8	21	1388	1	2
n2746	8	21	144	1	2
g1765	8	24	55	1	2
n3117	8	19	62	1	1
