
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 65
No. of Primary Outputs: 44
No. of Gates: 4573
No. of DFFs: 518
No. of Nodes: 10685
Execution Time: 2281373000 ns
Primary Inputs: troj7_0n18 troj7_0n14 test_si g6283 g6253 g6285 g6265 g6281 g6284 g6282 troj7_0N74 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 troj7_0N73 g4192 g6259 g6263 g4208 troj7_0N72 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 troj7_0n26 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: troj7_0n28 troj7_0n22 troj7_0n21 Trigger_en0_9 Trigger_en0_6 Trigger_en0_5 Trigger_en0_2 troj7_0n20 g8984 g3327 troj7_0n23 g10377 g10455 g10457 g10463 g10465 g10801 g11206 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj7_0n18	1	1	25	0	0
troj7_0n14	1	1	29	0	0
test_si	1	1	18639	0	0
g6283	1	1	894	0	0
g6253	1	1	5317	0	0
g6285	1	1	7130	0	0
g6265	1	1	1717	0	0
g6281	1	1	2589	0	0
g6284	1	1	1956	0	0
g6282	1	1	1408	0	0
troj7_0N74	1	1	28	0	0
test_se	1	1	18	0	0
g6256	1	1	8	0	0
g4202	1	1	140	0	0
g4214	1	1	140	0	0
g4203	1	1	80	0	0
g4215	1	1	80	0	0
g881	1	1	168	0	0
g4195	1	1	173	0	0
g4204	1	1	174	0	0
g4216	1	1	166	0	0
g4205	1	1	173	0	0
g4191	1	1	183	0	0
g4196	1	1	154	0	0
g4206	1	1	146	0	0
g4209	1	1	153	0	0
g4207	1	1	145	0	0
g4193	1	1	162	0	0
g4210	1	1	152	0	0
g4198	1	1	152	0	0
g4194	1	1	171	0	0
g4211	1	1	161	0	0
g4199	1	1	161	0	0
g4212	1	1	159	0	0
g4213	1	1	114	0	0
g4201	1	1	114	0	0
g877	1	1	36	0	0
troj7_0N73	1	1	9	0	0
g4192	1	1	163	0	0
g6259	1	1	80	0	0
g6263	1	1	10	0	0
g4208	1	1	154	0	0
troj7_0N72	1	1	5	0	0
g4197	1	1	153	0	0
g1700	1	1	11	0	0
g741	1	1	3	0	0
g744	1	1	3	0	0
g6258	1	1	80	0	0
g1696	1	1	11	0	0
g750	1	1	58	0	0
g6264	1	1	14	0	0
g4200	1	1	159	0	0
troj7_0n26	1	1	1	0	0
g109	1	1	3	0	0
g6260	1	1	80	0	0
g23	1	1	1	0	0
g742	1	1	3	0	0
CK	1	1	4	0	0
g743	1	1	3	0	0
g6261	1	1	91	0	0
g6257	1	1	80	0	0
g6262	1	1	91	0	0
g2355	1	1	215	0	0
g6255	1	1	8	0	0
g6254	1	1	8	0	0
g8984	8	15	0	1	2
n2034	8	15	3	1	2
n3277	8	28	10	1	3
n2510	8	28	871	1	3
n3276	8	23	888	1	2
n2776	8	23	139	1	2
n3275	8	19	1034	1	1
n2778	8	19	150	1	1
n3274	8	18	1191	1	3
n2631	8	18	514	1	3
n3273	8	13	1712	1	2
n2764	8	13	162	1	2
g1360	8	8	1881	1	1
n2583	8	18	345	1	2
n3272	8	46	352	1	4
n2719	8	46	491	1	4
n3271	8	41	850	1	5
n2621	8	41	269	1	5
n3270	8	36	1126	1	4
n2634	8	36	15260	1	4
n3269	8	31	16393	1	3
n2498	8	31	1043	1	3
n3268	8	26	17443	1	2
n2795	8	26	182	1	2
n3267	8	27	17632	1	2
n2542	8	27	486	1	2
n3266	8	24	18125	1	3
n2517	8	24	573	1	3
n2585	8	40	650	1	4
n3265	8	35	657	1	3
n2705	8	35	3767	1	3
n3264	8	30	4431	1	3
n2654	8	30	739	1	3
n3263	8	25	5177	1	2
n2772	8	25	162	1	2
g8981	8	31	5346	1	4
n2019	8	31	3	1	4
n3262	8	26	5356	1	3
n2033	8	26	594	1	3
n3261	8	24	5957	1	2
n2745	8	24	169	1	2
n3260	8	36	6133	1	4
n2611	8	36	779	1	4
n3259	8	31	6919	1	3
n2711	8	31	1173	1	3
n3258	8	26	8099	1	2
n1960	8	26	193	1	2
n2646	8	32	612	1	4
n3257	8	27	619	1	3
n2757	8	27	119	1	3
n3256	8	22	745	1	2
n2785	8	22	127	1	2
n3255	8	17	879	1	3
n2713	8	17	26	1	3
n3254	8	12	912	1	2
n2523	8	12	482	1	2
g2611	7	7	1401	1	1
n3253	8	40	1407	1	3
n2765	8	40	161	1	3
g5645	8	35	1575	1	2
n3252	8	30	1582	1	5
n2598	8	30	7674	1	5
n3251	8	25	9263	1	4
n2608	8	25	1132	1	4
n3250	8	20	10402	1	3
n2648	8	20	328	1	3
g8976	8	15	10737	1	2
n2038	8	15	3	1	2
n3249	8	22	10747	1	3
n2723	8	22	511	1	3
n3248	8	17	11265	1	2
n2589	8	17	477	1	2
n3247	8	41	11749	1	5
n2507	8	41	579	1	5
n3246	8	36	12335	1	4
n2054	8	36	566	1	4
n3245	8	31	12908	1	3
n2689	8	31	523	1	3
n3244	8	26	13438	1	2
n1959	8	26	3878	1	2
n3243	8	27	17323	1	4
\DFF_489/net776	8	27	434	1	4
n3242	8	22	17764	1	3
n2500	8	22	3658	1	3
n2553	8	17	490	1	2
n3241	8	27	497	1	3
n2031	8	27	340	1	3
n3240	8	22	844	1	2
n2779	8	22	164	1	2
n2561	8	17	490	1	2
n3239	8	35	497	1	5
n2670	8	35	351	1	5
n3238	8	30	855	1	4
n2707	8	30	845	1	4
n3237	8	25	1707	1	4
n2800	8	25	78	1	4
n3236	8	20	1792	1	3
n2605	8	20	702	1	3
g8982	8	15	2501	1	2
n2035	8	15	3	1	2
n3235	8	17	2511	1	3
n2686	8	17	523	1	3
n3234	8	12	3041	1	2
n2728	8	12	100	1	2
g2607	7	7	3148	1	1
n3233	8	28	3154	1	3
n2032	8	28	14945	1	3
n3232	8	23	18106	1	2
n1961	8	23	652	1	2
n2536	8	18	301	1	3
n2643	8	13	308	1	2
g1710	8	8	315	1	1
n3231	8	22	322	1	3
n2782	8	22	119	1	3
n3230	8	17	448	1	2
n1944	8	17	1431	1	2
n3229	8	22	1886	1	4
n2682	8	22	523	1	4
n3228	8	17	2416	1	3
n2806	8	17	126	1	3
n3227	8	12	2549	1	2
n2700	8	12	26	1	2
g2610	7	7	2582	1	1
n3226	8	12	2588	1	2
n2783	8	12	163	1	2
g755	7	7	1710	1	1
n3225	8	37	1716	1	6
n1957	8	37	448	1	6
n3224	8	32	2171	1	5
n2699	8	32	910	1	5
n3223	8	27	3088	1	4
n2629	8	27	930	1	4
n3222	8	22	4025	1	3
n2762	8	22	138	1	3
n3221	8	17	4170	1	2
n2015	8	17	1762	1	2
n3220	8	26	5939	1	2
n2769	8	26	162	1	2
n3219	8	26	6108	1	3
n1948	8	26	181	1	3
n3218	8	21	6296	1	2
n2803	8	21	78	1	2
n3217	8	16	6381	1	2
n2797	8	16	183	1	2
n3216	8	11	6571	1	1
\DFF_452/net739	8	11	545	1	1
g2608	7	7	7123	1	1
n3215	8	98	7129	1	10
n1968	8	98	426	1	10
n3214	8	54	7562	1	6
n1956	8	54	361	1	6
n3213	8	45	7930	1	5
n2773	8	45	139	1	5
n3212	8	40	8076	1	4
n2053	8	40	14913	1	4
g5647	8	35	3041	1	4
g7	8	31	144	1	3
n3211	8	26	151	1	2
n1996	8	26	482	1	2
g5649	8	25	640	1	3
n3210	8	20	647	1	3
n2615	8	20	702	1	3
n3209	8	15	1356	1	2
\DFF_441/net728	8	15	348	1	2
n3208	8	23	1711	1	3
n2597	8	23	9945	1	3
n2581	8	18	345	1	2
n3207	8	46	352	1	4
n2535	8	46	524	1	4
n3206	8	34	883	1	4
\DFF_436/net723	8	34	1082	1	4
n3205	8	42	1972	1	5
n2715	8	42	562	1	5
g4181	8	37	2541	1	4
n2055	8	37	183	1	4
n3204	8	35	2731	1	4
n2658	8	35	286	1	4
n3203	8	36	3024	1	5
n2730	8	36	100	1	5
g4172	8	31	3131	1	4
n2599	8	31	28	1	4
n3202	8	32	3166	1	4
n2641	8	32	11703	1	4
g4183	8	27	5917	1	3
n1990	8	27	277	1	3
n3201	8	45	6201	1	5
n2655	8	45	739	1	5
n3200	8	40	6947	1	5
n2494	8	40	1280	1	5
n3199	8	35	8234	1	4
n2740	8	35	193	1	4
n3198	8	30	8434	1	3
n2784	8	30	139	1	3
n2560	8	25	490	1	3
n3197	8	51	497	1	5
n2722	8	51	26	1	5
n2644	8	47	530	1	5
n3196	8	37	537	1	4
n2642	8	37	612	1	4
n3195	8	32	1156	1	4
n2691	8	32	523	1	4
n3194	8	27	1686	1	4
n2603	8	27	313	1	4
n3193	8	22	2006	1	3
n1929	8	22	341	1	3
n3192	8	17	2354	1	2
n1970	8	17	689	1	2
n3191	8	26	3050	1	2
n2526	8	26	468	1	2
n3190	8	22	3525	1	4
n2649	8	22	739	1	4
n3189	8	17	4271	1	3
n2816	8	17	739	1	3
n3188	8	12	5017	1	2
n2656	8	12	286	1	2
g2604	7	7	5310	1	1
n3187	8	39	5316	1	4
n2747	8	39	144	1	4
n3186	8	34	5467	1	3
n2671	8	34	351	1	3
n3185	8	29	5825	1	2
n2761	8	29	151	1	2
g4174	8	45	5983	1	6
n2051	8	45	183	1	6
n3184	8	40	6173	1	5
n2676	8	40	344	1	5
n3183	8	35	6524	1	4
n2659	8	35	286	1	4
n3182	8	35	6817	1	3
n2717	8	35	9752	1	3
n2515	8	33	493	1	5
n3181	8	28	500	1	5
n2568	8	28	10753	1	5
n3180	8	23	11260	1	4
n2052	8	23	340	1	4
n3179	8	18	11607	1	3
n1995	8	18	490	1	3
n3178	8	13	12104	1	2
n2014	8	13	359	1	2
g875	8	8	887	1	1
g5643	8	22	894	1	3
n3177	8	17	901	1	2
n2554	8	17	559	1	2
n3176	8	39	1467	1	5
n2039	8	39	485	1	5
n3175	8	34	1959	1	4
n2687	8	34	523	1	4
g4186	8	29	2489	1	3
n2050	8	29	285	1	3
n3174	8	26	2781	1	2
n2756	8	26	170	1	2
n3173	8	26	2958	1	2
n2799	8	26	143	1	2
n3172	8	25	3108	1	2
n2744	8	25	146	1	2
g4184	8	39	636	1	5
n1999	8	39	267	1	5
n3171	8	34	910	1	4
n2777	8	34	162	1	4
g4188	8	29	1079	1	3
n2049	8	29	285	1	3
n3170	8	24	1371	1	2
n2793	8	24	184	1	2
n3169	8	20	1562	1	2
\DFF_385/net672	8	20	12439	1	2
n3168	8	15	14008	1	1
\DFF_384/net671	8	15	141	1	1
n3167	8	17	14156	1	2
n2016	8	17	8180	1	2
n3166	8	26	22343	1	2
n1938	8	26	2364	1	2
n3165	8	27	24714	1	3
n1936	8	27	497	1	3
n3164	8	22	25218	1	2
n2017	8	22	159	1	2
n3163	8	17	25384	1	3
n2636	8	17	773	1	3
n3162	8	12	26164	1	2
n2680	8	12	956	1	2
g2601	7	7	27127	1	1
n3161	8	44	27133	1	4
n2572	8	44	5036	1	4
n3160	8	39	32176	1	3
n2703	8	39	194	1	3
n3159	8	34	32377	1	4
n2504	8	34	8918	1	4
n3158	8	29	41302	1	3
n2725	8	29	251	1	3
n3157	8	24	41560	1	2
n2798	8	24	183	1	2
n3156	8	19	41750	1	1
n2766	8	19	149	1	1
n3155	8	32	41906	1	5
n1980	8	32	217	1	5
n3154	8	27	42130	1	4
n2678	8	27	956	1	4
n3153	8	22	43093	1	3
n2661	8	22	286	1	3
n3152	8	17	43386	1	2
n1945	8	17	3556	1	2
n3151	8	22	46949	1	2
n2788	8	22	172	1	2
n3150	8	17	47128	1	2
n2817	8	17	361	1	2
g8986	8	32	47496	1	4
n2022	8	32	3	1	4
n3149	8	27	47506	1	3
n1978	8	27	201	1	3
n3148	8	29	47714	1	4
n2602	8	29	332	1	4
g2613	8	24	153	1	3
n3147	8	19	160	1	3
n2009	8	19	451	1	3
n3146	8	14	618	1	2
n1951	8	14	196	1	2
g874	8	9	821	1	1
g5646	8	32	828	1	4
n3145	8	27	835	1	4
