
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 62
No. of Primary Outputs: 41
No. of Gates: 4503
No. of DFFs: 517
No. of Nodes: 10539
Execution Time: 2266300000 ns
Primary Inputs: troj14_0n5 troj14_0n1 test_si g6283 g6253 g6285 g6265 g6281 g6284 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 g6259 g6263 g4208 troj14_0N35 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: troj14_0n9 Trigger_en0_5 Trigger_en0_4 Trigger_en0_1 g8984 g3327 g10377 g10455 g10457 g10463 g10465 g10801 g11206 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 Trigger_en0_0 Trigger_en0_3 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj14_0n5	1	1	507	0	0
troj14_0n1	1	1	27	0	0
test_si	1	1	52985	0	0
g6283	1	1	894	0	0
g6253	1	1	13541	0	0
g6285	1	1	11418	0	0
g6265	1	1	1163	0	0
g6281	1	1	6750	0	0
g6284	1	1	2000	0	0
g6282	1	1	4813	0	0
test_se	1	1	18	0	0
g6256	1	1	8	0	0
g4202	1	1	140	0	0
g4214	1	1	140	0	0
g4203	1	1	80	0	0
g4215	1	1	80	0	0
g881	1	1	168	0	0
g4195	1	1	173	0	0
g4204	1	1	174	0	0
g4216	1	1	166	0	0
g4205	1	1	173	0	0
g4191	1	1	183	0	0
g4196	1	1	154	0	0
g4206	1	1	146	0	0
g4209	1	1	153	0	0
g4207	1	1	145	0	0
g4193	1	1	162	0	0
g4210	1	1	152	0	0
g4198	1	1	152	0	0
g4194	1	1	171	0	0
g4211	1	1	161	0	0
g4199	1	1	161	0	0
g4212	1	1	159	0	0
g4213	1	1	114	0	0
g4201	1	1	114	0	0
g877	1	1	36	0	0
g4192	1	1	163	0	0
g6259	1	1	80	0	0
g6263	1	1	10	0	0
g4208	1	1	154	0	0
troj14_0N35	1	1	22	0	0
g4197	1	1	153	0	0
g1700	1	1	11	0	0
g741	1	1	3	0	0
g744	1	1	3	0	0
g6258	1	1	80	0	0
g1696	1	1	11	0	0
g750	1	1	58	0	0
g6264	1	1	14	0	0
g4200	1	1	159	0	0
g109	1	1	3	0	0
g6260	1	1	80	0	0
g23	1	1	1	0	0
g742	1	1	3	0	0
CK	1	1	4	0	0
g743	1	1	3	0	0
g6261	1	1	91	0	0
g6257	1	1	80	0	0
g6262	1	1	91	0	0
g2355	1	1	308	0	0
g6255	1	1	8	0	0
g6254	1	1	8	0	0
g8984	8	15	0	1	2
n2034	8	15	3	1	2
n3277	8	28	10	1	3
n2510	8	28	527	1	3
n3276	8	23	544	1	2
n2776	8	23	139	1	2
n3275	8	19	690	1	1
n2778	8	19	150	1	1
n3274	8	18	847	1	3
n2631	8	18	3498	1	3
n3273	8	13	4352	1	2
n2764	8	13	162	1	2
g1360	8	8	4521	1	1
n2583	8	18	4528	1	2
n3272	8	46	4535	1	4
n2719	8	46	3496	1	4
n3271	8	41	8038	1	5
n2621	8	41	269	1	5
n3270	8	36	8314	1	4
n2634	8	36	8529	1	4
n3269	8	31	16850	1	3
n2498	8	31	1132	1	3
n3268	8	26	17989	1	2
n2795	8	26	182	1	2
n3267	8	27	18178	1	2
n2542	8	27	537	1	2
n3266	8	24	18722	1	3
n2517	8	24	377	1	3
n2585	8	40	19106	1	4
n3265	8	35	19113	1	3
n2705	8	35	4524	1	3
n3264	8	30	23644	1	3
n2654	8	30	739	1	3
n3263	8	25	24390	1	2
n2772	8	25	162	1	2
g8981	8	31	24559	1	4
n2019	8	31	3	1	4
n3262	8	26	24569	1	3
n2033	8	26	594	1	3
n3261	8	24	25170	1	2
n2745	8	24	169	1	2
n3260	8	36	25346	1	4
n2611	8	36	572	1	4
n3259	8	31	25925	1	3
n2711	8	31	2993	1	3
n3258	8	26	28925	1	2
n1960	8	26	4607	1	2
n2646	8	32	461	1	4
n3257	8	27	468	1	3
n2757	8	27	119	1	3
n3256	8	22	594	1	2
n2785	8	22	127	1	2
n3255	8	17	728	1	3
n2713	8	17	26	1	3
n3254	8	12	761	1	2
n2523	8	12	4794	1	2
g2611	7	7	5562	1	1
n3253	8	40	5568	1	3
n2765	8	40	161	1	3
g5645	8	35	5736	1	2
n3252	8	30	5743	1	5
n2598	8	30	13009	1	5
n3251	8	25	18759	1	4
n2608	8	25	600	1	4
n3250	8	20	19366	1	3
n2648	8	20	739	1	3
g8976	8	15	20112	1	2
n2038	8	15	3	1	2
n3249	8	22	20122	1	3
n2723	8	22	577	1	3
n3248	8	17	20706	1	2
n2589	8	17	701	1	2
n3247	8	41	21414	1	5
n2507	8	41	853	1	5
n3246	8	36	22274	1	4
n2054	8	36	566	1	4
n3245	8	31	22847	1	3
n2689	8	31	523	1	3
n3244	8	26	23377	1	2
n1959	8	26	3705	1	2
n3243	8	27	27089	1	4
\DFF_489/net776	8	27	541	1	4
n3242	8	22	27637	1	3
n2500	8	22	508	1	3
n2553	8	17	490	1	2
n3241	8	27	497	1	3
n2031	8	27	269	1	3
n3240	8	22	773	1	2
n2779	8	22	164	1	2
n2561	8	17	490	1	2
n3239	8	35	497	1	5
n2670	8	35	351	1	5
n3238	8	30	855	1	4
n2707	8	30	1915	1	4
n3237	8	25	2777	1	4
n2800	8	25	78	1	4
n3236	8	20	2862	1	3
n2605	8	20	588	1	3
g8982	8	15	3457	1	2
n2035	8	15	3	1	2
n3235	8	17	3467	1	3
n2686	8	17	523	1	3
n3234	8	12	3997	1	2
n2728	8	12	100	1	2
g2607	7	7	4104	1	1
n3233	8	28	4110	1	3
n2032	8	28	253	1	3
n3232	8	23	4370	1	2
n1961	8	23	652	1	2
n2536	8	18	301	1	3
n2643	8	13	308	1	2
g1710	8	8	315	1	1
n3231	8	22	322	1	3
n2782	8	22	119	1	3
n3230	8	17	448	1	2
n1944	8	17	5592	1	2
n3229	8	22	6047	1	4
n2682	8	22	523	1	4
n3228	8	17	6577	1	3
n2806	8	17	126	1	3
n3227	8	12	6710	1	2
n2700	8	12	26	1	2
g2610	7	7	6743	1	1
n3226	8	12	6749	1	2
n2783	8	12	163	1	2
g755	7	7	1156	1	1
n3225	8	37	1162	1	6
n1957	8	37	866	1	6
n3224	8	32	2035	1	5
n2699	8	32	910	1	5
