
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 66
No. of Primary Outputs: 40
No. of Gates: 4464
No. of DFFs: 518
No. of Nodes: 10469
Execution Time: 2269740000 ns
Primary Inputs: troj28_0n21 troj28_0n23 troj28_0n24 test_si g6283 g6253 g6285 g6265 g6281 g6284 troj28_0n1 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 troj28_0n22 g6259 g6263 troj28_0n18 troj28_0n20 g4208 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: troj28_0n17 troj28_0n9 troj28_0n13 g8984 g3327 g10377 g10455 g10457 g10463 g10465 g10801 troj28_0state_3_ g11206 g10459 g11163 g6842 g10379 troj28_0n15 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj28_0n21	1	1	3933	0	0
troj28_0n23	1	1	8	0	0
troj28_0n24	1	1	3940	0	0
test_si	1	1	99999997	0	0
g6283	1	1	894	0	0
g6253	1	1	18924	0	0
g6285	1	1	30163	0	0
g6265	1	1	2181	0	0
g6281	1	1	71636	0	0
g6284	1	1	2242	0	0
troj28_0n1	1	1	3929	0	0
g6282	1	1	8197	0	0
test_se	1	1	18	0	0
g6256	1	1	8	0	0
g4202	1	1	140	0	0
g4214	1	1	140	0	0
g4203	1	1	80	0	0
g4215	1	1	80	0	0
g881	1	1	168	0	0
g4195	1	1	173	0	0
g4204	1	1	174	0	0
g4216	1	1	166	0	0
g4205	1	1	173	0	0
g4191	1	1	183	0	0
g4196	1	1	154	0	0
g4206	1	1	146	0	0
g4209	1	1	153	0	0
g4207	1	1	145	0	0
g4193	1	1	162	0	0
g4210	1	1	152	0	0
g4198	1	1	152	0	0
g4194	1	1	171	0	0
g4211	1	1	161	0	0
g4199	1	1	161	0	0
g4212	1	1	159	0	0
g4213	1	1	114	0	0
g4201	1	1	114	0	0
g877	1	1	36	0	0
g4192	1	1	163	0	0
troj28_0n22	1	1	28	0	0
g6259	1	1	80	0	0
