
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 63
No. of Primary Outputs: 40
No. of Gates: 4498
No. of DFFs: 517
No. of Nodes: 10530
Execution Time: 5668273000 ns
Primary Inputs: troj42_0n6 troj42_0N36 troj42_0N35 test_si g6283 g6253 g6285 g6265 g6281 g6284 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 g6259 g6263 g4208 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 troj42_0n1 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: Trigger_en0_5 Trigger_en0_4 Trigger_en0_2 Trigger_en0_1 g8984 g3327 g10377 g10455 g10457 g10463 g10465 g10801 g11206 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 Trigger_en0_3 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj42_0n6	1	1	99999997	0	0
troj42_0N36	1	1	99999998	0	0
troj42_0N35	1	1	30141	0	0
test_si	1	1	99999997	0	0
g6283	1	1	894	0	0
g6253	1	1	15503	0	0
g6285	1	1	3284	0	0
g6265	1	1	537	0	0
g6281	1	1	24474	0	0
g6284	1	1	2231	0	0
g6282	1	1	3671	0	0
test_se	1	1	18	0	0
g6256	1	1	8	0	0
g4202	1	1	140	0	0
g4214	1	1	140	0	0
g4203	1	1	80	0	0
g4215	1	1	80	0	0
g881	1	1	168	0	0
g4195	1	1	173	0	0
g4204	1	1	174	0	0
g4216	1	1	166	0	0
g4205	1	1	173	0	0
g4191	1	1	183	0	0
g4196	1	1	154	0	0
g4206	1	1	146	0	0
g4209	1	1	153	0	0
g4207	1	1	145	0	0
g4193	1	1	162	0	0
g4210	1	1	152	0	0
g4198	1	1	152	0	0
g4194	1	1	171	0	0
g4211	1	1	161	0	0
g4199	1	1	161	0	0
g4212	1	1	159	0	0
g4213	1	1	114	0	0
g4201	1	1	114	0	0
g877	1	1	36	0	0
g4192	1	1	163	0	0
g6259	1	1	80	0	0
g6263	1	1	10	0	0
g4208	1	1	154	0	0
g4197	1	1	153	0	0
g1700	1	1	11	0	0
g741	1	1	3	0	0
g744	1	1	3	0	0
g6258	1	1	80	0	0
g1696	1	1	11	0	0
g750	1	1	58	0	0
g6264	1	1	14	0	0
g4200	1	1	159	0	0
troj42_0n1	1	1	18	0	0
g109	1	1	3	0	0
g6260	1	1	80	0	0
g23	1	1	1	0	0
g742	1	1	3	0	0
CK	1	1	1	0	0
g743	1	1	3	0	0
g6261	1	1	91	0	0
g6257	1	1	80	0	0
g6262	1	1	91	0	0
g2355	1	1	255	0	0
g6255	1	1	8	0	0
g6254	1	1	8	0	0
g8984	8	15	0	1	2
n2034	8	15	3	1	2
n3277	8	28	10	1	3
n2510	8	28	2932	1	3
n3276	8	23	2949	1	2
n2776	8	23	139	1	2
n3275	8	19	3095	1	1
n2778	8	19	150	1	1
n3274	8	18	3252	1	3
n2631	8	18	5125	1	3
n3273	8	13	8384	1	2
n2764	8	13	162	1	2
g1360	8	8	8553	1	1
n2583	8	18	8560	1	2
n3272	8	46	8567	1	4
n2719	8	46	99999998	1	4
n3271	8	41	99999957	1	5
n2621	8	41	265	1	5
n3270	8	36	99999962	1	4
n2634	8	36	72727	1	4
n3269	8	31	99999967	1	3
n2498	8	31	828	1	3
n3268	8	26	99999972	1	2
n2795	8	26	182	1	2
n3267	8	27	99999971	1	2
n2542	8	27	11239	1	2
n3266	8	24	99999974	1	3
n2517	8	24	608	1	3
n2585	8	40	99999958	1	4
n3265	8	35	99999963	1	3
n2705	8	35	4632	1	3
n3264	8	30	99999968	1	3
n2654	8	30	598	1	3
n3263	8	25	99999973	1	2
n2772	8	25	162	1	2
g8981	8	31	99999967	1	4
n2019	8	31	3	1	4
n3262	8	26	99999972	1	3
n2033	8	26	594	1	3
n3261	8	24	99999974	1	2
n2745	8	24	169	1	2
n3260	8	36	99999962	1	4
n2611	8	36	598	1	4
n3259	8	31	99999967	1	3
n2711	8	31	1939	1	3
n3258	8	26	99999972	1	2
n1960	8	26	1514	1	2
n2646	8	32	14153	1	4
n3257	8	27	14160	1	3
n2757	8	27	119	1	3
n3256	8	22	14286	1	2
n2785	8	22	127	1	2
n3255	8	17	14420	1	3
n2713	8	17	26	1	3
n3254	8	12	14453	1	2
n2523	8	12	8826	1	2
g2611	7	7	23286	1	1
n3253	8	40	23292	1	3
n2765	8	40	161	1	3
g5645	8	35	23460	1	2
n3252	8	30	23467	1	5
n2598	8	30	5680	1	5
n3251	8	25	29154	1	4
n2608	8	25	951	1	4
n3250	8	20	30112	1	3
n2648	8	20	598	1	3
g8976	8	15	30717	1	2
n2038	8	15	3	1	2
n3249	8	22	30727	1	3
n2723	8	22	577	1	3
n3248	8	17	31311	1	2
n2589	8	17	531	1	2
n3247	8	41	31849	1	5
n2507	8	41	1162	1	5
n3246	8	36	33018	1	4
n2054	8	36	566	1	4
n3245	8	31	33591	1	3
n2689	8	31	523	1	3
n3244	8	26	34121	1	2
n1959	8	26	3729	1	2
n3243	8	27	37857	1	4
\DFF_489/net776	8	27	371	1	4
n3242	8	22	38235	1	3
n2500	8	22	18123	1	3
n2553	8	17	490	1	2
n3241	8	27	497	1	3
n2031	8	27	620	1	3
n3240	8	22	1124	1	2
n2779	8	22	164	1	2
n2561	8	17	490	1	2
n3239	8	35	497	1	5
n2670	8	35	351	1	5
n3238	8	30	855	1	4
n2707	8	30	1814	1	4
n3237	8	25	2676	1	4
n2800	8	25	78	1	4
n3236	8	20	2761	1	3
n2605	8	20	598	1	3
g8982	8	15	3366	1	2
n2035	8	15	3	1	2
n3235	8	17	3376	1	3
n2686	8	17	523	1	3
n3234	8	12	3906	1	2
n2728	8	12	100	1	2
g2607	7	7	4013	1	1
n3233	8	28	4019	1	3
n2032	8	28	15705	1	3
n3232	8	23	19731	1	2
n1961	8	23	652	1	2
n2536	8	18	301	1	3
n2643	8	13	308	1	2
g1710	8	8	315	1	1
n3231	8	22	322	1	3
n2782	8	22	119	1	3
n3230	8	17	448	1	2
n1944	8	17	23316	1	2
n3229	8	22	23771	1	4
n2682	8	22	523	1	4
n3228	8	17	24301	1	3
n2806	8	17	126	1	3
n3227	8	12	24434	1	2
n2700	8	12	26	1	2
g2610	7	7	24467	1	1
n3226	8	12	24473	1	2
n2783	8	12	163	1	2
g755	7	7	530	1	1
n3225	8	37	536	1	6
n1957	8	37	438	1	6
n3224	8	32	981	1	5
n2699	8	32	910	1	5
n3223	8	27	1898	1	4
n2629	8	27	8402	1	4
n3222	8	22	10307	1	3
n2762	8	22	138	1	3
n3221	8	17	10452	1	2
n2015	8	17	2731	1	2
n3220	8	26	13190	1	2
n2769	8	26	162	1	2
n3219	8	26	13359	1	3
n1948	8	26	181	1	3
n3218	8	21	13547	1	2
n2803	8	21	78	1	2
n3217	8	16	13632	1	2
n2797	8	16	183	1	2
n3216	8	11	13822	1	1
\DFF_452/net739	8	11	545	1	1
g2608	7	7	14374	1	1
n3215	8	55	14380	1	7
n1968	8	55	301	1	7
n3214	8	50	14688	1	6
n1956	8	50	492	1	6
n3213	8	45	15187	1	5
n2773	8	45	139	1	5
n3212	8	40	15333	1	4
n2053	8	40	347	1	4
g5647	8	35	3906	1	4
g7	8	31	144	1	3
n3211	8	26	151	1	2
n1996	8	26	482	1	2
g5649	8	25	640	1	3
n3210	8	20	647	1	3
n2615	8	20	598	1	3
n3209	8	15	1252	1	2
\DFF_441/net728	8	15	2644	1	2
n3208	8	23	3903	1	3
n2597	8	23	99999998	1	3
n2581	8	18	99999980	1	2
n3207	8	39	99999959	1	4
n2535	8	39	9777	1	4
n3206	8	34	99999964	1	4
\DFF_436/net723	8	34	2894	1	4
n3205	8	42	99999956	1	5
n2715	8	42	1102	1	5
g4181	8	37	99999961	1	4
n2055	8	37	183	1	4
n3204	8	35	99999963	1	4
n2658	8	35	333	1	4
n3203	8	36	99999962	1	5
n2730	8	36	100	1	5
g4172	8	31	99999967	1	4
n2599	8	31	28	1	4
n3202	8	32	99999966	1	4
n2641	8	32	3295	1	4
g4183	8	27	6882	1	3
n1990	8	27	277	1	3
n3201	8	45	7166	1	5
n2655	8	45	598	1	5
n3200	8	40	7771	1	5
n2494	8	40	1782	1	5
n3199	8	35	9560	1	4
n2740	8	35	193	1	4
n3198	8	30	9760	1	3
n2784	8	30	139	1	3
n2560	8	25	490	1	3
n3197	8	47	497	1	5
n2722	8	47	26	1	5
n2644	8	42	530	1	5
n3196	8	37	537	1	4
n2642	8	37	14153	1	4
n3195	8	32	14697	1	4
