
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 64
No. of Primary Outputs: 38
No. of Gates: 4476
No. of DFFs: 518
No. of Nodes: 10491
Execution Time: 5596653000 ns
Primary Inputs: troj50_0n17 troj50_0N87 troj50_0N91 test_si troj50_0n12 g6283 troj50_0n1 g6253 g6285 g6265 g6281 g6284 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 g6259 g6263 g4208 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: troj50_0n13 troj50_0n18 g8984 g3327 troj50_0n2 g10377 g10455 g10457 g10463 g10465 g10801 g11206 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj50_0n17	1	1	99999997	0	0
troj50_0N87	1	1	4802	0	0
troj50_0N91	1	1	99999998	0	0
test_si	1	1	72333	0	0
troj50_0n12	1	1	99999997	0	0
g6283	1	1	894	0	0
troj50_0n1	1	1	213	0	0
g6253	1	1	21919	0	0
g6285	1	1	8161	0	0
g6265	1	1	1473	0	0
g6281	1	1	29604	0	0
g6284	1	1	1810	0	0
g6282	1	1	8181	0	0
test_se	1	1	18	0	0
g6256	1	1	8	0	0
g4202	1	1	140	0	0
g4214	1	1	140	0	0
g4203	1	1	80	0	0
g4215	1	1	80	0	0
g881	1	1	168	0	0
g4195	1	1	173	0	0
g4204	1	1	174	0	0
g4216	1	1	166	0	0
g4205	1	1	173	0	0
g4191	1	1	183	0	0
g4196	1	1	154	0	0
g4206	1	1	146	0	0
g4209	1	1	153	0	0
g4207	1	1	145	0	0
g4193	1	1	162	0	0
g4210	1	1	152	0	0
g4198	1	1	152	0	0
g4194	1	1	171	0	0
g4211	1	1	161	0	0
g4199	1	1	161	0	0
g4212	1	1	159	0	0
g4213	1	1	114	0	0
g4201	1	1	114	0	0
g877	1	1	36	0	0
g4192	1	1	163	0	0
g6259	1	1	80	0	0
g6263	1	1	10	0	0
g4208	1	1	154	0	0
g4197	1	1	153	0	0
g1700	1	1	11	0	0
g741	1	1	3	0	0
g744	1	1	3	0	0
g6258	1	1	80	0	0
g1696	1	1	11	0	0
g750	1	1	58	0	0
g6264	1	1	14	0	0
g4200	1	1	159	0	0
g109	1	1	3	0	0
g6260	1	1	80	0	0
g23	1	1	1	0	0
g742	1	1	3	0	0
CK	1	1	1	0	0
g743	1	1	3	0	0
g6261	1	1	91	0	0
g6257	1	1	80	0	0
g6262	1	1	91	0	0
g2355	1	1	308	0	0
g6255	1	1	8	0	0
g6254	1	1	8	0	0
g8984	8	15	0	1	2
n2034	8	15	3	1	2
n3277	8	28	10	1	3
n2510	8	28	7763	1	3
n3276	8	23	7780	1	2
n2776	8	23	139	1	2
n3275	8	19	7926	1	1
n2778	8	19	150	1	1
n3274	8	18	8083	1	3
n2631	8	18	681	1	3
n3273	8	13	8771	1	2
n2764	8	13	162	1	2
g1360	8	8	8940	1	1
n2583	8	18	8947	1	2
n3272	8	46	8954	1	4
n2719	8	46	3668	1	4
n3271	8	41	12629	1	5
n2621	8	41	265	1	5
n3270	8	36	12901	1	4
n2634	8	36	348	1	4
n3269	8	31	13256	1	3
n2498	8	31	1132	1	3
n3268	8	26	14395	1	2
n2795	8	26	182	1	2
n3267	8	27	14584	1	2
n2542	8	27	16297	1	2
n3266	8	24	30888	1	3
n2517	8	24	187	1	3
n2585	8	40	31082	1	4
n3265	8	35	31089	1	3
n2705	8	35	4851	1	3
n3264	8	30	35947	1	3
n2654	8	30	739	1	3
n3263	8	25	36693	1	2
n2772	8	25	162	1	2
g8981	8	31	36862	1	4
n2019	8	31	3	1	4
n3262	8	26	36872	1	3
n2033	8	26	594	1	3
n3261	8	24	37473	1	2
n2745	8	24	169	1	2
n3260	8	36	37649	1	4
n2611	8	36	700	1	4
n3259	8	31	38356	1	3
n2711	8	31	5493	1	3
n3258	8	26	43856	1	2
n1960	8	26	4934	1	2
n2646	8	32	18896	1	4
n3257	8	27	18903	1	3
n2757	8	27	119	1	3
n3256	8	22	19029	1	2
n2785	8	22	127	1	2
n3255	8	17	19163	1	3
n2713	8	17	26	1	3
n3254	8	12	19196	1	2
n2523	8	12	9213	1	2
g2611	7	7	28416	1	1
n3253	8	40	28422	1	3
n2765	8	40	161	1	3
g5645	8	35	28590	1	2
n3252	8	30	28597	1	5
n2598	8	30	40850	1	5
n3251	8	25	69454	1	4
n2608	8	25	728	1	4
n3250	8	20	70189	1	3
n2648	8	20	739	1	3
g8976	8	15	70935	1	2
n2038	8	15	3	1	2
n3249	8	22	70945	1	3
n2723	8	22	577	1	3
n3248	8	17	71529	1	2
n2589	8	17	783	1	2
n3247	8	41	72319	1	5
n2507	8	41	26535	1	5
n3246	8	36	98861	1	4
n2054	8	36	566	1	4
n3245	8	31	99434	1	3
n2689	8	31	523	1	3
n3244	8	26	99964	1	2
n1959	8	26	3612	1	2
n3243	8	27	103583	1	4
\DFF_489/net776	8	27	740	1	4
n3242	8	22	104330	1	3
n2500	8	22	13708	1	3
n2553	8	17	490	1	2
n3241	8	27	497	1	3
n2031	8	27	397	1	3
n3240	8	22	901	1	2
n2779	8	22	164	1	2
n2561	8	17	490	1	2
n3239	8	35	497	1	5
n2670	8	35	351	1	5
n3238	8	30	855	1	4
n2707	8	30	1915	1	4
n3237	8	25	2777	1	4
n2800	8	25	78	1	4
n3236	8	20	2862	1	3
n2605	8	20	716	1	3
g8982	8	15	3585	1	2
n2035	8	15	3	1	2
n3235	8	17	3595	1	3
n2686	8	17	523	1	3
n3234	8	12	4125	1	2
n2728	8	12	100	1	2
g2607	7	7	4232	1	1
n3233	8	28	4238	1	3
n2032	8	28	386	1	3
n3232	8	23	4631	1	2
n1961	8	23	652	1	2
n2536	8	18	301	1	3
n2643	8	13	308	1	2
g1710	8	8	315	1	1
n3231	8	22	322	1	3
n2782	8	22	119	1	3
n3230	8	17	448	1	2
n1944	8	17	28446	1	2
n3229	8	22	28901	1	4
n2682	8	22	523	1	4
n3228	8	17	29431	1	3
n2806	8	17	126	1	3
n3227	8	12	29564	1	2
n2700	8	12	26	1	2
g2610	7	7	29597	1	1
n3226	8	12	29603	1	2
n2783	8	12	163	1	2
g755	7	7	1466	1	1
n3225	8	37	1472	1	6
n1957	8	37	3056	1	6
n3224	8	32	4535	1	5
n2699	8	32	910	1	5
n3223	8	27	5452	1	4
n2629	8	27	672	1	4
n3222	8	22	6131	1	3
n2762	8	22	138	1	3
n3221	8	17	6276	1	2
n2015	8	17	2832	1	2
n3220	8	26	9115	1	2
n2769	8	26	162	1	2
n3219	8	26	9284	1	3
n1948	8	26	181	1	3
n3218	8	21	9472	1	2
n2803	8	21	78	1	2
n3217	8	16	9557	1	2
n2797	8	16	183	1	2
n3216	8	11	9747	1	1
\DFF_452/net739	8	11	545	1	1
g2608	7	7	10299	1	1
n3215	8	55	10305	1	7
n1968	8	55	605	1	7
n3214	8	50	10917	1	6
n1956	8	50	3110	1	6
n3213	8	45	14034	1	5
n2773	8	45	139	1	5
n3212	8	40	14180	1	4
n2053	8	40	344	1	4
g5647	8	35	4125	1	4
g7	8	31	144	1	3
n3211	8	26	151	1	2
n1996	8	26	482	1	2
g5649	8	25	640	1	3
n3210	8	20	647	1	3
n2615	8	20	716	1	3
n3209	8	15	1370	1	2
\DFF_441/net728	8	15	7482	1	2
n3208	8	23	8859	1	3
n2597	8	23	41512	1	3
n2581	8	18	44153	1	2
n3207	8	39	44160	1	4
n2535	8	39	14223	1	4
n3206	8	34	58390	1	4
\DFF_436/net723	8	34	3852	1	4
n3205	8	42	62249	1	5
n2715	8	42	1102	1	5
g4181	8	37	63358	1	4
n2055	8	37	183	1	4
n3204	8	35	63548	1	4
n2658	8	35	353	1	4
n3203	8	36	63908	1	5
n2730	8	36	100	1	5
g4172	8	31	64015	1	4
n2599	8	31	28	1	4
n3202	8	32	64050	1	4
n2641	8	32	667	1	4
g4183	8	27	11046	1	3
n1990	8	27	277	1	3
n3201	8	45	11330	1	5
n2655	8	45	739	1	5
n3200	8	40	12076	1	5
n2494	8	40	1923	1	5
n3199	8	35	14006	1	4
n2740	8	35	193	1	4
n3198	8	30	14206	1	3
n2784	8	30	139	1	3
n2560	8	25	490	1	3
n3197	8	47	497	1	5
n2722	8	47	26	1	5
n2644	8	42	530	1	5
n3196	8	37	537	1	4
n2642	8	37	18896	1	4
n3195	8	32	19440	1	4
n2691	8	32	523	1	4
n3194	8	27	19970	1	4
n2603	8	27	436	1	4
n3193	8	22	20413	1	3
n1929	8	22	203	1	3
n3192	8	17	20623	1	2
n1970	8	17	9420	1	2
n3191	8	26	30050	1	2
n2526	8	26	9199	1	2
n3190	8	22	39256	1	4
n2649	8	22	739	1	4
n3189	8	17	40002	1	3
n2816	8	17	455	1	3
n3188	8	12	40464	1	2
n2656	8	12	339	1	2
g2604	7	7	40810	1	1
n3187	8	39	40816	1	4
n2747	8	39	144	1	4
n3186	8	34	40967	1	3
n2671	8	34	351	1	3
n3185	8	29	41325	1	2
n2761	8	29	151	1	2
g4174	8	45	41483	1	6
n2051	8	45	183	1	6
n3184	8	40	41673	1	5
n2676	8	40	523	1	5
n3183	8	35	42203	1	4
n2659	8	35	353	1	4
n3182	8	35	42563	1	3
n2717	8	35	36501	1	3
n2515	8	33	539	1	5
