
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 59
No. of Primary Outputs: 35
No. of Gates: 4454
No. of DFFs: 516
No. of Nodes: 10434
Execution Time: 1003800408 ns
Primary Inputs: test_si g6283 g6253 g6285 g6265 g6281 g6284 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 g6259 g6263 g4208 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: g8984 g3327 g10377 g10455 g10457 g10463 g10465 g10801 g11206 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	SC0	SC1
----------------------------------------
test_si	1	1	0	0
g6283	1	1	0	0
g6253	1	1	0	0
g6285	1	1	0	0
g6265	1	1	0	0
g6281	1	1	0	0
g6284	1	1	0	0
g6282	1	1	0	0
test_se	1	1	0	0
g6256	1	1	0	0
g4202	1	1	0	0
g4214	1	1	0	0
g4203	1	1	0	0
g4215	1	1	0	0
g881	1	1	0	0
g4195	1	1	0	0
g4204	1	1	0	0
g4216	1	1	0	0
g4205	1	1	0	0
g4191	1	1	0	0
g4196	1	1	0	0
g4206	1	1	0	0
g4209	1	1	0	0
g4207	1	1	0	0
g4193	1	1	0	0
g4210	1	1	0	0
g4198	1	1	0	0
g4194	1	1	0	0
g4211	1	1	0	0
g4199	1	1	0	0
g4212	1	1	0	0
g4213	1	1	0	0
g4201	1	1	0	0
g877	1	1	0	0
g4192	1	1	0	0
g6259	1	1	0	0
g6263	1	1	0	0
g4208	1	1	0	0
g4197	1	1	0	0
g1700	1	1	0	0
g741	1	1	0	0
g744	1	1	0	0
g6258	1	1	0	0
g1696	1	1	0	0
g750	1	1	0	0
g6264	1	1	0	0
g4200	1	1	0	0
g109	1	1	0	0
g6260	1	1	0	0
g23	1	1	0	0
g742	1	1	0	0
CK	1	1	0	0
g743	1	1	0	0
g6261	1	1	0	0
g6257	1	1	0	0
g6262	1	1	0	0
g2355	1	1	0	0
g6255	1	1	0	0
g6254	1	1	0	0
g8984	8	15	1	2
n2034	8	15	1	2
n3277	8	28	1	3
n2510	8	28	1	3
n3276	8	23	1	2
n2776	8	23	1	2
n3275	8	19	1	1
n2778	8	19	1	1
n3274	8	18	1	3
n2631	8	18	1	3
n3273	8	13	1	2
n2764	8	13	1	2
g1360	8	8	1	1
n2583	8	18	1	2
n3272	8	46	1	4
n2719	8	46	1	4
n3271	8	41	1	5
n2621	8	41	1	5
n3270	8	36	1	4
n2634	8	36	1	4
n3269	8	31	1	3
n2498	8	31	1	3
n3268	8	26	1	2
n2795	8	26	1	2
n3267	8	27	1	2
n2542	8	27	1	2
n3266	8	24	1	3
n2517	8	24	1	3
n2585	8	40	1	4
n3265	8	35	1	3
n2705	8	35	1	3
n3264	8	30	1	3
n2654	8	30	1	3
n3263	8	25	1	2
n2772	8	25	1	2
g8981	8	31	1	4
n2019	8	31	1	4
n3262	8	26	1	3
n2033	8	26	1	3
n3261	8	24	1	2
n2745	8	24	1	2
n3260	8	36	1	4
n2611	8	36	1	4
n3259	8	31	1	3
n2711	8	31	1	3
n3258	8	26	1	2
n1960	8	26	1	2
n2646	8	32	1	4
n3257	8	27	1	3
n2757	8	27	1	3
n3256	8	22	1	2
n2785	8	22	1	2
n3255	8	17	1	3
n2713	8	17	1	3
n3254	8	12	1	2
n2523	8	12	1	2
g2611	7	7	1	1
n3253	8	40	1	3
n2765	8	40	1	3
g5645	8	35	1	2
n3252	8	30	1	5
n2598	8	30	1	5
n3251	8	25	1	4
n2608	8	25	1	4
n3250	8	20	1	3
n2648	8	20	1	3
g8976	8	15	1	2
n2038	8	15	1	2
n3249	8	22	1	3
n2723	8	22	1	3
n3248	8	17	1	2
n2589	8	17	1	2
n3247	8	41	1	5
n2507	8	41	1	5
n3246	8	36	1	4
n2054	8	36	1	4
n3245	8	31	1	3
n2689	8	31	1	3
n3244	8	26	1	2
n1959	8	26	1	2
n3243	8	27	1	4
\DFF_489/net776	8	27	1	4
n3242	8	22	1	3
n2500	8	22	1	3
n2553	8	17	1	2
n3241	8	27	1	3
n2031	8	27	1	3
n3240	8	22	1	2
n2779	8	22	1	2
n2561	8	17	1	2
n3239	8	35	1	5
n2670	8	35	1	5
n3238	8	30	1	4
n2707	8	30	1	4
n3237	8	25	1	4
n2800	8	25	1	4
n3236	8	20	1	3
n2605	8	20	1	3
g8982	8	15	1	2
n2035	8	15	1	2
n3235	8	17	1	3
n2686	8	17	1	3
n3234	8	12	1	2
n2728	8	12	1	2
g2607	7	7	1	1
n3233	8	28	1	3
n2032	8	28	1	3
n3232	8	23	1	2
n1961	8	23	1	2
n2536	8	18	1	3
n2643	8	13	1	2
g1710	8	8	1	1
n3231	8	22	1	3
n2782	8	22	1	3
n3230	8	17	1	2
n1944	8	17	1	2
n3229	8	22	1	4
n2682	8	22	1	4
n3228	8	17	1	3
n2806	8	17	1	3
n3227	8	12	1	2
n2700	8	12	1	2
g2610	7	7	1	1
n3226	8	12	1	2
n2783	8	12	1	2
g755	7	7	1	1
n3225	8	37	1	6
n1957	8	37	1	6
n3224	8	32	1	5
n2699	8	32	1	5
n3223	8	27	1	4
n2629	8	27	1	4
n3222	8	22	1	3
n2762	8	22	1	3
n3221	8	17	1	2
n2015	8	17	1	2
n3220	8	26	1	2
n2769	8	26	1	2
n3219	8	26	1	3
n1948	8	26	1	3
n3218	8	21	1	2
n2803	8	21	1	2
n3217	8	16	1	2
n2797	8	16	1	2
n3216	8	11	1	1
\DFF_452/net739	8	11	1	1
g2608	7	7	1	1
n3215	8	55	1	7
n1968	8	55	1	7
n3214	8	50	1	6
n1956	8	50	1	6
n3213	8	45	1	5
n2773	8	45	1	5
n3212	8	40	1	4
n2053	8	40	1	4
g5647	8	35	1	4
g7	8	31	1	3
n3211	8	26	1	2
n1996	8	26	1	2
g5649	8	25	1	3
n3210	8	20	1	3
n2615	8	20	1	3
n3209	8	15	1	2
\DFF_441/net728	8	15	1	2
n3208	8	23	1	3
n2597	8	23	1	3
n2581	8	18	1	2
n3207	8	39	1	4
n2535	8	39	1	4
n3206	8	34	1	4
\DFF_436/net723	8	34	1	4
n3205	8	42	1	5
n2715	8	42	1	5
g4181	8	37	1	4
n2055	8	37	1	4
n3204	8	35	1	4
n2658	8	35	1	4
n3203	8	36	1	5
n2730	8	36	1	5
g4172	8	31	1	4
n2599	8	31	1	4
n3202	8	32	1	4
n2641	8	32	1	4
g4183	8	27	1	3
n1990	8	27	1	3
n3201	8	45	1	5
n2655	8	45	1	5
n3200	8	40	1	5
n2494	8	40	1	5
n3199	8	35	1	4
n2740	8	35	1	4
n3198	8	30	1	3
n2784	8	30	1	3
n2560	8	25	1	3
n3197	8	47	1	5
n2722	8	47	1	5
n2644	8	42	1	5
n3196	8	37	1	4
n2642	8	37	1	4
n3195	8	32	1	4
n2691	8	32	1	4
n3194	8	27	1	4
n2603	8	27	1	4
n3193	8	22	1	3
n1929	8	22	1	3
n3192	8	17	1	2
n1970	8	17	1	2
