
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 60
No. of Primary Outputs: 36
No. of Gates: 4455
No. of DFFs: 515
No. of Nodes: 10436
Execution Time: 2220557000 ns
Primary Inputs: troj76_0n5 test_si g6283 g6253 g6285 g6265 g6281 g6284 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 g6259 g6263 g4208 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: troj76_0n4 g8984 g3327 g10377 g10455 g10457 g10463 g10465 g10801 g11206 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj76_0n5	1	1	870	0	0
test_si	1	1	100104	0	0
g6283	1	1	897	0	0
g6253	1	1	12263	0	0
g6285	1	1	4723	0	0
g6265	1	1	2203	0	0
g6281	1	1	15345	0	0
g6284	1	1	2257	0	0
g6282	1	1	5741	0	0
test_se	1	1	18	0	0
g6256	1	1	8	0	0
g4202	1	1	140	0	0
g4214	1	1	140	0	0
g4203	1	1	83	0	0
g4215	1	1	83	0	0
g881	1	1	168	0	0
g4195	1	1	176	0	0
g4204	1	1	177	0	0
g4216	1	1	169	0	0
g4205	1	1	176	0	0
g4191	1	1	186	0	0
g4196	1	1	154	0	0
g4206	1	1	146	0	0
g4209	1	1	153	0	0
g4207	1	1	145	0	0
g4193	1	1	162	0	0
g4210	1	1	152	0	0
g4198	1	1	152	0	0
g4194	1	1	174	0	0
g4211	1	1	164	0	0
g4199	1	1	164	0	0
g4212	1	1	159	0	0
g4213	1	1	114	0	0
g4201	1	1	114	0	0
g877	1	1	36	0	0
g4192	1	1	163	0	0
g6259	1	1	83	0	0
g6263	1	1	10	0	0
g4208	1	1	157	0	0
g4197	1	1	153	0	0
g1700	1	1	11	0	0
g741	1	1	3	0	0
g744	1	1	3	0	0
g6258	1	1	83	0	0
g1696	1	1	11	0	0
g750	1	1	58	0	0
g6264	1	1	14	0	0
g4200	1	1	159	0	0
g109	1	1	3	0	0
g6260	1	1	83	0	0
g23	1	1	1	0	0
g742	1	1	3	0	0
CK	1	1	4	0	0
g743	1	1	3	0	0
g6261	1	1	94	0	0
g6257	1	1	83	0	0
g6262	1	1	94	0	0
g2355	1	1	311	0	0
g6255	1	1	8	0	0
g6254	1	1	8	0	0
g8984	8	15	0	1	2
n2034	8	15	3	1	2
n3277	8	25	10	1	3
n2510	8	25	753	1	3
n3276	8	20	770	1	2
n2776	8	20	139	1	2
n3275	8	19	916	1	1
n2778	8	19	150	1	1
n3274	8	18	1073	1	3
n2631	8	18	570	1	3
n3273	8	13	1650	1	2
n2764	8	13	162	1	2
g1360	8	8	1819	1	1
n2583	8	18	1826	1	2
n3272	8	47	1833	1	4
n2719	8	47	3269	1	4
n3271	8	44	5109	1	6
n2621	8	44	272	1	6
n3270	8	39	5388	1	5
n2634	8	39	50289	1	5
n3269	8	34	55684	1	4
n2498	8	34	1144	1	4
n3268	8	29	56835	1	3
n2795	8	29	185	1	3
n3267	8	27	57027	1	2
n2542	8	27	9388	1	2
n3266	8	24	66422	1	3
n2517	8	24	625	1	3
n2585	8	43	67054	1	4
n3265	8	38	67061	1	3
n2705	8	38	5040	1	3
n3264	8	33	72108	1	4
n2654	8	33	742	1	4
n3263	8	28	72857	1	3
n2772	8	28	162	1	3
g8981	8	31	73026	1	4
n2019	8	31	3	1	4
n3262	8	26	73036	1	3
n2033	8	26	597	1	3
n3261	8	27	73640	1	3
n2745	8	27	169	1	3
n3260	8	36	73816	1	4
n2611	8	36	863	1	4
n3259	8	31	74686	1	3
n2711	8	31	3921	1	3
n3258	8	26	78614	1	2
n1960	8	26	5129	1	2
n2646	8	32	11747	1	5
n3257	8	27	11754	1	4
n2757	8	27	119	1	4
n3256	8	22	11880	1	3
n2785	8	22	127	1	3
n3255	8	17	12014	1	3
n2713	8	17	26	1	3
n3254	8	12	12047	1	2
n2523	8	12	2097	1	2
g2611	7	7	14151	1	1
n3253	8	40	14157	1	3
n2765	8	40	161	1	3
g5645	8	35	14325	1	2
n3252	8	30	14332	1	5
n2598	8	30	24726	1	5
n3251	8	25	39065	1	4
n2608	8	25	1216	1	4
n3250	8	20	40288	1	3
n2648	8	20	742	1	3
g8976	8	15	41037	1	2
n2038	8	15	3	1	2
n3249	8	22	41047	1	3
n2723	8	22	580	1	3
n3248	8	17	41634	1	2
n2589	8	17	786	1	2
n3247	8	41	42427	1	5
n2507	8	41	14182	1	5
n3246	8	36	56616	1	4
n2054	8	36	569	1	4
n3245	8	31	57192	1	3
n2689	8	31	526	1	3
n3244	8	26	57725	1	2
n1959	8	26	4077	1	2
n3243	8	27	61809	1	4
\DFF_489/net776	8	27	708	1	4
n3242	8	22	62524	1	3
n2500	8	22	14109	1	3
n2553	8	17	493	1	2
n3241	8	27	500	1	4
n2031	8	27	885	1	4
n3240	8	22	1392	1	3
n2779	8	22	164	1	3
n2561	8	17	493	1	2
n3239	8	35	500	1	5
n2670	8	35	354	1	5
n3238	8	30	861	1	4
n2707	8	30	1933	1	4
n3237	8	25	2801	1	4
n2800	8	25	81	1	4
n3236	8	20	2889	1	3
n2605	8	20	863	1	3
g8982	8	15	3759	1	2
n2035	8	15	3	1	2
n3235	8	17	3769	1	3
n2686	8	17	526	1	3
n3234	8	12	4302	1	2
n2728	8	12	100	1	2
g2607	7	7	4409	1	1
n3233	8	28	4415	1	3
n2032	8	28	49971	1	3
n3232	8	23	54393	1	2
n1961	8	23	655	1	2
n2536	8	18	304	1	3
n2643	8	13	311	1	2
g1710	8	8	318	1	1
n3231	8	22	325	1	3
n2782	8	22	119	1	3
n3230	8	17	451	1	2
n1944	8	17	14181	1	2
n3229	8	22	14639	1	4
n2682	8	22	526	1	4
n3228	8	17	15172	1	3
n2806	8	17	126	1	3
n3227	8	12	15305	1	2
n2700	8	12	26	1	2
g2610	7	7	15338	1	1
n3226	8	12	15344	1	2
n2783	8	12	163	1	2
g755	7	7	2196	1	1
n3225	8	37	2202	1	6
n1957	8	37	751	1	6
n3224	8	32	2960	1	5
n2699	8	32	913	1	5
n3223	8	27	3880	1	4
n2629	8	27	1668	1	4
n3222	8	22	5555	1	3
n2762	8	22	138	1	3
n3221	8	17	5700	1	2
n2015	8	17	2856	1	2
n3220	8	29	8563	1	3
n2769	8	29	162	1	3
n3219	8	26	8732	1	3
n1948	8	26	181	1	3
n3218	8	21	8920	1	2
n2803	8	21	81	1	2
n3217	8	16	9008	1	2
n2797	8	16	186	1	2
n3216	8	11	9201	1	1
\DFF_452/net739	8	11	548	1	1
g2608	7	7	9756	1	1
n3215	8	98	9762	1	10
n1968	8	98	611	1	10
n3214	8	54	10380	1	6
n1956	8	54	797	1	6
n3213	8	45	11184	1	5
n2773	8	45	139	1	5
n3212	8	40	11330	1	4
n2053	8	40	49939	1	4
g5647	8	35	4302	1	4
g7	8	31	144	1	3
n3211	8	26	151	1	2
n1996	8	26	485	1	2
g5649	8	25	643	1	3
n3210	8	20	650	1	3
n2615	8	20	863	1	3
n3209	8	15	1520	1	2
\DFF_441/net728	8	15	4170	1	2
n3208	8	23	5697	1	3
n2597	8	23	77919	1	3
n2581	8	18	78911	1	2
n3207	8	46	78918	1	4
n2535	8	46	6316	1	4
n3206	8	34	85241	1	4
\DFF_436/net723	8	34	2219	1	4
n3205	8	42	87467	1	5
n2715	8	42	1114	1	5
g4181	8	37	88588	1	4
n2055	8	37	183	1	4
n3204	8	35	88778	1	4
n2658	8	35	356	1	4
n3203	8	36	89141	1	5
n2730	8	36	100	1	5
g4172	8	31	89248	1	4
n2599	8	31	28	1	4
n3202	8	32	89283	1	4
n2641	8	32	541	1	4
g4183	8	27	3255	1	3
n1990	8	27	283	1	3
n3201	8	45	3545	1	5
n2655	8	45	602	1	5
n3200	8	40	4154	1	5
n2494	8	40	1938	1	5
n3199	8	35	6099	1	4
n2740	8	35	193	1	4
n3198	8	30	6299	1	3
n2784	8	30	139	1	3
n2560	8	25	493	1	3
n3197	8	51	500	1	5
n2722	8	51	26	1	5
n2644	8	47	533	1	5
n3196	8	37	540	1	4
n2642	8	37	11747	1	4
n3195	8	32	12294	1	5
n2691	8	32	526	1	5
n3194	8	27	12827	1	4
n2603	8	27	653	1	4
n3193	8	22	13487	1	3
n1929	8	22	2369	1	3
n3192	8	17	15863	1	2
n1970	8	17	2307	1	2
n3191	8	26	18177	1	2
n2526	8	26	2083	1	2
n3190	8	22	20267	1	4
n2649	8	22	742	1	4
n3189	8	17	21016	1	3
n2816	8	17	742	1	3
n3188	8	12	21765	1	2
n2656	8	12	342	1	2
g2604	7	7	22114	1	1
n3187	8	39	22120	1	4
n2747	8	39	144	1	4
n3186	8	34	22271	1	3
n2671	8	34	354	1	3
n3185	8	29	22632	1	2
n2761	8	29	151	1	2
g4174	8	46	22790	1	6
n2051	8	46	183	1	6
n3184	8	41	22980	1	5
n2676	8	41	526	1	5
n3183	8	36	23513	1	4
n2659	8	36	356	1	4
n3182	8	35	23876	1	3
n2717	8	35	15869	1	3
n2515	8	33	545	1	5
n3181	8	28	552	1	5
n2568	8	28	41053	1	5
n3180	8	23	41612	1	4
n2052	8	23	870	1	4
n3179	8	18	42489	1	3
n1995	8	18	493	1	3
n3178	8	13	42989	1	2
n2014	8	13	7863	1	2
g875	8	8	890	1	1
g5643	8	22	897	1	3
n3177	8	17	904	1	2
n2554	8	17	562	1	2
n3176	8	39	1473	1	5
n2039	8	39	611	1	5
n3175	8	34	2091	1	4
n2687	8	34	526	1	4
g4186	8	29	2624	1	3
n2050	8	29	291	1	3
n3174	8	29	2922	1	3
n2756	8	29	173	1	3
n3173	8	29	3102	1	3
n2799	8	29	143	1	3
n3172	8	28	3252	1	3
n2744	8	28	146	1	3
g4184	8	40	758	1	5
n1999	8	40	273	1	5
n3171	8	35	1038	1	4
n2777	8	35	162	1	4
g4188	8	30	1207	1	3
n2049	8	30	291	1	3
n3170	8	25	1505	1	3
n2793	8	25	187	1	3
n3169	8	20	1699	1	2
\DFF_385/net672	8	20	15014	1	2
n3168	8	15	16720	1	1
\DFF_384/net671	8	15	141	1	1
n3167	8	17	16868	1	2
n2016	8	17	78695	1	2
n3166	8	26	95570	1	2
n1938	8	26	19568	1	2
n3165	8	25	115145	1	3
n1936	8	25	611	1	3
n3164	8	20	115763	1	2
n2017	8	20	162	1	2
n3163	8	17	115932	1	3
n2636	8	17	556	1	3
n3162	8	12	116495	1	2
n2680	8	12	966	1	2
g2601	7	7	117468	1	1
n3161	8	44	117474	1	4
n2572	8	44	21784	1	4
n3160	8	39	139265	1	3
n2703	8	39	36087	1	3
n3159	8	34	175359	1	4
n2504	8	34	16834	1	4
n3158	8	29	192200	1	3
n2725	8	29	331	1	3
n3157	8	24	192538	1	2
n2798	8	24	186	1	2
n3156	8	19	192731	1	1
n2766	8	19	149	1	1
n3155	8	32	192887	1	5
n1980	8	32	217	1	5
n3154	8	27	193111	1	4
n2678	8	27	966	1	4
n3153	8	22	194084	1	3
n2661	8	22	356	1	3
n3152	8	17	194447	1	2
n1945	8	17	20298	1	2
n3151	8	22	214752	1	2
n2788	8	22	175	1	2
n3150	8	17	214934	1	2
n2817	8	17	1707	1	2
g8986	8	32	216648	1	4
n2022	8	32	3	1	4
n3149	8	27	216658	1	3
n1978	8	27	230	1	3
n3148	8	29	216895	1	4
n2602	8	29	672	1	4
g2613	8	24	156	1	3
n3147	8	19	163	1	3
n2009	8	19	503	1	3
n3146	8	14	673	1	2
n1951	8	14	206	1	2
g874	8	9	886	1	1
g5646	8	32	893	1	4
n3145	8	27	900	1	4
n2616	8	27	546	1	4
n3144	8	22	1453	1	3
n2010	8	22	813	1	3
n3143	8	17	2273	1	2
n2013	8	17	15644	1	2
n2627	8	31	681	1	3
n3142	8	26	688	1	2
n2808	8	26	126	1	2
g37	8	21	151	1	1
n3141	8	42	158	1	5
n2509	8	42	565	1	5
g4190	8	37	730	1	5
n2492	8	37	234	1	5
n3140	8	32	971	1	4
n2628	8	32	216	1	4
n3139	8	27	1194	1	3
n2753	8	27	175	1	3
n3138	8	27	1376	1	2
n2796	8	27	119	1	2
n3137	8	30	1502	1	4
n2657	8	30	356	1	4
n3136	8	25	1865	1	3
n2786	8	25	175	1	3
n3135	8	20	2047	1	2
n2046	8	20	149	1	2
n3134	8	34	2203	1	4
n2505	8	34	703	1	4
n3133	8	29	2913	1	3
n2664	8	29	335	1	3
n3132	8	24	3255	1	2
n1926	8	24	4077	1	2
n3131	8	19	7339	1	2
\DFF_336/net623	8	19	4579	1	2
n3130	8	14	11925	1	1
n2011	8	14	232	1	1
n3129	8	38	12164	1	4
n2612	8	38	863	1	4
n3128	8	35	13034	1	5
n1932	8	35	813	1	5
n3127	8	30	13854	1	4
n1984	8	30	308	1	4
n3126	8	25	14169	1	3
n1962	8	25	493	1	3
n3125	8	31	14669	1	4
\DFF_330/net617	8	31	318	1	4
n3124	8	26	14994	1	3
n2638	8	26	547	1	3
g3069	8	22	87	1	3
n2551	8	17	94	1	2
n3123	8	28	101	1	3
n2736	8	28	148	1	3
n3122	8	41	256	1	6
n2750	8	41	150	1	6
n3121	8	36	413	1	5
n1952	8	36	308	1	5
n3120	8	31	728	1	4
n2727	8	31	48	1	4
n3119	8	26	783	1	3
n2606	8	26	863	1	3
n3118	8	21	1653	1	2
n2746	8	21	144	1	2
g1765	8	24	55	1	2
n3117	8	19	62	1	1
\DFF_319/net606	8	19	71	1	1
g2044	8	32	140	1	3
n3116	8	27	147	1	2
n2774	8	27	152	1	2
n3115	8	22	306	1	3
n1933	8	22	611	1	3
n3114	8	17	924	1	2
n2537	8	17	2101	1	2
n3113	8	26	3032	1	2
n2519	8	26	12235	1	2
n3112	8	45	15274	1	5
n2503	8	45	2929	1	5
n3111	8	40	18210	1	4
n2807	8	40	126	1	4
g2731	8	37	151	1	4
n3110	8	32	158	1	5
n1985	8	32	230	1	5
n3109	8	27	395	1	4
n2663	8	27	356	1	4
n3108	8	22	758	1	3
n2591	8	22	8265	1	3
n3107	8	17	9030	1	2
n2521	8	17	1580	1	2
n3106	8	24	10617	1	2
n2528	8	24	14141	1	2
g2639	8	19	1093	1	3
n2577	8	19	1089	1	3
n3105	8	17	2189	1	2
n1939	8	17	493	1	2
n3104	8	29	2689	1	5
n1953	8	29	217	1	5
g4179	8	24	2913	1	4
n2056	8	24	183	1	4
n3103	8	19	3103	1	3
n2028	8	19	565	1	3
n3102	8	14	3675	1	2
n2578	8	14	489	1	2
n3101	8	17	4171	1	3
n1986	8	17	190	1	3
n3100	8	12	4368	1	2
n1925	8	12	75781	1	2
g1955	7	7	8414	1	1
n3099	8	25	8420	1	2
n2787	8	25	174	1	2
n3098	8	49	8601	1	7
n2748	8	49	150	1	7
n3097	8	44	8758	1	6
n2571	8	44	15944	1	6
g2986	8	35	192	1	5
n3096	8	30	199	1	5
n2566	8	30	571	1	5
n2545	8	25	493	1	4
n3095	8	20	500	1	3
n2693	8	20	659	1	3
g8980	8	15	1166	1	2
n2036	8	15	3	1	2
n3094	8	27	1176	1	4
n1994	8	27	535	1	4
n3093	8	22	1718	1	3
n2720	8	22	26	1	3
n3092	8	17	1751	1	2
n1946	8	17	398	1	2
n3091	8	42	2156	1	5
n2593	8	42	1738	1	5
n3090	8	37	3901	1	5
n2811	8	37	125	1	5
n3089	8	32	4033	1	4
n2497	8	32	15297	1	4
n3088	8	27	19337	1	3
n2714	8	27	26	1	3
n3087	8	27	19370	1	3
n2754	8	27	174	1	3
n3086	8	23	19551	1	3
n1949	8	23	2354	1	3
n3085	8	18	21912	1	2
n2533	8	18	14147	1	2
n3084	8	13	36066	1	2
n2074	8	13	25	1	2
n3083	8	8	36098	1	1
\DFF_275/net562	8	8	4	1	1
n3082	8	26	36109	1	2
n2532	8	26	5181	1	2
n3081	8	34	41297	1	4
n2813	8	34	125	1	4
n3080	8	32	41429	1	4
n2008	8	32	565	1	4
g5644	8	27	382	1	3
g2648	8	33	99	1	4
n3079	8	35	106	1	5
n2620	8	35	277	1	5
g8	8	30	149	1	4
n3078	8	33	156	1	5
n2580	8	33	49635	1	5
n3077	8	28	49798	1	4
n2669	8	28	526	1	4
n3076	8	45	50331	1	4
n2073	8	45	632	1	4
n3075	8	47	50970	1	5
n2579	8	47	139282	1	5
g17	8	42	150	1	5
n3074	8	37	157	1	4
n1982	8	37	430	1	4
n3073	8	32	594	1	4
n2695	8	32	4318	1	4
n3072	8	27	4919	1	3
n2794	8	27	186	1	3
n3071	8	29	5112	1	3
n2805	8	29	50	1	3
n3070	8	28	5169	1	3
n2741	8	28	145	1	3
n3069	8	35	5321	1	4
n1977	8	35	642	1	4
n3068	8	30	5970	1	3
n2729	8	30	100	1	3
g4176	8	37	6077	1	5
n2557	8	37	183	1	5
g1850	8	32	291	1	4
n3067	8	27	298	1	3
n2780	8	27	163	1	3
n3066	8	48	468	1	5
n2610	8	48	1216	1	5
n3065	8	42	1691	1	4
n2701	8	42	1215	1	4
n3064	8	37	2913	1	5
n2660	8	37	356	1	5
g4178	8	32	3276	1	4
n2513	8	32	183	1	4
g5652	8	27	2696	1	3
n3063	8	30	2703	1	4
n2630	8	30	543	1	4
g5650	8	25	3253	1	3
n3062	8	20	3260	1	2
n2047	8	20	173	1	2
n3061	8	15	3440	1	1
\DFF_242/net529	8	15	140	1	1
n3060	8	23	3587	1	3
n2724	8	23	609	1	3
n2584	8	18	4203	1	2
n3059	8	31	4210	1	4
n2690	8	31	526	1	4
n3058	8	36	4743	1	3
n2592	8	36	21728	1	3
n3057	8	37	26478	1	3
n2012	8	37	5751	1	3
n3056	8	32	32236	1	2
n2525	8	32	2077	1	2
n3055	8	28	34320	1	4
n2600	8	28	857	1	4
n3054	8	23	35184	1	3
g8271	8	23	0	1	3
n2582	8	18	35191	1	2
n3053	8	29	35198	1	4
n2614	8	29	863	1	4
n3052	8	24	36068	1	3
n2590	8	24	89347	1	3
n3051	8	19	125422	1	2
n2733	8	19	124	1	2
n3050	8	14	125553	1	1
\DFF_228/net515	8	14	152	1	1
g4182	8	9	22074	1	1
n2573	8	9	283	1	1
g1356	8	46	488	1	6
n3049	8	38	495	1	5
n2665	8	38	526	1	5
g8983	8	37	1028	1	5
n2018	8	37	3	1	5
n3048	8	32	1038	1	4
n1983	8	32	337	1	4
g5651	8	27	1382	1	3
n3047	8	22	1389	1	3
n2639	8	22	551	1	3
n3046	8	17	1947	1	2
n2518	8	17	73824	1	2
n3045	8	25	75778	1	3
n2755	8	25	174	1	3
n3044	8	32	75959	1	5
n2681	8	32	526	1	5
n3043	8	27	76492	1	4
n2594	8	27	794	1	4
g1317	8	22	481	1	3
n3042	8	17	488	1	2
n1969	8	17	58750	1	2
g8978	8	15	59245	1	2
n2037	8	15	3	1	2
n3041	8	32	59255	1	3
n1993	8	32	751	1	3
n3040	8	27	60013	1	2
n2692	8	27	2712	1	2
n3039	8	53	62732	1	6
n2635	8	53	50244	1	6
n3038	8	57	112983	1	6
n2506	8	57	2936	1	6
n3037	8	52	115926	1	5
n2694	8	52	12244	1	5
n3036	8	41	128177	1	5
n2673	8	41	354	1	5
n3035	8	36	128538	1	4
n2704	8	36	26	1	4
n3034	8	31	128571	1	4
n2632	8	31	50289	1	4
n3033	8	32	178867	1	4
n2674	8	32	526	1	4
n3032	8	27	179400	1	4
n2633	8	27	50289	1	4
n3031	8	22	229696	1	3
n2613	8	22	863	1	3
n3030	8	17	230566	1	2
n2544	8	17	3264	1	2
n3029	8	40	233837	1	4
n2751	8	40	173	1	4
n3028	8	35	234017	1	3
n2721	8	35	1666	1	3
n3027	8	32	235690	1	3
n2000	8	32	119	1	3
n3026	8	27	235816	1	3
n2768	8	27	162	1	3
n3025	8	38	235985	1	6
n2514	8	38	551	1	6
n3024	8	33	236543	1	5
n2742	8	33	145	1	5
n3023	8	28	236695	1	4
\DFF_194/net481	8	28	81	1	4
g5648	8	32	15172	1	4
n3022	8	32	15179	1	4
n2653	8	32	742	1	4
n2558	8	27	622	1	3
n3021	8	22	629	1	2
n1992	8	22	3429	1	2
n2552	8	17	493	1	2
n3020	8	12	500	1	2
n2618	8	12	383	1	2
g2612	7	7	890	1	1
n3019	8	22	896	1	3
n2696	8	22	909	1	3
n3018	8	17	1812	1	2
n1947	8	17	493	1	2
g4187	8	27	1865	1	4
n2512	8	27	291	1	4
n3017	8	22	2163	1	3
n2667	8	22	526	1	3
n2546	8	17	493	1	2
n3016	8	30	500	1	4
n2731	8	30	100	1	4
n3015	8	25	607	1	3
n2501	8	25	2289	1	3
n3014	8	20	2903	1	2
n2763	8	20	138	1	2
n3013	8	37	3048	1	3
n1989	8	37	302	1	3
n3012	8	32	3357	1	4
n2685	8	32	526	1	4
n3011	8	27	3890	1	3
n2767	8	27	163	1	3
n3010	8	27	4060	1	3
n2688	8	27	526	1	3
n3009	8	22	4593	1	2
n2061	8	22	422	1	2
n3008	8	31	5022	1	3
n2569	8	31	72873	1	3
n3007	8	26	77902	1	2
n2531	8	26	9213	1	2
n3006	8	26	87122	1	4
n2679	8	26	966	1	4
n3005	8	21	88095	1	3
n2562	8	21	1228	1	3
n3004	8	16	89330	1	2
n2538	8	16	255	1	2
n2790	8	11	168	1	1
n3003	8	27	175	1	3
n2651	8	27	742	1	3
n3002	8	22	924	1	2
n2718	8	22	664	1	2
n3001	8	17	1595	1	2
n1991	8	17	5345	1	2
n3000	8	22	6947	1	3
n2771	8	22	126	1	3
n2547	8	17	493	1	2
n2999	8	33	500	1	2
n2712	8	33	26	1	2
n2998	8	28	533	1	1
n2726	8	28	98	1	1
n2997	8	23	638	1	2
n2698	8	23	398	1	2
n2996	8	23	1043	1	4
n1974	8	23	2369	1	4
n2995	8	18	3419	1	3
\DFF_157/net444	8	18	649	1	3
g2638	8	13	2189	1	2
n2994	8	12	2196	1	2
n2502	8	12	703	1	2
g2606	7	7	2906	1	1
n2993	8	17	2912	1	2
n2555	8	17	562	1	2
n2992	8	17	3481	1	3
n1950	8	17	660	1	3
n2991	8	12	4148	1	2
n2637	8	12	561	1	2
g2603	7	7	4716	1	1
g4175	8	36	4722	1	4
n2058	8	36	183	1	4
n2990	8	31	4912	1	3
n2743	8	31	145	1	3
n2989	8	26	5064	1	2
n1937	8	26	1384	1	2
n2988	8	22	6455	1	3
n2809	8	22	126	1	3
n2987	8	17	6588	1	2
n1971	8	17	2955	1	2
n2986	8	22	9550	1	3
n2588	8	22	2087	1	3
n2985	8	17	11644	1	2
n2550	8	17	562	1	2
n2984	8	28	12213	1	4
n2626	8	28	684	1	4
n2983	8	23	12904	1	3
n2781	8	23	139	1	3
n2982	8	18	13050	1	2
n2529	8	18	14147	1	2
n2981	8	13	27204	1	2
n2802	8	13	92	1	2
g1217	8	8	4171	1	1
n2980	8	34	4178	1	4
\DFF_136/net423	8	34	374	1	4
n2979	8	37	4559	1	5
n1975	8	37	183	1	5
n2978	8	32	4749	1	4
n2810	8	32	126	1	4
n2977	8	27	4882	1	3
n2815	8	27	151	1	3
n2976	8	22	5040	1	3
n2040	8	22	493	1	3
n2975	8	17	5540	1	3
n2801	8	17	80	1	3
n2974	8	12	5627	1	2
n2737	8	12	100	1	2
g2605	7	7	5734	1	1
n2973	8	24	5740	1	2
n2527	8	24	2085	1	2
g4185	8	19	7832	1	3
n2556	8	19	273	1	3
n2972	8	14	8112	1	2
\DFF_126/net413	8	14	3430	1	2
n2971	8	25	11549	1	3
n1972	8	25	104	1	3
n2970	8	32	11660	1	4
n2675	8	32	526	1	4
n2969	8	27	12193	1	3
n2804	8	27	94	1	3
g16	8	29	145	1	3
n2968	8	24	152	1	2
\DFF_121/net408	8	24	203	1	2
n2967	8	19	362	1	1
n2792	8	19	173	1	1
n2966	8	22	542	1	3
n2601	8	22	672	1	3
n2965	8	17	1221	1	2
n2586	8	17	2101	1	2
g632	8	23	347	1	2
n2964	8	18	354	1	1
n2732	8	18	102	1	1
n2963	8	36	463	1	4
n2652	8	36	742	1	4
n2962	8	33	1212	1	4
n2683	8	33	526	1	4
n2961	8	28	1745	1	3
n1979	8	28	561	1	3
g4173	8	23	2313	1	3
n2574	8	23	183	1	3
n2960	8	18	2503	1	2
n2624	8	18	704	1	2
n2959	8	32	3214	1	2
n2540	8	32	2101	1	2
n2958	8	34	5322	1	3
n2650	8	34	546	1	3
n2957	8	29	5875	1	2
n2749	8	29	163	1	2
n2956	8	25	6045	1	3
n2041	8	25	493	1	3
n2955	8	20	6545	1	3
n2623	8	20	308	1	3
n2954	8	15	6860	1	2
n2619	8	15	301	1	2
n2953	8	17	7168	1	2
n2520	8	17	5048	1	2
n2952	8	12	12223	1	2
n2706	8	12	26	1	2
g2609	7	7	12256	1	1
g4189	8	27	12262	1	3
n2043	8	27	291	1	3
n2951	8	22	12560	1	2
n2530	8	22	14143	1	2
n2950	8	17	26710	1	2
n2541	8	17	12033	1	2
n2949	8	19	38750	1	1
n2752	8	19	161	1	1
n2948	8	36	38918	1	3
n2534	8	36	280	1	3
n2947	8	37	39205	1	3
n2567	8	37	21032	1	3
n2946	8	32	60244	1	2
\DFF_93/net380	8	32	206	1	2
n2945	8	27	60457	1	1
n2030	8	27	814	1	1
g8979	8	22	61278	1	3
n2020	8	22	3	1	3
n2944	8	17	61288	1	2
n2587	8	17	2092	1	2
g745	8	22	1086	1	3
n2943	8	17	1093	1	2
n2549	8	17	562	1	2
n2942	8	35	1662	1	5
n2647	8	35	742	1	5
