
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 65
No. of Primary Outputs: 48
No. of Gates: 4574
No. of DFFs: 518
No. of Nodes: 10688
Execution Time: 2303709000 ns
Primary Inputs: troj78_0N79 troj78_0N81 troj78_0N78 test_si troj78_0n30 g6283 g6253 g6285 g6265 g6281 g6284 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 g6259 g6263 troj78_0n11 g4208 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 troj78_0n1 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: troj78_0n29 troj78_0n25 troj78_0n18 troj78_0n15 Trigger_en0_10 Trigger_en0_9 Trigger_en0_7 Trigger_en0_6 Trigger_en0_5 Trigger_en0_2 g8984 g3327 g10377 g10455 g10457 g10463 g10465 g10801 troj78_0n26 g11206 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 Trigger_en0_0 g8561 g8562 g8563 g8564 g8565 g8566 Trigger_en0_8 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj78_0N79	1	1	52	0	0
troj78_0N81	1	1	40	0	0
troj78_0N78	1	1	6	0	0
test_si	1	1	19950	0	0
troj78_0n30	1	1	44	0	0
g6283	1	1	894	0	0
g6253	1	1	10061	0	0
g6285	1	1	3147	0	0
g6265	1	1	843	0	0
g6281	1	1	12167	0	0
g6284	1	1	2003	0	0
g6282	1	1	4166	0	0
test_se	1	1	18	0	0
g6256	1	1	8	0	0
g4202	1	1	140	0	0
g4214	1	1	140	0	0
g4203	1	1	80	0	0
g4215	1	1	80	0	0
g881	1	1	168	0	0
g4195	1	1	173	0	0
g4204	1	1	174	0	0
g4216	1	1	166	0	0
g4205	1	1	173	0	0
g4191	1	1	183	0	0
g4196	1	1	154	0	0
g4206	1	1	146	0	0
g4209	1	1	153	0	0
g4207	1	1	145	0	0
g4193	1	1	162	0	0
g4210	1	1	152	0	0
g4198	1	1	152	0	0
g4194	1	1	171	0	0
g4211	1	1	161	0	0
g4199	1	1	161	0	0
g4212	1	1	159	0	0
g4213	1	1	114	0	0
g4201	1	1	114	0	0
g877	1	1	36	0	0
g4192	1	1	163	0	0
g6259	1	1	80	0	0
g6263	1	1	10	0	0
troj78_0n11	1	1	56	0	0
g4208	1	1	154	0	0
g4197	1	1	153	0	0
g1700	1	1	11	0	0
g741	1	1	3	0	0
g744	1	1	3	0	0
g6258	1	1	80	0	0
g1696	1	1	11	0	0
g750	1	1	58	0	0
g6264	1	1	14	0	0
g4200	1	1	159	0	0
troj78_0n1	1	1	29	0	0
g109	1	1	3	0	0
g6260	1	1	80	0	0
g23	1	1	1	0	0
g742	1	1	3	0	0
CK	1	1	4	0	0
g743	1	1	3	0	0
g6261	1	1	91	0	0
g6257	1	1	80	0	0
g6262	1	1	91	0	0
g2355	1	1	308	0	0
g6255	1	1	8	0	0
g6254	1	1	8	0	0
g8984	8	15	0	1	2
n2034	8	15	3	1	2
n3277	8	28	10	1	3
n2510	8	28	792	1	3
n3276	8	23	809	1	2
n2776	8	23	139	1	2
n3275	8	19	955	1	1
n2778	8	19	150	1	1
n3274	8	18	1112	1	3
n2631	8	18	537	1	3
n3273	8	13	1656	1	2
n2764	8	13	162	1	2
g1360	8	8	1825	1	1
n2583	8	18	1832	1	2
n3272	8	46	1839	1	4
n2719	8	46	3213	1	4
n3271	8	41	5059	1	5
n2621	8	41	269	1	5
n3270	8	36	5335	1	4
n2634	8	36	547	1	4
n3269	8	31	5889	1	3
n2498	8	31	612	1	3
n3268	8	26	6508	1	2
n2795	8	26	182	1	2
n3267	8	27	6697	1	2
n2542	8	27	616	1	2
n3266	8	24	7320	1	3
n2517	8	24	382	1	3
n2585	8	40	7709	1	4
n3265	8	35	7716	1	3
n2705	8	35	908	1	3
n3264	8	30	8631	1	3
n2654	8	30	739	1	3
n3263	8	25	9377	1	2
n2772	8	25	162	1	2
g8981	8	31	9546	1	4
n2019	8	31	3	1	4
n3262	8	26	9556	1	3
n2033	8	26	594	1	3
n3261	8	24	10157	1	2
n2745	8	24	169	1	2
n3260	8	36	10333	1	4
n2611	8	36	792	1	4
n3259	8	31	11132	1	3
n2711	8	31	2178	1	3
n3258	8	26	13317	1	2
n1960	8	26	991	1	2
n2646	8	32	8574	1	4
n3257	8	27	8581	1	3
n2757	8	27	119	1	3
n3256	8	22	8707	1	2
n2785	8	22	127	1	2
n3255	8	17	8841	1	3
n2713	8	17	26	1	3
n3254	8	12	8874	1	2
n2523	8	12	2098	1	2
g2611	7	7	10979	1	1
n3253	8	40	10985	1	3
n2765	8	40	161	1	3
g5645	8	35	11153	1	2
n3252	8	30	11160	1	5
n2598	8	30	17994	1	5
n3251	8	25	29161	1	4
n2608	8	25	1145	1	4
n3250	8	20	30313	1	3
n2648	8	20	739	1	3
g8976	8	15	31059	1	2
n2038	8	15	3	1	2
n3249	8	22	31069	1	3
n2723	8	22	577	1	3
n3248	8	17	31653	1	2
n2589	8	17	597	1	2
n3247	8	41	32257	1	5
n2507	8	41	1081	1	5
n3246	8	36	33345	1	4
n2054	8	36	566	1	4
n3245	8	31	33918	1	3
n2689	8	31	523	1	3
n3244	8	26	34448	1	2
n1959	8	26	3422	1	2
n3243	8	27	37877	1	4
\DFF_489/net776	8	27	437	1	4
n3242	8	22	38321	1	3
n2500	8	22	3626	1	3
n2553	8	17	490	1	2
n3241	8	27	497	1	3
n2031	8	27	814	1	3
n3240	8	22	1318	1	2
n2779	8	22	164	1	2
n2561	8	17	490	1	2
n3239	8	35	497	1	5
n2670	8	35	351	1	5
n3238	8	30	855	1	4
n2707	8	30	1878	1	4
n3237	8	25	2740	1	4
n2800	8	25	78	1	4
n3236	8	20	2825	1	3
n2605	8	20	792	1	3
g8982	8	15	3624	1	2
n2035	8	15	3	1	2
n3235	8	17	3634	1	3
n2686	8	17	470	1	3
n3234	8	12	4111	1	2
n2728	8	12	100	1	2
g2607	7	7	4218	1	1
n3233	8	28	4224	1	3
n2032	8	28	242	1	3
n3232	8	23	4473	1	2
n1961	8	23	652	1	2
n2536	8	18	301	1	3
n2643	8	13	308	1	2
g1710	8	8	315	1	1
n3231	8	22	322	1	3
n2782	8	22	119	1	3
n3230	8	17	448	1	2
n1944	8	17	11009	1	2
n3229	8	22	11464	1	4
n2682	8	22	523	1	4
n3228	8	17	11994	1	3
n2806	8	17	126	1	3
n3227	8	12	12127	1	2
n2700	8	12	26	1	2
g2610	7	7	12160	1	1
n3226	8	12	12166	1	2
n2783	8	12	163	1	2
g755	7	7	836	1	1
n3225	8	37	842	1	6
n1957	8	37	371	1	6
n3224	8	32	1220	1	5
n2699	8	32	910	1	5
n3223	8	27	2137	1	4
n2629	8	27	451	1	4
n3222	8	22	2595	1	3
n2762	8	22	138	1	3
n3221	8	17	2740	1	2
n2015	8	17	2795	1	2
n3220	8	26	5542	1	2
n2769	8	26	162	1	2
n3219	8	26	5711	1	3
n1948	8	26	181	1	3
n3218	8	21	5899	1	2
n2803	8	21	78	1	2
n3217	8	16	5984	1	2
n2797	8	16	183	1	2
n3216	8	11	6174	1	1
\DFF_452/net739	8	11	545	1	1
g2608	7	7	6726	1	1
n3215	8	98	6732	1	10
n1968	8	98	328	1	10
n3214	8	54	7067	1	6
n1956	8	54	425	1	6
n3213	8	45	7499	1	5
n2773	8	45	139	1	5
n3212	8	40	7645	1	4
n2053	8	40	200	1	4
g5647	8	35	4111	1	4
g7	8	31	144	1	3
n3211	8	26	151	1	2
n1996	8	26	482	1	2
g5649	8	25	640	1	3
n3210	8	20	647	1	3
n2615	8	20	792	1	3
n3209	8	15	1446	1	2
\DFF_441/net728	8	15	906	1	2
n3208	8	23	2359	1	3
n2597	8	23	13948	1	3
n2581	8	18	13614	1	2
n3207	8	46	13621	1	4
n2535	8	46	597	1	4
n3206	8	34	14225	1	4
\DFF_436/net723	8	34	400	1	4
n3205	8	42	14632	1	5
n2715	8	42	1102	1	5
g4181	8	37	15741	1	4
n2055	8	37	183	1	4
n3204	8	35	15931	1	4
n2658	8	35	232	1	4
n3203	8	36	16170	1	5
n2730	8	36	100	1	5
g4172	8	31	16277	1	4
n2599	8	31	28	1	4
n3202	8	32	16312	1	4
n2641	8	32	407	1	4
g4183	8	27	4903	1	3
n1990	8	27	277	1	3
n3201	8	51	5187	1	5
n2655	8	51	739	1	5
n3200	8	40	5933	1	5
n2494	8	40	424	1	5
n3199	8	35	6364	1	4
n2740	8	35	193	1	4
n3198	8	30	6564	1	3
n2784	8	30	139	1	3
n2560	8	25	490	1	3
n3197	8	51	497	1	5
n2722	8	51	26	1	5
n2644	8	47	530	1	5
n3196	8	37	537	1	4
n2642	8	37	8574	1	4
n3195	8	32	9118	1	4
n2691	8	32	523	1	4
n3194	8	27	9648	1	4
n2603	8	27	582	1	4
n3193	8	22	10237	1	3
n1929	8	22	2367	1	3
n3192	8	17	12611	1	2
n1970	8	17	2305	1	2
n3191	8	26	14923	1	2
n2526	8	26	2084	1	2
n3190	8	22	17014	1	4
n2649	8	22	739	1	4
n3189	8	17	17760	1	3
n2816	8	17	739	1	3
n3188	8	12	18506	1	2
n2656	8	12	294	1	2
g2604	7	7	18807	1	1
n3187	8	39	18813	1	4
n2747	8	39	144	1	4
n3186	8	34	18964	1	3
n2671	8	34	351	1	3
n3185	8	29	19322	1	2
n2761	8	29	151	1	2
g4174	8	45	19480	1	6
n2051	8	45	183	1	6
n3184	8	40	19670	1	5
n2676	8	40	523	1	5
n3183	8	35	20200	1	4
n2659	8	35	294	1	4
n3182	8	35	20501	1	3
n2717	8	35	9759	1	3
n2515	8	33	302	1	5
n3181	8	28	309	1	5
n2568	8	28	31075	1	5
n3180	8	23	31391	1	4
n2052	8	23	799	1	4
n3179	8	18	32197	1	3
n1995	8	18	490	1	3
n3178	8	13	32694	1	2
n2014	8	13	6289	1	2
g875	8	8	887	1	1
g5643	8	22	894	1	3
n3177	8	17	901	1	2
n2554	8	17	559	1	2
n3176	8	39	1467	1	5
n2039	8	39	328	1	5
n3175	8	34	1802	1	4
n2687	8	34	415	1	4
g4186	8	29	2224	1	3
n2050	8	29	285	1	3
n3174	8	26	2516	1	2
n2756	8	26	170	1	2
n3173	8	26	2693	1	2
n2799	8	26	143	1	2
n3172	8	25	2843	1	2
n2744	8	25	146	1	2
g4184	8	39	690	1	5
n1999	8	39	267	1	5
n3171	8	34	964	1	4
n2777	8	34	162	1	4
g4188	8	29	1133	1	3
n2049	8	29	285	1	3
n3170	8	24	1425	1	2
n2793	8	24	184	1	2
n3169	8	20	1616	1	2
\DFF_385/net672	8	20	14286	1	2
n3168	8	15	15909	1	1
\DFF_384/net671	8	15	141	1	1
n3167	8	17	16057	1	2
n2016	8	17	13398	1	2
n3166	8	26	29462	1	2
n1938	8	26	4174	1	2
n3165	8	27	33643	1	3
n1936	8	27	328	1	3
