
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 60
No. of Primary Outputs: 36
No. of Gates: 4458
No. of DFFs: 514
No. of Nodes: 10439
Execution Time: 2221496000 ns
Primary Inputs: troj85_01'b1 test_si g6283 g6253 g6285 g6265 g6281 g6284 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 g6259 g6263 g4208 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: g8984 g3327 g10377 g10455 g10457 g10463 g10465 g10801 g11206 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 Trigger_en0_0 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj85_01'b1	1	1	717	0	0
test_si	1	1	105092	0	0
g6283	1	1	894	0	0
g6253	1	1	13117	0	0
g6285	1	1	5729	0	0
g6265	1	1	1979	0	0
g6281	1	1	17470	0	0
g6284	1	1	2242	0	0
g6282	1	1	6195	0	0
test_se	1	1	18	0	0
g6256	1	1	8	0	0
g4202	1	1	140	0	0
g4214	1	1	140	0	0
g4203	1	1	80	0	0
g4215	1	1	80	0	0
g881	1	1	168	0	0
g4195	1	1	173	0	0
g4204	1	1	174	0	0
g4216	1	1	166	0	0
g4205	1	1	173	0	0
g4191	1	1	183	0	0
g4196	1	1	154	0	0
g4206	1	1	146	0	0
g4209	1	1	153	0	0
g4207	1	1	145	0	0
g4193	1	1	162	0	0
g4210	1	1	152	0	0
g4198	1	1	152	0	0
g4194	1	1	171	0	0
g4211	1	1	161	0	0
g4199	1	1	161	0	0
g4212	1	1	159	0	0
g4213	1	1	114	0	0
g4201	1	1	114	0	0
g877	1	1	36	0	0
g4192	1	1	163	0	0
g6259	1	1	80	0	0
g6263	1	1	10	0	0
g4208	1	1	154	0	0
g4197	1	1	153	0	0
g1700	1	1	11	0	0
g741	1	1	3	0	0
g744	1	1	3	0	0
g6258	1	1	80	0	0
g1696	1	1	11	0	0
g750	1	1	58	0	0
g6264	1	1	14	0	0
g4200	1	1	159	0	0
g109	1	1	3	0	0
g6260	1	1	80	0	0
g23	1	1	1	0	0
g742	1	1	3	0	0
CK	1	1	4	0	0
g743	1	1	3	0	0
g6261	1	1	91	0	0
g6257	1	1	80	0	0
g6262	1	1	91	0	0
g2355	1	1	308	0	0
g6255	1	1	8	0	0
g6254	1	1	8	0	0
g8984	8	15	0	1	2
n2034	8	15	3	1	2
n3277	8	28	10	1	3
n2510	8	28	623	1	3
n3276	8	23	640	1	2
n2776	8	23	139	1	2
n3275	8	19	786	1	1
n2778	8	19	150	1	1
n3274	8	18	943	1	3
n2631	8	18	1338	1	3
n3273	8	13	2288	1	2
n2764	8	13	162	1	2
g1360	8	8	2457	1	1
n2583	8	18	2464	1	2
n3272	8	46	2471	1	4
n2719	8	46	3917	1	4
n3271	8	41	6395	1	5
n2621	8	41	269	1	5
n3270	8	36	6671	1	4
n2634	8	36	50490	1	4
n3269	8	31	57168	1	3
n2498	8	31	1132	1	3
n3268	8	26	58307	1	2
n2795	8	26	182	1	2
n3267	8	27	58496	1	2
n2542	8	27	9889	1	2
n3266	8	24	68392	1	3
n2517	8	24	619	1	3
n2585	8	40	69018	1	4
n3265	8	35	69025	1	3
n2705	8	35	4922	1	3
n3264	8	30	73954	1	3
n2654	8	30	743	1	3
n3263	8	25	74704	1	2
n2772	8	25	162	1	2
g8981	8	31	74873	1	4
