
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 44
No. of Primary Outputs: 43
No. of Gates: 12097
No. of DFFs: 1732
No. of Nodes: 29175
Execution Time: 7176494000 ns
Primary Inputs: troj2_0n2 troj2_0n1 troj2_0N36 troj2_0n3 troj2_0N38 TM0 DATA_0_31 TM1 DATA_0_30 DATA_0_28 DATA_0_26 DATA_0_25 DATA_0_24 DATA_0_22 DATA_0_21 DATA_0_20 DATA_0_19 DATA_0_18 DATA_0_17 DATA_0_16 DATA_0_14 DATA_0_13 DATA_0_12 DATA_0_9 DATA_0_8 DATA_0_6 DATA_0_5 DATA_0_4 DATA_0_3 DATA_0_2 DATA_0_1 DATA_0_0 test_se DATA_0_15 DATA_0_11 troj2_0N37 DATA_0_10 test_si DATA_0_29 DATA_0_7 CK DATA_0_23 DATA_0_27 RESET
Outputs: troj2_0n4 troj2_0n9 Trigger_en0_6 Trigger_en0_2 troj2_0n11 troj2_0n6 CRC_OUT_1_31 DATA_9_1 DATA_9_10 DATA_9_11 DATA_9_12 DATA_9_13 DATA_9_14 DATA_9_15 DATA_9_17 DATA_9_19 DATA_9_2 DATA_9_20 DATA_9_21 DATA_9_22 DATA_9_24 DATA_9_25 DATA_9_27 DATA_9_28 DATA_9_3 DATA_9_30 DATA_9_31 DATA_9_4 DATA_9_7 DATA_9_8 DATA_9_9 DATA_9_16 DATA_9_18 DATA_9_26 DATA_9_29 DATA_9_23 troj2_0n5 Trigger_en0_3 DATA_9_5 DATA_9_6 Trigger_en0_1 troj2_0n12 DATA_9_0


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj2_0n2	1	1	14	0	0
troj2_0n1	1	1	15	0	0
troj2_0N36	1	1	9	0	0
troj2_0n3	1	1	224	0	0
troj2_0N38	1	1	6	0	0
TM0	1	1	34	0	0
DATA_0_31	1	1	6561	0	0
TM1	1	1	44	0	0
DATA_0_30	1	1	6304	0	0
DATA_0_28	1	1	5819	0	0
DATA_0_26	1	1	5362	0	0
DATA_0_25	1	1	5144	0	0
DATA_0_24	1	1	4933	0	0
DATA_0_22	1	1	4532	0	0
DATA_0_21	1	1	4342	0	0
DATA_0_20	1	1	4159	0	0
DATA_0_19	1	1	3983	0	0
DATA_0_18	1	1	3814	0	0
DATA_0_17	1	1	3652	0	0
DATA_0_16	1	1	3507	0	0
DATA_0_14	1	1	221	0	0
DATA_0_13	1	1	2976	0	0
DATA_0_12	1	1	2813	0	0
DATA_0_9	1	1	2366	0	0
DATA_0_8	1	1	2231	0	0
DATA_0_6	1	1	1982	0	0
DATA_0_5	1	1	1868	0	0
DATA_0_4	1	1	1771	0	0
DATA_0_3	1	1	1518	0	0
DATA_0_2	1	1	1282	0	0
DATA_0_1	1	1	939	0	0
DATA_0_0	1	1	603	0	0
test_se	1	1	107	0	0
DATA_0_15	1	1	3323	0	0
DATA_0_11	1	1	2657	0	0
troj2_0N37	1	1	9	0	0
DATA_0_10	1	1	2508	0	0
test_si	1	1	99999997	0	0
DATA_0_29	1	1	6058	0	0
DATA_0_7	1	1	2103	0	0
CK	1	1	6	0	0
DATA_0_23	1	1	4729	0	0
DATA_0_27	1	1	5587	0	0
RESET	1	1	97	0	0
CRC_OUT_1_31	8	26	0	1	3
