
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 43
No. of Primary Outputs: 41
No. of Gates: 12084
No. of DFFs: 1732
No. of Nodes: 29150
Execution Time: 6927805000 ns
Primary Inputs: troj13_0N40 troj13_0N42 troj13_0n2 troj13_0N41 TM0 DATA_0_31 TM1 DATA_0_30 DATA_0_28 DATA_0_26 DATA_0_25 DATA_0_24 DATA_0_22 DATA_0_21 DATA_0_20 DATA_0_19 DATA_0_18 DATA_0_17 DATA_0_16 DATA_0_14 DATA_0_13 DATA_0_12 DATA_0_9 DATA_0_8 DATA_0_6 DATA_0_5 DATA_0_4 DATA_0_3 DATA_0_2 DATA_0_1 DATA_0_0 test_se DATA_0_15 DATA_0_11 DATA_0_10 test_si DATA_0_29 DATA_0_7 CK DATA_0_23 troj13_0n4 DATA_0_27 RESET
Outputs: troj13_0n8 troj13_0n12 Trigger_en0_2 Trigger_en0_0 CRC_OUT_1_31 DATA_9_1 DATA_9_10 DATA_9_11 DATA_9_12 DATA_9_13 DATA_9_14 DATA_9_15 DATA_9_17 DATA_9_19 DATA_9_2 DATA_9_20 DATA_9_21 DATA_9_22 DATA_9_24 DATA_9_25 DATA_9_27 DATA_9_28 DATA_9_3 DATA_9_30 DATA_9_31 DATA_9_4 DATA_9_7 DATA_9_8 DATA_9_9 DATA_9_16 troj13_0n14 DATA_9_18 DATA_9_26 DATA_9_29 DATA_9_23 Trigger_en0_3 DATA_9_5 DATA_9_6 troj13_0n13 Trigger_en0_5 DATA_9_0


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj13_0N40	1	1	9	0	0
troj13_0N42	1	1	6	0	0
troj13_0n2	1	1	17	0	0
troj13_0N41	1	1	361	0	0
TM0	1	1	34	0	0
DATA_0_31	1	1	11085	0	0
TM1	1	1	44	0	0
DATA_0_30	1	1	10735	0	0
DATA_0_28	1	1	10056	0	0
DATA_0_26	1	1	9405	0	0
DATA_0_25	1	1	9090	0	0
DATA_0_24	1	1	8782	0	0
DATA_0_22	1	1	8187	0	0
DATA_0_21	1	1	7900	0	0
DATA_0_20	1	1	7620	0	0
DATA_0_19	1	1	7357	0	0
DATA_0_18	1	1	6933	0	0
DATA_0_17	1	1	6516	0	0
DATA_0_16	1	1	6106	0	0
DATA_0_14	1	1	5317	0	0
DATA_0_13	1	1	4938	0	0
DATA_0_12	1	1	4566	0	0
DATA_0_9	1	1	3492	0	0
DATA_0_8	1	1	3148	0	0
DATA_0_6	1	1	2481	0	0
DATA_0_5	1	1	2158	0	0
DATA_0_4	1	1	1842	0	0
DATA_0_3	1	1	1533	0	0
DATA_0_2	1	1	1231	0	0
DATA_0_1	1	1	936	0	0
DATA_0_0	1	1	648	0	0
test_se	1	1	146	0	0
DATA_0_15	1	1	5703	0	0
DATA_0_11	1	1	4201	0	0
DATA_0_10	1	1	3843	0	0
test_si	1	1	99999997	0	0
DATA_0_29	1	1	10392	0	0
DATA_0_7	1	1	2811	0	0
CK	1	1	6	0	0
DATA_0_23	1	1	8481	0	0
troj13_0n4	1	1	353	0	0
DATA_0_27	1	1	9727	0	0
RESET	1	1	136	0	0
