
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 43
No. of Primary Outputs: 40
No. of Gates: 12119
No. of DFFs: 1733
No. of Nodes: 29222
Execution Time: 7106743000 ns
Primary Inputs: troj14_0n12 troj14_0N68 TM0 DATA_0_31 TM1 DATA_0_30 DATA_0_28 DATA_0_26 DATA_0_25 DATA_0_24 DATA_0_22 DATA_0_21 DATA_0_20 DATA_0_19 DATA_0_18 DATA_0_17 DATA_0_16 DATA_0_14 DATA_0_13 DATA_0_12 DATA_0_9 DATA_0_8 DATA_0_6 DATA_0_5 DATA_0_4 DATA_0_3 DATA_0_2 DATA_0_1 DATA_0_0 troj14_0N66 test_se DATA_0_15 DATA_0_11 troj14_0n22 DATA_0_10 test_si DATA_0_29 DATA_0_7 CK troj14_0n1 DATA_0_23 DATA_0_27 RESET
Outputs: Trigger_en0_6 Trigger_en0_0 Trigger_en0_7 CRC_OUT_1_31 DATA_9_1 DATA_9_10 DATA_9_11 DATA_9_12 DATA_9_13 DATA_9_14 DATA_9_15 DATA_9_17 DATA_9_19 DATA_9_2 DATA_9_20 DATA_9_21 DATA_9_22 DATA_9_24 DATA_9_25 DATA_9_27 DATA_9_28 DATA_9_3 DATA_9_30 DATA_9_31 DATA_9_4 DATA_9_7 DATA_9_8 DATA_9_9 DATA_9_16 Trigger_en0_8 DATA_9_18 DATA_9_26 DATA_9_29 DATA_9_23 Trigger_en0_3 Trigger_en0_4 DATA_9_5 DATA_9_6 DATA_9_0 troj14_0n21


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj14_0n12	1	1	1248	0	0
troj14_0N68	1	1	2423	0	0
TM0	1	1	34	0	0
DATA_0_31	1	1	11910	0	0
TM1	1	1	44	0	0
DATA_0_30	1	1	11456	0	0
DATA_0_28	1	1	10569	0	0
DATA_0_26	1	1	9710	0	0
DATA_0_25	1	1	9291	0	0
DATA_0_24	1	1	8879	0	0
DATA_0_22	1	1	8076	0	0
DATA_0_21	1	1	7685	0	0
DATA_0_20	1	1	7301	0	0
DATA_0_19	1	1	6924	0	0
DATA_0_18	1	1	6554	0	0
DATA_0_17	1	1	6191	0	0
DATA_0_16	1	1	5835	0	0
DATA_0_14	1	1	5144	0	0
DATA_0_13	1	1	4809	0	0
DATA_0_12	1	1	4481	0	0
DATA_0_9	1	1	3539	0	0
DATA_0_8	1	1	3239	0	0
DATA_0_6	1	1	2660	0	0
DATA_0_5	1	1	2381	0	0
DATA_0_4	1	1	2109	0	0
DATA_0_3	1	1	1844	0	0
DATA_0_2	1	1	1586	0	0
DATA_0_1	1	1	1335	0	0
DATA_0_0	1	1	1101	0	0
troj14_0N66	1	1	2457	0	0
test_se	1	1	174	0	0
DATA_0_15	1	1	5486	0	0
DATA_0_11	1	1	4160	0	0
troj14_0n22	1	1	1	0	0
DATA_0_10	1	1	3846	0	0
test_si	1	1	99999997	0	0
DATA_0_29	1	1	11009	0	0
DATA_0_7	1	1	2946	0	0
CK	1	1	158	0	0
troj14_0n1	1	1	1235	0	0
DATA_0_23	1	1	8474	0	0
DATA_0_27	1	1	10136	0	0
RESET	1	1	124	0	0
