
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 38
No. of Primary Outputs: 33
No. of Gates: 12034
No. of DFFs: 1732
No. of Nodes: 29042
Execution Time: 18795736000 ns
Primary Inputs: TM0 DATA_0_31 TM1 DATA_0_30 DATA_0_28 DATA_0_26 DATA_0_25 DATA_0_24 DATA_0_22 DATA_0_21 DATA_0_20 DATA_0_19 DATA_0_18 DATA_0_17 DATA_0_16 DATA_0_14 DATA_0_13 DATA_0_12 DATA_0_9 DATA_0_8 DATA_0_6 DATA_0_5 DATA_0_4 DATA_0_3 DATA_0_2 DATA_0_1 DATA_0_0 test_se DATA_0_15 DATA_0_11 DATA_0_10 test_si DATA_0_29 DATA_0_7 CK DATA_0_23 DATA_0_27 RESET
Outputs: CRC_OUT_1_31 DATA_9_1 DATA_9_10 DATA_9_11 DATA_9_12 DATA_9_13 DATA_9_14 DATA_9_15 DATA_9_17 DATA_9_19 DATA_9_2 DATA_9_20 DATA_9_21 DATA_9_22 DATA_9_24 DATA_9_25 DATA_9_27 DATA_9_28 DATA_9_3 DATA_9_30 DATA_9_31 DATA_9_4 DATA_9_7 DATA_9_8 DATA_9_9 DATA_9_16 DATA_9_18 DATA_9_26 DATA_9_29 DATA_9_23 DATA_9_5 DATA_9_6 DATA_9_0


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
TM0	1	1	34	0	0
DATA_0_31	1	1	11058	0	0
TM1	1	1	44	0	0
DATA_0_30	1	1	10628	0	0
DATA_0_28	1	1	9789	0	0
DATA_0_26	1	1	8978	0	0
DATA_0_25	1	1	8583	0	0
DATA_0_24	1	1	8195	0	0
DATA_0_22	1	1	7440	0	0
DATA_0_21	1	1	7073	0	0
DATA_0_20	1	1	6713	0	0
DATA_0_19	1	1	6360	0	0
DATA_0_18	1	1	6014	0	0
DATA_0_17	1	1	5675	0	0
DATA_0_16	1	1	5343	0	0
DATA_0_14	1	1	4710	0	0
DATA_0_13	1	1	4409	0	0
DATA_0_12	1	1	4115	0	0
DATA_0_9	1	1	3275	0	0
DATA_0_8	1	1	3009	0	0
DATA_0_6	1	1	2498	0	0
DATA_0_5	1	1	2184	0	0
DATA_0_4	1	1	1877	0	0
DATA_0_3	1	1	1577	0	0
DATA_0_2	1	1	1284	0	0
DATA_0_1	1	1	998	0	0
DATA_0_0	1	1	719	0	0
test_se	1	1	214	0	0
DATA_0_15	1	1	5018	0	0
DATA_0_11	1	1	3828	0	0
DATA_0_10	1	1	3548	0	0
test_si	1	1	99999997	0	0
DATA_0_29	1	1	10205	0	0
DATA_0_7	1	1	2750	0	0
CK	1	1	2	0	0
DATA_0_23	1	1	7814	0	0
DATA_0_27	1	1	9380	0	0
RESET	1	1	191	0	0
CRC_OUT_1_31	8	26	0	1	3
n6337	8	26	11057	1	3
CRC_OUT_1_30	8	26	11064	1	3
n6336	8	26	10627	1	3
CRC_OUT_1_29	8	26	21698	1	3
n6331	8	26	10204	1	3
CRC_OUT_1_28	8	26	31909	1	3
n6326	8	26	9788	1	3
CRC_OUT_1_27	8	26	41704	1	3
n6321	8	26	9379	1	3
CRC_OUT_1_26	8	26	51090	1	3
n6316	8	26	8977	1	3
CRC_OUT_1_25	8	26	60074	1	3
n6311	8	26	8582	1	3
CRC_OUT_1_24	8	26	68663	1	3
n6306	8	26	8194	1	3
CRC_OUT_1_23	8	26	76864	1	3
n6301	8	26	7813	1	3
CRC_OUT_1_22	8	26	84684	1	3
n6296	8	26	7439	1	3
CRC_OUT_1_21	8	26	92130	1	3
n6291	8	26	7072	1	3
CRC_OUT_1_20	8	26	99209	1	3
n6285	8	26	6712	1	3
CRC_OUT_1_19	8	26	105928	1	3
n6280	8	26	6359	1	3
CRC_OUT_1_18	8	26	112294	1	3
n6275	8	26	6013	1	3
CRC_OUT_1_17	8	26	118314	1	3
n6270	8	26	5674	1	3
CRC_OUT_1_16	8	31	123995	1	4
n6265	8	31	5342	1	4
CRC_OUT_1_15	8	26	129344	1	3
n6260	8	26	5017	1	3
CRC_OUT_1_14	8	26	134368	1	3
n6256	8	26	4709	1	3
CRC_OUT_1_13	8	26	139084	1	3
n6252	8	26	4408	1	3
CRC_OUT_1_12	8	26	143499	1	3
n6248	8	26	4114	1	3
CRC_OUT_1_11	8	31	147620	1	4
n6244	8	31	3827	1	4
CRC_OUT_1_10	8	26	151454	1	3
n6240	8	26	3547	1	3
CRC_OUT_1_9	8	26	155008	1	3
n6236	8	26	3274	1	3
CRC_OUT_1_8	8	26	158289	1	3
n6232	8	26	3008	1	3
CRC_OUT_1_7	8	26	161304	1	3
n6228	8	26	2749	1	3
CRC_OUT_1_6	8	26	164060	1	3
n6224	8	26	2497	1	3
CRC_OUT_1_5	8	26	166564	1	3
n6220	8	26	2183	1	3
CRC_OUT_1_4	8	31	168754	1	4
n6216	8	31	1876	1	4
CRC_OUT_1_3	8	26	170637	1	3
n6212	8	26	1576	1	3
CRC_OUT_1_2	8	26	172220	1	3
n6208	8	26	1283	1	3
CRC_OUT_1_1	8	26	173510	1	3
n6204	8	26	997	1	3
CRC_OUT_1_0	8	22	174514	1	3
n6200	8	22	718	1	3
n7994	8	17	175239	1	2
n3317	8	17	265	1	2
n7993	8	17	175511	1	2
n3318	8	17	272	1	2
n7992	8	17	175790	1	2
n3319	8	17	279	1	2
n7991	8	17	176076	1	2
n3320	8	17	286	1	2
n7990	8	17	176369	1	2
n3321	8	17	293	1	2
n7989	8	17	176669	1	2
n3322	8	17	300	1	2
n7988	8	17	176976	1	2
n3323	8	17	307	1	2
n7987	8	17	177290	1	2
n3324	8	17	245	1	2
n7986	8	17	177542	1	2
n3325	8	17	252	1	2
n7985	8	17	177801	1	2
n3326	8	17	259	1	2
n7984	8	17	178067	1	2
n3327	8	17	266	1	2
n7983	8	17	178340	1	2
n3328	8	17	273	1	2
n7982	8	17	178620	1	2
n3329	8	17	280	1	2
n7981	8	17	178907	1	2
n3330	8	17	287	1	2
n7980	8	17	179201	1	2
n3331	8	17	294	1	2
n7979	8	17	179502	1	2
n3332	8	17	301	1	2
n7978	8	17	179810	1	2
n6264	8	17	3043	1	2
n7977	8	17	182860	1	2
n6269	8	17	5701	1	2
n7976	8	17	188568	1	2
n6274	8	17	6040	1	2
n7975	8	17	194615	1	2
n6279	8	17	6386	1	2
n7974	8	17	201008	1	2
n6284	8	17	6739	1	2
n7973	8	17	207754	1	2
n6290	8	17	7099	1	2
n7972	8	17	214860	1	2
n6295	8	17	7466	1	2
n7971	8	17	222333	1	2
n6300	8	17	7840	1	2
n7970	8	17	230180	1	2
n6305	8	17	8221	1	2
n7969	8	17	238408	1	2
n6310	8	17	8609	1	2
n7968	8	17	247024	1	2
n6315	8	17	9004	1	2
n7967	8	17	256035	1	2
n6320	8	17	9406	1	2
n7966	8	17	265448	1	2
n6325	8	17	9815	1	2
n7965	8	17	275270	1	2
n6330	8	17	10231	1	2
n7964	8	17	285508	1	2
n6335	8	17	10654	1	2
n7963	8	17	296169	1	2
n6341	8	17	11076	1	2
n7962	8	25	307252	1	3
n6199	8	25	265	1	3
n7961	8	25	307524	1	3
n6203	8	25	272	1	3
n7960	8	25	307803	1	3
n6207	8	25	279	1	3
n7959	8	25	308089	1	3
n6211	8	25	286	1	3
n7958	8	25	308382	1	3
n6215	8	25	293	1	3
n7957	8	25	308682	1	3
n6219	8	25	300	1	3
n7956	8	25	308989	1	3
n6223	8	25	307	1	3
n7955	8	25	309303	1	3
n6227	8	25	245	1	3
n7954	8	25	309555	1	3
n6231	8	25	252	1	3
n7953	8	25	309814	1	3
n6235	8	25	259	1	3
n7952	8	25	310080	1	3
n6239	8	25	266	1	3
n7951	8	25	310353	1	3
n6243	8	25	273	1	3
n7950	8	25	310633	1	3
n6247	8	25	280	1	3
n7949	8	25	310920	1	3
n6251	8	25	287	1	3
n7948	8	25	311214	1	3
n6255	8	25	294	1	3
n7947	8	25	311515	1	3
n6259	8	25	301	1	3
n7946	8	25	311823	1	3
n6263	8	25	3039	1	3
n7945	8	25	314869	1	3
n6268	8	25	5697	1	3
n7944	8	25	320573	1	3
n6273	8	25	6036	1	3
n7943	8	25	326616	1	3
n6278	8	25	6382	1	3
n7942	8	25	333005	1	3
n6283	8	25	6735	1	3
n7941	8	25	339747	1	3
n6289	8	25	7095	1	3
n7940	8	25	346849	1	3
n6294	8	25	7462	1	3
n7939	8	25	354318	1	3
n6299	8	25	7836	1	3
n7938	8	25	362161	1	3
n6304	8	25	8217	1	3
n7937	8	25	370385	1	3
n6309	8	25	8605	1	3
n7936	8	25	378997	1	3
n6314	8	25	9000	1	3
n7935	8	25	388004	1	3
n6319	8	25	9402	1	3
n7934	8	25	397413	1	3
n6324	8	25	9811	1	3
n7933	8	25	407231	1	3
n6329	8	25	10227	1	3
n7932	8	25	417465	1	3
n6334	8	25	10650	1	3
n7931	8	22	428122	1	3
n6340	8	22	11080	1	3
n6198	8	17	265	1	2
n6202	8	17	272	1	2
n6206	8	17	279	1	2
n6210	8	17	286	1	2
n6214	8	17	293	1	2
n6218	8	17	300	1	2
n6222	8	17	307	1	2
n6226	8	17	245	1	2
n6230	8	17	252	1	2
n6234	8	17	259	1	2
n6238	8	17	266	1	2
n6242	8	17	273	1	2
n6246	8	17	280	1	2
n6250	8	17	287	1	2
n6254	8	17	294	1	2
n6258	8	17	301	1	2
n6262	8	17	308	1	2
n6267	8	17	315	1	2
n6272	8	17	322	1	2
n6277	8	17	329	1	2
n6282	8	17	336	1	2
n6288	8	17	343	1	2
n6293	8	17	350	1	2
n6298	8	17	357	1	2
n6303	8	17	364	1	2
n6308	8	17	371	1	2
n6313	8	17	378	1	2
n6318	8	17	385	1	2
n6323	8	17	392	1	2
n6328	8	17	399	1	2
n6333	8	17	406	1	2
n6339	8	17	413	1	2
n7930	8	19	420	1	1
n6197	8	19	265	1	1
n7929	8	19	692	1	1
n6201	8	19	272	1	1
n7928	8	19	971	1	1
n6205	8	19	279	1	1
n7927	8	19	1257	1	1
n6209	8	19	286	1	1
n7926	8	19	1550	1	1
n6213	8	19	293	1	1
n7925	8	19	1850	1	1
n6217	8	19	300	1	1
n7924	8	19	2157	1	1
n6221	8	19	307	1	1
n7923	8	19	2471	1	1
n6225	8	19	245	1	1
n7922	8	19	2723	1	1
n6229	8	19	252	1	1
n7921	8	19	2982	1	1
n6233	8	19	259	1	1
n7920	8	19	3248	1	1
n6237	8	19	266	1	1
n7919	8	19	3521	1	1
n6241	8	19	273	1	1
n7918	8	19	3801	1	1
n6245	8	19	280	1	1
n7917	8	19	4088	1	1
n6249	8	19	287	1	1
n7916	8	19	4382	1	1
n6253	8	19	294	1	1
n7915	8	19	4683	1	1
n6257	8	19	301	1	1
n7914	8	19	4991	1	1
n6261	8	19	318	1	1
n7913	8	19	5316	1	1
n6266	8	19	325	1	1
n7912	8	19	5648	1	1
n6271	8	19	332	1	1
n7911	8	19	5987	1	1
n6276	8	19	339	1	1
n7910	8	19	6333	1	1
n6281	8	19	346	1	1
n7909	8	19	6686	1	1
n6287	8	19	353	1	1
n7908	8	19	7046	1	1
n6292	8	19	360	1	1
n7907	8	19	7413	1	1
n6297	8	19	367	1	1
n7906	8	19	7787	1	1
n6302	8	19	374	1	1
n7905	8	19	8168	1	1
n6307	8	19	381	1	1
n7904	8	19	8556	1	1
n6312	8	19	388	1	1
n7903	8	19	8951	1	1
n6317	8	19	395	1	1
n7902	8	19	9353	1	1
n6322	8	19	402	1	1
n7901	8	19	9762	1	1
n6327	8	19	409	1	1
n7900	8	19	10178	1	1
n6332	8	19	416	1	1
n7899	8	19	10601	1	1
n6338	8	19	423	1	1
n7898	8	18	11031	1	2
n6344	8	18	715	1	2
n7897	8	17	11753	1	2
n6345	8	17	994	1	2
n7896	8	17	12754	1	2
n6346	8	17	1280	1	2
n7895	8	17	14041	1	2
n6347	8	17	1573	1	2
n7894	8	17	15621	1	2
n6348	8	17	1873	1	2
n7893	8	17	17501	1	2
n6349	8	17	2180	1	2
n7892	8	17	19688	1	2
n6350	8	17	2494	1	2
n7891	8	17	22189	1	2
n6351	8	17	2746	1	2
n7890	8	17	24942	1	2
n6352	8	17	3005	1	2
n7889	8	17	27954	1	2
n6353	8	17	3271	1	2
n7888	8	17	31232	1	2
