
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 45
No. of Primary Outputs: 41
No. of Gates: 12047
No. of DFFs: 1733
No. of Nodes: 29081
Execution Time: 7071915000 ns
Primary Inputs: troj0_0n20 troj0_0n17 troj0_0n21 troj0_0n23 TM0 troj0_0n8 troj0_0n22 DATA_0_31 TM1 DATA_0_30 DATA_0_28 DATA_0_26 DATA_0_25 DATA_0_24 DATA_0_22 DATA_0_21 DATA_0_20 DATA_0_19 DATA_0_18 DATA_0_17 DATA_0_16 DATA_0_14 DATA_0_13 DATA_0_12 DATA_0_9 DATA_0_8 DATA_0_6 DATA_0_5 DATA_0_4 DATA_0_3 DATA_0_2 DATA_0_1 DATA_0_0 test_se DATA_0_15 DATA_0_11 troj0_0n1 DATA_0_10 test_si DATA_0_29 DATA_0_7 CK DATA_0_23 DATA_0_27 RESET
Outputs: troj0_0n5 troj0_0state_3_ troj0_0state_2_ troj0_0n6 CRC_OUT_1_31 troj0_0n15 DATA_9_1 DATA_9_10 DATA_9_11 DATA_9_12 DATA_9_13 DATA_9_14 DATA_9_15 DATA_9_17 DATA_9_19 DATA_9_2 DATA_9_20 DATA_9_21 DATA_9_22 DATA_9_24 DATA_9_25 DATA_9_27 DATA_9_28 DATA_9_3 DATA_9_30 DATA_9_31 DATA_9_4 DATA_9_7 DATA_9_8 DATA_9_9 DATA_9_16 DATA_9_18 DATA_9_26 DATA_9_29 troj0_0n10 DATA_9_23 DATA_9_5 troj0_0n4 DATA_9_6 troj0_0state_1_ DATA_9_0


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
troj0_0n20	1	1	168	0	0
troj0_0n17	1	1	6	0	0
troj0_0n21	1	1	494	0	0
troj0_0n23	1	1	17	0	0
TM0	1	1	34	0	0
troj0_0n8	1	1	1	0	0
troj0_0n22	1	1	494	0	0
DATA_0_31	1	1	12948	0	0
TM1	1	1	44	0	0
DATA_0_30	1	1	12653	0	0
DATA_0_28	1	1	12084	0	0
DATA_0_26	1	1	11543	0	0
DATA_0_25	1	1	11283	0	0
DATA_0_24	1	1	11030	0	0
DATA_0_22	1	1	10545	0	0
DATA_0_21	1	1	10313	0	0
DATA_0_20	1	1	10088	0	0
DATA_0_19	1	1	9870	0	0
DATA_0_18	1	1	9659	0	0
DATA_0_17	1	1	9455	0	0
DATA_0_16	1	1	9258	0	0
DATA_0_14	1	1	8885	0	0
DATA_0_13	1	1	8719	0	0
DATA_0_12	1	1	8073	0	0
DATA_0_9	1	1	6177	0	0
DATA_0_8	1	1	5559	0	0
DATA_0_6	1	1	4344	0	0
DATA_0_5	1	1	3747	0	0
DATA_0_4	1	1	3157	0	0
DATA_0_3	1	1	2574	0	0
DATA_0_2	1	1	1998	0	0
DATA_0_1	1	1	1429	0	0
DATA_0_0	1	1	867	0	0
test_se	1	1	176	0	0
DATA_0_15	1	1	9068	0	0
DATA_0_11	1	1	7434	0	0
troj0_0n1	1	1	647	0	0
DATA_0_10	1	1	6802	0	0
test_si	1	1	99999997	0	0
DATA_0_29	1	1	12365	0	0
DATA_0_7	1	1	4948	0	0
CK	1	1	5	0	0
DATA_0_23	1	1	10784	0	0
DATA_0_27	1	1	11810	0	0
