
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 38
No. of Primary Outputs: 33
No. of Gates: 12022
No. of DFFs: 1728
No. of Nodes: 29010
Execution Time: 7019698000 ns
Primary Inputs: DATA_0_22 TM1 DATA_0_1 DATA_0_5 DATA_0_26 test_si DATA_0_6 DATA_0_4 RESET DATA_0_30 DATA_0_10 DATA_0_13 DATA_0_23 DATA_0_11 CK DATA_0_0 DATA_0_2 DATA_0_3 DATA_0_8 DATA_0_9 DATA_0_12 DATA_0_14 DATA_0_15 DATA_0_16 DATA_0_17 DATA_0_18 DATA_0_19 DATA_0_20 DATA_0_21 DATA_0_24 DATA_0_25 DATA_0_27 DATA_0_28 DATA_0_29 DATA_0_7 DATA_0_31 TM0 test_se
Outputs: DATA_9_20 DATA_9_24 DATA_9_13 DATA_9_29 DATA_9_17 DATA_9_2 DATA_9_6 DATA_9_11 DATA_9_28 DATA_9_30 DATA_9_7 DATA_9_9 DATA_9_3 DATA_9_1 DATA_9_5 DATA_9_4 DATA_9_31 DATA_9_27 DATA_9_26 DATA_9_25 DATA_9_23 DATA_9_21 DATA_9_19 DATA_9_18 DATA_9_16 DATA_9_15 DATA_9_14 DATA_9_12 DATA_9_10 DATA_9_0 DATA_9_8 CRC_OUT_1_31 DATA_9_22


----------------------------------------
Signal	CC0	CC1	CO	SC0	SC1
----------------------------------------
DATA_0_22	1	1	99999997	0	0
TM1	1	1	44	0	0
DATA_0_1	1	1	99999997	0	0
DATA_0_5	1	1	99999997	0	0
DATA_0_26	1	1	99999997	0	0
test_si	1	1	99999997	0	0
DATA_0_6	1	1	99999997	0	0
DATA_0_4	1	1	99999997	0	0
RESET	1	1	99999997	0	0
DATA_0_30	1	1	99999997	0	0
DATA_0_10	1	1	99999997	0	0
DATA_0_13	1	1	99999997	0	0
DATA_0_23	1	1	99999997	0	0
DATA_0_11	1	1	99999997	0	0
CK	1	1	99999998	0	0
DATA_0_0	1	1	99999997	0	0
DATA_0_2	1	1	99999997	0	0
DATA_0_3	1	1	99999997	0	0
DATA_0_8	1	1	99999997	0	0
DATA_0_9	1	1	99999997	0	0
DATA_0_12	1	1	99999997	0	0
DATA_0_14	1	1	99999997	0	0
DATA_0_15	1	1	99999997	0	0
DATA_0_16	1	1	99999997	0	0
DATA_0_17	1	1	99999997	0	0
DATA_0_18	1	1	99999997	0	0
DATA_0_19	1	1	99999997	0	0
DATA_0_20	1	1	99999997	0	0
DATA_0_21	1	1	99999997	0	0
DATA_0_24	1	1	99999997	0	0
DATA_0_25	1	1	99999997	0	0
DATA_0_27	1	1	99999997	0	0
DATA_0_28	1	1	99999997	0	0
DATA_0_29	1	1	99999997	0	0
DATA_0_7	1	1	99999997	0	0
